id,name,price,signal,pnl,count,win_rate,reason
2367.TW,燿華,57.7000007629,☁️ 觀望,169.81,4,75.0,[P:0.8/17.0] [📉 轉弱] 等待機會
2337.TW,旺宏,154.0,☁️ 觀望,154.51,6,83.33,[P:0.8/9.0] [📈 穩定] 等待機會
3105.TWO,穩懋,536.0,🟡 預警 (⚠️ 乖離過高),124.41,7,57.14,[P:0.99/7.0] [🚀 極強] 乖離率 19.4% 謹慎追價
00981A.TW,主動統一台股增長,28.2800006866,💎 持股,104.05,3,66.67,[📈 標準 V3] [P:0.8/5.0] [📈 穩定] 趨勢維持
1802.TW,台玻,67.0,💎 持股,100.97,9,33.33,[📈 標準 V3] [P:0.8/5.0] [🚀 極強] 趨勢維持
7792.TWO,安葆,355.5,🟡 預警 (⚠️ 乖離過高),71.26,6,33.33,[P:0.98/5.0] [📈 穩定] 乖離率 5.0% 謹慎追價
2485.TW,兆赫,58.7000007629,☁️ 觀望,61.81,9,55.56,[P:0.8/19.0] [📉 轉弱] 等待機會
0050.TW,元大台灣50,90.5,💎 持股,54.68,6,83.33,[📈 標準 V3] [P:0.8/5.0] [📈 穩定] 趨勢維持
1721.TW,三晃,24.2000007629,🟡 預警 (⚠️ 乖離過高),49.18,7,42.86,[P:0.8/16.0] [📈 穩定] 乖離率 20.5% 謹慎追價
2327.TW,國巨*,317.0,🟡 預警 (⚠️ 乖離過高),43.97,7,57.14,[P:0.8/5.0] [📈 穩定] 乖離率 9.6% 謹慎追價
3702.TW,大聯大,101.0,☁️ 觀望,28.52,4,25.0,[P:1.0/5.0] [🚀 極強] 等待機會
3481.TW,群創,23.9500007629,☁️ 觀望,27.81,5,60.0,[P:1.0/5.0] [🚀 極強] 等待機會
3714.TW,富采,74.0999984741,🟡 預警 (⚠️ 乖離過高),15.03,7,42.86,[P:0.99/9.0] [🚀 極強] 乖離率 20.2% 謹慎追價
009816.TW,凱基台灣TOP50,13.0500001907,💎 持股,14.78,1,100.0,[📈 標準 V3] [P:0.8/5.0] [📈 穩定] 趨勢維持
0056.TW,元大高股息,40.9000015259,💎 持股,14.61,10,60.0,[📈 標準 V3] [P:0.8/5.0] [📈 穩定] 趨勢維持
6261.TWO,久元,91.5,💎 持股,10.85,7,42.86,[📈 標準 V3] [P:1.0/5.0] [📈 穩定] 趨勢維持
6136.TW,富爾特,25.3999996185,💎 持股,10.08,8,62.5,[📈 標準 V3] [P:0.8/5.0] [📈 穩定] 趨勢維持
2317.TW,鴻海,219.5,💎 持股,9.23,7,28.57,[📈 標準 V3] [P:0.8/5.0] [📈 穩定] 趨勢維持
2409.TW,友達,17.2000007629,🟡 預警 (⚠️ 乖離過高),4.21,3,33.33,[P:1.0/5.0] [🚀 極強] 乖離率 6.8% 謹慎追價
6188.TWO,廣明,83.4000015259,☁️ 觀望,-1.22,6,33.33,[P:0.8/9.0] [📉 轉弱] 等待機會
6806.TW,森崴能源,22.6499996185,☁️ 觀望,-6.6,1,0.0,[P:1.0/5.0] [📉 轉弱] 等待機會
4966.TWO,譜瑞-KY,575.0,💎 持股,-14.48,4,25.0,[📈 標準 V3] [P:1.0/5.0] [📈 穩定] 趨勢維持
8104.TW,錸寶,33.25,🟡 預警 (⚠️ 乖離過高),-19.52,4,25.0,[P:1.0/5.0] [📈 穩定] 乖離率 5.9% 謹慎追價
2009.TW,第一銅,37.5,☁️ 觀望,-22.4,5,20.0,[P:1.0/5.0] [📉 轉弱] 等待機會
4142.TW,國光生,17.7000007629,☁️ 觀望,-24.92,8,12.5,[P:0.94/5.0] [📉 轉弱] 等待機會
2352.TW,佳世達,23.8999996185,🟡 預警 (🚀 盤整突破),-28.06,8,0.0,[P:0.8/5.0] [📈 穩定] 離開盤整區
