Combo,Impact_Score,Complexity
MACD_OSC + Noise + Vol_Momentum,0.481754,3
Noise + Vol_Momentum + BIAS_Accel,0.456345,3
RSI + Noise + Vol_Momentum,0.454855,3
Noise + BB_Pos + BIAS_Accel,0.447324,3
Vol_Momentum + BB_Pos + BIAS_Accel,0.442535,3
RSI + MACD_OSC + Noise,0.441942,3
Noise + Vol_Momentum + BB_Pos,0.439263,3
RSI + BIAS_20 + Noise,0.434857,3
BIAS_20 + MACD_OSC + Noise,0.434277,3
RSI + MACD_OSC + Vol_Momentum,0.432101,3
BIAS_20 + Noise + Vol_Momentum,0.431052,3
RSI + BIAS_20 + Vol_Momentum,0.424984,3
RSI + Noise + BIAS_Accel,0.412256,3
MACD_OSC + Noise + BIAS_Accel,0.406722,3
BIAS_20 + MACD_OSC + Vol_Momentum,0.402253,3
BIAS_20 + Noise + BIAS_Accel,0.397168,3
RSI + Vol_Momentum + BIAS_Accel,0.390597,3
MACD_OSC + Vol_Momentum + BIAS_Accel,0.389963,3
MACD_OSC + Noise + BB_Pos,0.372395,3
BIAS_20 + Vol_Momentum + BIAS_Accel,0.366468,3
RSI + Noise + BB_Pos,0.356365,3
RSI + BIAS_20 + BIAS_Accel,0.345696,3
MACD_OSC + Vol_Momentum + BB_Pos,0.345378,3
RSI + MACD_OSC + BIAS_Accel,0.34361,3
MACD_OSC + BB_Pos + BIAS_Accel,0.339547,3
RSI + Vol_Momentum + BB_Pos,0.339073,3
BIAS_20 + Noise + BB_Pos,0.338957,3
RSI + BB_Pos + BIAS_Accel,0.336011,3
RSI + BIAS_20 + MACD_OSC,0.335344,3
BIAS_20 + MACD_OSC + BIAS_Accel,0.325185,3
BIAS_20 + BB_Pos + BIAS_Accel,0.316337,3
BIAS_20 + Vol_Momentum + BB_Pos,0.311748,3
Vol_Momentum + BIAS_Accel,0.29662,2
RSI + BIAS_20 + BB_Pos,0.296199,3
RSI + MACD_OSC + BB_Pos,0.29484,3
Vol_Momentum + BB_Pos,0.275772,2
MACD_OSC + Vol_Momentum,0.274792,2
MACD_OSC + Noise,0.274048,2
BIAS_20 + MACD_OSC + BB_Pos,0.271367,3
RSI + Vol_Momentum,0.2564,2
Noise + BIAS_Accel,0.255562,2
Noise + Vol_Momentum,0.25547,2
RSI + Noise,0.253355,2
Noise + BB_Pos,0.252611,2
BIAS_20 + Noise,0.244836,2
BIAS_20 + Vol_Momentum,0.239638,2
MACD_OSC + BIAS_Accel,0.235383,2
RSI + BIAS_Accel,0.231449,2
RSI + MACD_OSC,0.225673,2
MACD_OSC + BB_Pos,0.220173,2
BIAS_20 + BIAS_Accel,0.217212,2
BIAS_20 + MACD_OSC,0.211071,2
BB_Pos + BIAS_Accel,0.210875,2
RSI + BIAS_20,0.209936,2
RSI + BB_Pos,0.206625,2
BIAS_20 + BB_Pos,0.192169,2
