Combination,Impact_Score,Complexity
MACD_OSC + BIAS_Accel,0.869928,2
BIAS_20 + BIAS_Accel,0.869928,2
BB_Pos + BIAS_Accel,0.869928,2
Vol_Mom + BIAS_Accel,0.869928,2
Noise + BIAS_Accel,0.869928,2
RSI + BIAS_Accel,0.869928,2
RSI + BIAS_20,0.864705,2
BIAS_20 + Noise,0.855364,2
RSI + Noise,0.855364,2
MACD_OSC + Noise,0.855364,2
MACD_OSC + BB_Pos,0.848416,2
RSI + BB_Pos,0.848416,2
Noise + BB_Pos,0.848416,2
Vol_Mom + BB_Pos,0.848416,2
BIAS_20 + BB_Pos,0.848416,2
BIAS_20 + MACD_OSC,0.839059,2
RSI + MACD_OSC,0.839059,2
Noise + Vol_Mom,0.814441,2
MACD_OSC + Vol_Mom,0.814441,2
BIAS_20 + Vol_Mom,0.814441,2
RSI + Vol_Mom,0.814441,2
RSI + BIAS_20 + BB_Pos,0.767338,3
RSI + BIAS_20 + BIAS_Accel,0.764782,3
RSI + MACD_OSC + BIAS_Accel,0.759048,3
BIAS_20 + MACD_OSC + BIAS_Accel,0.759048,3
Noise + BB_Pos + BIAS_Accel,0.756915,3
MACD_OSC + BB_Pos + BIAS_Accel,0.756915,3
BIAS_20 + BB_Pos + BIAS_Accel,0.756915,3
RSI + BB_Pos + BIAS_Accel,0.756915,3
Vol_Mom + BB_Pos + BIAS_Accel,0.756915,3
RSI + BIAS_20 + MACD_OSC,0.749788,3
RSI + MACD_OSC + BB_Pos,0.741923,3
BIAS_20 + MACD_OSC + BB_Pos,0.741923,3
RSI + Noise + BIAS_Accel,0.729209,3
BIAS_20 + Noise + BIAS_Accel,0.729209,3
MACD_OSC + Noise + BIAS_Accel,0.729209,3
RSI + BIAS_20 + Noise,0.721748,3
RSI + BIAS_20 + Vol_Mom,0.712787,3
MACD_OSC + Noise + BB_Pos,0.70508,3
BIAS_20 + Noise + BB_Pos,0.70508,3
RSI + Noise + BB_Pos,0.70508,3
RSI + Vol_Mom + BIAS_Accel,0.703127,3
Noise + Vol_Mom + BIAS_Accel,0.703127,3
MACD_OSC + Vol_Mom + BIAS_Accel,0.703127,3
BIAS_20 + Vol_Mom + BIAS_Accel,0.703127,3
Noise + Vol_Mom + BB_Pos,0.697494,3
MACD_OSC + Vol_Mom + BB_Pos,0.697494,3
BIAS_20 + Vol_Mom + BB_Pos,0.697494,3
RSI + Vol_Mom + BB_Pos,0.697494,3
MACD_OSC + Noise + Vol_Mom,0.697178,3
BIAS_20 + Noise + Vol_Mom,0.697178,3
RSI + Noise + Vol_Mom,0.697178,3
RSI + MACD_OSC + Noise,0.696911,3
BIAS_20 + MACD_OSC + Noise,0.696911,3
BIAS_20 + MACD_OSC + Vol_Mom,0.682455,3
RSI + MACD_OSC + Vol_Mom,0.682455,3
