Combination,Impact_Score,Scheme,Complexity
BIAS_20 + BIAS_Accel,0.869928,方案 2,2
BB_Pos + BIAS_Accel,0.869928,方案 2,2
RSI + BIAS_Accel,0.869928,方案 2,2
Vol_Mom + BIAS_Accel,0.869928,方案 2,2
MACD_OSC + BIAS_Accel,0.869928,方案 2,2
Noise + BIAS_Accel,0.869928,方案 2,2
RSI + MACD_OSC,0.86662,方案 3,2
RSI + Noise,0.86662,方案 3,2
RSI + Vol_Mom,0.86662,方案 3,2
RSI + BB_Pos,0.86662,方案 3,2
RSI + BIAS_20,0.86662,方案 3,2
RSI + BIAS_Accel,0.86662,方案 3,2
BIAS_20 + Noise,0.864705,方案 3,2
BIAS_20 + MACD_OSC,0.864705,方案 3,2
BIAS_20 + BIAS_Accel,0.864705,方案 3,2
BIAS_20 + Vol_Mom,0.864705,方案 3,2
RSI + BIAS_20,0.864705,方案 2,2
BIAS_20 + BB_Pos,0.864705,方案 3,2
BIAS_20 + Noise,0.855364,方案 2,2
Noise + BIAS_Accel,0.855364,方案 3,2
Noise + Vol_Mom,0.855364,方案 3,2
RSI + Noise,0.855364,方案 2,2
MACD_OSC + Noise,0.855364,方案 2,2
Noise + BB_Pos,0.855364,方案 3,2
BIAS_20 + BB_Pos,0.848416,方案 2,2
MACD_OSC + BB_Pos,0.848416,方案 2,2
Noise + BB_Pos,0.848416,方案 2,2
Vol_Mom + BB_Pos,0.848416,方案 2,2
RSI + BB_Pos,0.848416,方案 2,2
BB_Pos + BIAS_Accel,0.848416,方案 3,2
BIAS_20 + MACD_OSC,0.839059,方案 2,2
RSI + MACD_OSC,0.839059,方案 2,2
MACD_OSC + Noise,0.839059,方案 3,2
MACD_OSC + Vol_Mom,0.839059,方案 3,2
MACD_OSC + BIAS_Accel,0.839059,方案 3,2
MACD_OSC + BB_Pos,0.839059,方案 3,2
BIAS_20 + Vol_Mom,0.814441,方案 2,2
Vol_Mom + BB_Pos,0.814441,方案 3,2
RSI + Vol_Mom,0.814441,方案 2,2
Vol_Mom + BIAS_Accel,0.814441,方案 3,2
Noise + Vol_Mom,0.814441,方案 2,2
MACD_OSC + Vol_Mom,0.814441,方案 2,2
RSI + BIAS_20,0.780297,方案 1,2
BIAS_20 + Noise + BB_Pos,0.767338,方案 4,3
BIAS_20 + Vol_Mom + BB_Pos,0.767338,方案 4,3
BIAS_20 + MACD_OSC + BB_Pos,0.767338,方案 4,3
BIAS_20 + BB_Pos,0.767338,方案 1,2
RSI + Noise + BB_Pos,0.767022,方案 4,3
RSI + Vol_Mom + BB_Pos,0.767022,方案 4,3
RSI + BB_Pos,0.767022,方案 1,2
RSI + BIAS_20 + BB_Pos,0.767022,方案 4,3
RSI + MACD_OSC + BB_Pos,0.767022,方案 4,3
BIAS_20 + Vol_Mom + BIAS_Accel,0.764782,方案 4,3
BIAS_20 + Noise + BIAS_Accel,0.764782,方案 4,3
BIAS_20 + BIAS_Accel,0.764782,方案 1,2
BIAS_20 + MACD_OSC + BIAS_Accel,0.764782,方案 4,3
BIAS_20 + BB_Pos + BIAS_Accel,0.764782,方案 4,3
RSI + BIAS_Accel,0.763427,方案 1,2
RSI + BB_Pos + BIAS_Accel,0.763427,方案 4,3
RSI + Vol_Mom + BIAS_Accel,0.763427,方案 4,3
RSI + Noise + BIAS_Accel,0.763427,方案 4,3
RSI + MACD_OSC + BIAS_Accel,0.763427,方案 4,3
RSI + BIAS_20 + BIAS_Accel,0.763427,方案 4,3
MACD_OSC + Noise + BIAS_Accel,0.759048,方案 4,3
MACD_OSC + Vol_Mom + BIAS_Accel,0.759048,方案 4,3
MACD_OSC + BB_Pos + BIAS_Accel,0.759048,方案 4,3
MACD_OSC + BIAS_Accel,0.759048,方案 1,2
BB_Pos + BIAS_Accel,0.756915,方案 1,2
BIAS_20 + MACD_OSC,0.749788,方案 1,2
RSI + BIAS_20 + MACD_OSC,0.748315,方案 4,3
RSI + MACD_OSC,0.748315,方案 1,2
MACD_OSC + Vol_Mom + BB_Pos,0.741923,方案 4,3
MACD_OSC + Noise + BB_Pos,0.741923,方案 4,3
MACD_OSC + BB_Pos,0.741923,方案 1,2
Noise + BIAS_Accel,0.729209,方案 1,2
Noise + BB_Pos + BIAS_Accel,0.729209,方案 4,3
Noise + Vol_Mom + BIAS_Accel,0.729209,方案 4,3
RSI + BIAS_20 + Noise,0.726113,方案 4,3
RSI + Noise,0.726113,方案 1,2
RSI + MACD_OSC + Noise,0.726113,方案 4,3
BIAS_20 + MACD_OSC + Noise,0.721748,方案 4,3
BIAS_20 + Noise,0.721748,方案 1,2
RSI + Noise + Vol_Mom,0.712937,方案 4,3
RSI + Vol_Mom,0.712937,方案 1,2
RSI + MACD_OSC + Vol_Mom,0.712937,方案 4,3
RSI + BIAS_20 + Vol_Mom,0.712937,方案 4,3
BIAS_20 + Noise + Vol_Mom,0.712787,方案 4,3
BIAS_20 + Vol_Mom,0.712787,方案 1,2
BIAS_20 + MACD_OSC + Vol_Mom,0.712787,方案 4,3
Noise + BB_Pos,0.70508,方案 1,2
Noise + Vol_Mom + BB_Pos,0.70508,方案 4,3
Vol_Mom + BIAS_Accel,0.703127,方案 1,2
Vol_Mom + BB_Pos + BIAS_Accel,0.703127,方案 4,3
Vol_Mom + BB_Pos,0.697494,方案 1,2
Noise + Vol_Mom,0.697178,方案 1,2
MACD_OSC + Noise,0.696911,方案 1,2
MACD_OSC + Noise + Vol_Mom,0.682455,方案 4,3
MACD_OSC + Vol_Mom,0.682455,方案 1,2
