Combo,WinRate,PF
MACD_Death_Cross + Upper_Band,0.6842,5.1805
MACD_Momentum_Up + MACD_Momentum_Down,0.6579,4.229
MACD_Bearish_Strong + KDJ_K,0.6053,3.9191
MACD_Death_Cross + Bias_Divergence,0.6316,3.8783
MACD_Death_Cross + +DI,0.6842,3.8234
Vol_Spike + Bias_Divergence,0.6579,3.8142
OBV + ADX_5,0.6579,3.761
OBV + BIAS_20,0.6579,3.761
OBV + BIAS_6,0.6579,3.761
OBV + BIAS_Short_Col,0.6579,3.761
OBV + Vol_Spike,0.6579,3.761
OBV + Vol_Ratio,0.6579,3.761
OBV + +DI,0.6579,3.761
OBV + ADX,0.6579,3.761
OBV + -DI,0.6579,3.761
OBV + CCI,0.6579,3.761
OBV + OBV_MA,0.6579,3.761
OBV + ATR_20,0.6579,3.761
OBV + Bullish_Align,0.6579,3.761
OBV + Vol_MA6,0.6579,3.761
OBV + Strong_Trend,0.6579,3.761
OBV + Bias_Divergence,0.6579,3.761
OBV + V_MA20,0.6579,3.761
OBV + Bias_Ratio,0.6579,3.761
OBV + MA20,0.6579,3.761
OBV + High_120,0.6579,3.761
OBV + MA200,0.6579,3.761
OBV + DMA_Momentum_Up,0.6579,3.761
OBV + DMA_Diff,0.6579,3.761
OBV + DMA_Bullish,0.6579,3.761
OBV + DMA_Death_Cross,0.6579,3.761
OBV + DMA_Golden_Cross,0.6579,3.761
OBV + AMA,0.6579,3.761
OBV + DMA,0.6579,3.761
OBV + MA_Long,0.6579,3.761
OBV + MA_Short,0.6579,3.761
OBV + Golden_Cross,0.6579,3.761
OBV + Short_Term_Rebound,0.6579,3.761
OBV + MA_60,0.6579,3.761
DMA_Death_Cross + DMA_Bullish,0.6053,3.6587
Bullish_Align + DMA_Momentum_Up,0.6316,3.5978
MACD_Momentum_Down + Williams,0.6316,3.5887
MACD_Death_Cross + -DI,0.5526,3.5757
MACD_Bearish_Zone + ATR_20,0.6842,3.5355
MACD_Death_Cross + RSI,0.6053,3.5137
MACD_Bearish_Zone + MA200,0.6316,3.4266
MACD_Golden_Cross + ADX_5,0.5676,3.3589
MACD_Death_Cross + Bias_Ratio,0.6579,3.3574
DMA_Death_Cross + V_MA20,0.6053,3.3383
MACD_Golden_Cross + High_120,0.6053,3.2963
Bullish_Align + Strong_Trend,0.6053,3.281
MACD_Bullish_Zone + Williams,0.5526,3.2345
Bullish_Align + Golden_Cross,0.6053,3.2307
MACD_Momentum_Down + MA200,0.5789,3.2023
MACD_Momentum_Up + BIAS_Short_Col,0.6316,3.1374
MACD_Bullish_Strong + MA_Short,0.6053,3.1357
MACD_Death_Cross + Short_Term_Rebound,0.6316,3.1235
MACD_Bullish_Strong + MA200,0.6053,3.1193
MACD_Momentum_Down + Strong_Trend,0.6842,3.1063
MACD_Death_Cross + Lower_Band,0.6316,3.0999
Short_Term_Rebound + Strong_Trend,0.6316,3.0072
DMA_Death_Cross + MA_60,0.6316,2.9801
MACD_Bearish_Strong + KDJ_D,0.5789,2.9758
Vol_Spike + ATR_20,0.6316,2.9666
MACD_Momentum_Down + Vol_Ratio,0.6053,2.9281
MACD_Bearish_Strong + BIAS_Short_Col,0.5789,2.9035
Golden_Cross + V_MA20,0.6316,2.9012
MACD_Bearish_Strong + OBV,0.5789,2.8855
MACD_Golden_Cross + MACD_Bearish_Strong,0.5789,2.8736
MACD_Momentum_Down + OBV_MA,0.6842,2.8656
Bullish_Align + Short_Term_Rebound,0.6579,2.8521
MACD_Golden_Cross + Williams,0.6316,2.8265
MACD_Death_Cross + MA_Short,0.6316,2.8209
MACD_Golden_Cross + CCI,0.6053,2.7985
MACD_Bearish_Zone + MACD_Momentum_Down,0.6053,2.7663
Bias_Divergence + DMA_Bullish,0.6579,2.7301
MACD_Bearish_Strong + Golden_Cross,0.6053,2.7183
Vol_Spike + DMA_Momentum_Up,0.6053,2.7044
MACD_Momentum_Down + BIAS_Short_Col,0.5789,2.6826
MACD_Momentum_Up + Vol_MA6,0.6316,2.6813
DMA_Death_Cross + Bias_Ratio,0.6053,2.6722
MACD_Bearish_Zone + MACD_Diff,0.6053,2.6487
DEMA_5 + WMA_10,0.5789,2.6431
DEMA_5 + ATR_20,0.5789,2.6431
DEMA_5 + MA_60,0.5789,2.6431
DEMA_5 + Bias_Ratio,0.5789,2.6431
DEMA_5 + SMA_10,0.5789,2.6431
DEMA_5 + EMA_10,0.5789,2.6431
DEMA_5 + MA_10,0.5789,2.6431
DEMA_5 + HMA_10,0.5789,2.6431
DEMA_5 + V_MA20,0.5789,2.6431
DEMA_5 + DMA_Death_Cross,0.5789,2.6431
DEMA_5 + MA20,0.5789,2.6431
DEMA_5 + High_120,0.5789,2.6431
DEMA_5 + AMA,0.5789,2.6431
DEMA_5 + DMA,0.5789,2.6431
DEMA_5 + DMA_Bullish,0.5789,2.6431
DEMA_5 + MA_Long,0.5789,2.6431
DEMA_5 + MA_Short,0.5789,2.6431
DEMA_5 + DMA_Diff,0.5789,2.6431
DEMA_5 + Golden_Cross,0.5789,2.6431
