Combination,Impact_Score
BIAS_Accel + BB_Pos,1.0
Foreign_LayoutScore + FinancingUsageRatio,1.0
Foreign_LayoutScore + ShortFinancingPercent,1.0
Foreign_LayoutScore + FinancingBuyVolK,1.0
Foreign_LayoutScore + FinancingSellVolK,1.0
Foreign_LayoutScore + FinancingPaybackVolK,1.0
Foreign_LayoutScore + FinancingTotalVolK,1.0
Foreign_LayoutScore + FinancingLimitVolK,1.0
Foreign_LayoutScore + ShortBuyVolK,1.0
Foreign_LayoutScore + Foreign_Hold_Increasing,1.0
Foreign_LayoutScore + ShortSellVolK,1.0
Foreign_LayoutScore + ShortRepayVolK,1.0
Foreign_LayoutScore + ShortTotalVolK,1.0
Foreign_LayoutScore + ShortLimitVolK,1.0
Foreign_LayoutScore + ShortUsageRatio,1.0
Foreign_LayoutScore + LendingSellVolK,1.0
Foreign_LayoutScore + DayTradingVolK,1.0
Foreign_LayoutScore + Foreign_Consecutive_BuyDays,1.0
Foreign_LayoutScore + LendingTotalVolK,1.0
MACD_Bearish_Strong + KDJ_D,1.0
MACD_Bearish_Strong + -DI,1.0
MACD_Bearish_Strong + +DI,1.0
MACD_Bearish_Strong + CCI,1.0
MACD_Bearish_Strong + OBV_MA,1.0
MACD_Bearish_Strong + OBV,1.0
MACD_Bearish_Strong + KDJ_J,1.0
MACD_Bearish_Strong + KDJ_K,1.0
MACD_Bearish_Strong + MACD_Momentum_Ratio,1.0
MACD_Bearish_Strong + Williams,1.0
MACD_Bearish_Strong + BOLL,1.0
MACD_Bearish_Strong + Lower_Band,1.0
MACD_Bearish_Strong + Upper_Band,1.0
MACD_Bearish_Strong + SMA,1.0
MACD_Bearish_Strong + RSI,1.0
Foreign_LayoutScore + LendingRepayVolK,1.0
Foreign_LayoutScore + DirSupHoldPercent,1.0
MACD_Bearish_Strong + ADX_5,1.0
Foreign_Consecutive_BuyDays + LendingTotalVolK,1.0
Foreign_Consecutive_BuyDays + ShortRepayVolK,1.0
Foreign_Consecutive_BuyDays + ShortTotalVolK,1.0
Foreign_Consecutive_BuyDays + ShortLimitVolK,1.0
Foreign_Consecutive_BuyDays + ShortUsageRatio,1.0
Foreign_Consecutive_BuyDays + LendingSellVolK,1.0
Foreign_Consecutive_BuyDays + LendingRepayVolK,1.0
Foreign_Consecutive_BuyDays + DirSupHoldPercent,1.0
Foreign_Consecutive_BuyDays + ShortBuyVolK,1.0
Foreign_Consecutive_BuyDays + MainHolderCount,1.0
Foreign_Consecutive_BuyDays + MainHoldPercent,1.0
Foreign_Consecutive_BuyDays + TotalDifferenceVolK,1.0
Foreign_Consecutive_BuyDays + TotalOverbuyVolK,1.0
Foreign_Consecutive_BuyDays + TotalOversellVolK,1.0
Foreign_Consecutive_BuyDays + TradeVolumeRate,1.0
Foreign_Consecutive_BuyDays + ShortSellVolK,1.0
Foreign_Consecutive_BuyDays + FinancingUsageRatio,1.0
Foreign_LayoutScore + MainHolderCount,1.0
Foreign_LayoutScore + BB_Pos,1.0
Foreign_LayoutScore + MainHoldPercent,1.0
Foreign_LayoutScore + TotalDifferenceVolK,1.0
Foreign_LayoutScore + TotalOverbuyVolK,1.0
Foreign_LayoutScore + TotalOversellVolK,1.0
Foreign_LayoutScore + TradeVolumeRate,1.0
Foreign_LayoutScore + BIAS_Accel,1.0
Foreign_Consecutive_BuyDays + Foreign_Hold_Increasing,1.0
Foreign_Consecutive_BuyDays + FinancingLimitVolK,1.0
Foreign_Consecutive_BuyDays + DayTradingVolK,1.0
Foreign_Consecutive_BuyDays + ShortFinancingPercent,1.0
Foreign_Consecutive_BuyDays + FinancingBuyVolK,1.0
Foreign_Consecutive_BuyDays + FinancingSellVolK,1.0
Foreign_Consecutive_BuyDays + FinancingPaybackVolK,1.0
Foreign_Consecutive_BuyDays + FinancingTotalVolK,1.0
MACD_Bearish_Strong + ADX,1.0
MACD_Bearish_Strong + Vol_MA6,1.0
Foreign_Consecutive_BuyDays + BB_Pos,1.0
MACD_Bearish_Strong + ShortFinancingPercent,1.0
MACD_Bearish_Strong + FinancingUsageRatio,1.0
MACD_Bearish_Strong + FinancingLimitVolK,1.0
MACD_Bearish_Strong + FinancingTotalVolK,1.0
MACD_Bearish_Strong + FinancingPaybackVolK,1.0
MACD_Bearish_Strong + FinancingSellVolK,1.0
MACD_Bearish_Strong + FinancingBuyVolK,1.0
MACD_Bearish_Strong + DayTradingVolK,1.0
MACD_Bearish_Strong + ShortSellVolK,1.0
MACD_Bearish_Strong + Foreign_Hold_Increasing,1.0
MACD_Bearish_Strong + Foreign_Consecutive_BuyDays,1.0
MACD_Bearish_Strong + Foreign_LayoutScore,1.0
MACD_Bearish_Strong + Foreign_VolumeK,1.0
MACD_Bearish_Strong + TotalSellVolK,1.0
MACD_Bearish_Strong + TotalDiffVolK,1.0
MACD_Bearish_Strong + ShortBuyVolK,1.0
MACD_Bearish_Strong + ShortRepayVolK,1.0
MACD_Bearish_Strong + InvestmentTrustSellVolK,1.0
MACD_Bearish_Strong + MainHoldPercent,1.0
MACD_Bearish_Strong + BB_Pos,1.0
MACD_Bearish_Strong + BIAS_Accel,1.0
MACD_Bearish_Strong + TradeVolumeRate,1.0
MACD_Bearish_Strong + TotalOversellVolK,1.0
MACD_Bearish_Strong + TotalOverbuyVolK,1.0
MACD_Bearish_Strong + TotalDifferenceVolK,1.0
MACD_Bearish_Strong + MainHolderCount,1.0
MACD_Bearish_Strong + ShortTotalVolK,1.0
MACD_Bearish_Strong + DirSupHoldPercent,1.0
MACD_Bearish_Strong + LendingTotalVolK,1.0
MACD_Bearish_Strong + LendingRepayVolK,1.0
MACD_Bearish_Strong + LendingSellVolK,1.0
MACD_Bearish_Strong + ShortUsageRatio,1.0
MACD_Bearish_Strong + ShortLimitVolK,1.0
MACD_Bearish_Strong + TotalBuyVolK,1.0
MACD_Bearish_Strong + InvestmentTrustDiffVolK,1.0
MACD_Bearish_Strong + Vol_Ratio,1.0
MACD_Bearish_Strong + Bias_Divergence,1.0
MACD_Bearish_Strong + DMA_Death_Cross,1.0
MACD_Bearish_Strong + AMA,1.0
MACD_Bearish_Strong + DMA,1.0
MACD_Bearish_Strong + MA_Long,1.0
MACD_Bearish_Strong + MA_Short,1.0
MACD_Bearish_Strong + Golden_Cross,1.0
MACD_Bearish_Strong + Strong_Trend,1.0
MACD_Bearish_Strong + DMA_Diff,1.0
MACD_Bearish_Strong + Short_Term_Rebound,1.0
MACD_Bearish_Strong + Bullish_Align,1.0
MACD_Bearish_Strong + BIAS_20,1.0
MACD_Bearish_Strong + BIAS_6,1.0
MACD_Bearish_Strong + BIAS_Short_Col,1.0
MACD_Bearish_Strong + Vol_Spike,1.0
MACD_Bearish_Strong + DMA_Bullish,1.0
MACD_Bearish_Strong + DMA_Momentum_Up,1.0
MACD_Bearish_Strong + InvestmentTrustBuyVolK,1.0
MACD_Bearish_Strong + DealerBuyVolK,1.0
MACD_Bearish_Strong + ForeignSellVolK,1.0
MACD_Bearish_Strong + ForeignHoldPercent,1.0
MACD_Bearish_Strong + ForeignDiffVolK,1.0
MACD_Bearish_Strong + ForeignBuyVolK,1.0
MACD_Bearish_Strong + DealerSellVolK,1.0
MACD_Bearish_Strong + DealerDiffVolK,1.0
MACD_Bearish_Strong + ChangePercent,1.0
MACD_Bearish_Strong + MA200,1.0
MACD_Bearish_Strong + ATR_20,1.0
MACD_Bearish_Strong + MA_60,1.0
MACD_Bearish_Strong + V_MA20,1.0
MACD_Bearish_Strong + Bias_Ratio,1.0
MACD_Bearish_Strong + MA20,1.0
MACD_Bearish_Strong + High_120,1.0
Foreign_Consecutive_BuyDays + BIAS_Accel,1.0
MACD_Bearish_Strong + DMA_Golden_Cross,1.0
Golden_Cross + InvestmentTrustBuyVolK,0.990806
Golden_Cross + TotalDifferenceVolK,0.990806
Golden_Cross + TotalOversellVolK,0.990806
Golden_Cross + TradeVolumeRate,0.990806
Golden_Cross + BIAS_Accel,0.990806
Golden_Cross + BB_Pos,0.990806
Golden_Cross + MA_Short,0.990806
Golden_Cross + MA_Long,0.990806
Golden_Cross + DMA,0.990806
Golden_Cross + AMA,0.990806
Golden_Cross + DMA_Golden_Cross,0.990806
Golden_Cross + DMA_Death_Cross,0.990806
Golden_Cross + DMA_Bullish,0.990806
Golden_Cross + DMA_Diff,0.990806
Golden_Cross + DMA_Momentum_Up,0.990806
Golden_Cross + MA200,0.990806
Golden_Cross + High_120,0.990806
Golden_Cross + MA20,0.990806
Golden_Cross + Bias_Ratio,0.990806
Golden_Cross + V_MA20,0.990806
Golden_Cross + ForeignSellVolK,0.990806
Golden_Cross + MA_60,0.990806
Golden_Cross + ATR_20,0.990806
Golden_Cross + ChangePercent,0.990806
Golden_Cross + DealerBuyVolK,0.990806
Golden_Cross + DealerDiffVolK,0.990806
Golden_Cross + DealerSellVolK,0.990806
Golden_Cross + ForeignBuyVolK,0.990806
Golden_Cross + ForeignDiffVolK,0.990806
Golden_Cross + TotalOverbuyVolK,0.990806
Golden_Cross + ForeignHoldPercent,0.990806
Golden_Cross + MainHoldPercent,0.990806
Golden_Cross + DayTradingVolK,0.990806
Golden_Cross + FinancingLimitVolK,0.990806
Golden_Cross + FinancingUsageRatio,0.990806
Golden_Cross + ShortBuyVolK,0.990806
