Combination,Impact_Score,Profit_Factor
Stock + Stock_id,0.0,0.0
CCI + DMA_Bullish,0.0,0.0
CCI + Vol_Ratio,0.0,0.0
CCI + Vol_Spike,0.0,0.0
CCI + BIAS_Short_Col,0.0,0.0
CCI + BIAS_6,0.0,0.0
CCI + BIAS_20,0.0,0.0
CCI + Bullish_Align,0.0,0.0
CCI + Short_Term_Rebound,0.0,0.0
CCI + Strong_Trend,0.0,0.0
CCI + Bias_Divergence,0.0,0.0
CCI + Golden_Cross,0.0,0.0
CCI + MA_Short,0.0,0.0
CCI + MA_Long,0.0,0.0
CCI + DMA,0.0,0.0
CCI + AMA,0.0,0.0
CCI + DMA_Golden_Cross,0.0,0.0
CCI + Vol_MA6,0.0,0.0
CCI + ADX_5,0.0,0.0
CCI + ADX,0.0,0.0
OBV_MA + MainHoldPercent,0.0,0.0
OBV_MA + LendingSellVolK,0.0,0.0
OBV_MA + LendingRepayVolK,0.0,0.0
OBV_MA + LendingTotalVolK,0.0,0.0
OBV_MA + DirSupHoldPercent,0.0,0.0
OBV_MA + EndDate,0.0,0.0
OBV_MA + MainHolderCount,0.0,0.0
OBV_MA + StartDate,0.0,0.0
CCI + -DI,0.0,0.0
OBV_MA + TotalDifferenceVolK,0.0,0.0
OBV_MA + TotalOverbuyVolK,0.0,0.0
OBV_MA + TotalOversellVolK,0.0,0.0
OBV_MA + TradeVolumeRate,0.0,0.0
OBV_MA + Vol_Mom,0.0,0.0
CCI + +DI,0.0,0.0
CCI + DMA_Death_Cross,0.0,0.0
CCI + DMA_Diff,0.0,0.0
OBV_MA + ShortLimitVolK,0.0,0.0
CCI + DMA_Momentum_Up,0.0,0.0
CCI + InvestmentTrustSellVolK,0.0,0.0
CCI + TotalBuyVolK,0.0,0.0
CCI + TotalDiffVolK,0.0,0.0
CCI + TotalSellVolK,0.0,0.0
CCI + FormattedDate,0.0,0.0
CCI + Foreign_VolumeK,0.0,0.0
CCI + Foreign_LayoutScore,0.0,0.0
CCI + Foreign_Consecutive_BuyDays,0.0,0.0
CCI + Foreign_Hold_Increasing,0.0,0.0
CCI + Symbol,0.0,0.0
CCI + DayTradingVolK,0.0,0.0
CCI + ShortFinancingPercent,0.0,0.0
CCI + FinancingBuyVolK,0.0,0.0
CCI + FinancingSellVolK,0.0,0.0
CCI + FinancingPaybackVolK,0.0,0.0
CCI + InvestmentTrustDiffVolK,0.0,0.0
CCI + InvestmentTrustBuyVolK,0.0,0.0
CCI + ForeignSellVolK,0.0,0.0
CCI + MA_60,0.0,0.0
CCI + Action,0.0,0.0
CCI + MA200,0.0,0.0
CCI + High_120,0.0,0.0
CCI + MA20,0.0,0.0
CCI + Bias_Ratio,0.0,0.0
CCI + V_MA20,0.0,0.0
CCI + ATR_20,0.0,0.0
CCI + ForeignHoldPercent,0.0,0.0
CCI + ChangePercent,0.0,0.0
CCI + DealerBuyVolK,0.0,0.0
CCI + DealerDiffVolK,0.0,0.0
CCI + DealerSellVolK,0.0,0.0
CCI + ForeignBuyVolK,0.0,0.0
CCI + ForeignDiffVolK,0.0,0.0
OBV_MA + ShortUsageRatio,0.0,0.0
OBV_MA + ShortTotalVolK,0.0,0.0
