Combination,Impact_Score,Scheme,Complexity
BIAS_20 + BB_Pos,0.827667,方案 3 (2位元),2
RSI + BB_Pos,0.823269,方案 3 (2位元),2
RSI + BIAS_20,0.821327,方案 3 (2位元),2
BIAS_20 + MACD_OSC,0.809049,方案 3 (2位元),2
RSI + MACD_OSC,0.804129,方案 3 (2位元),2
MACD_OSC + BB_Pos,0.792013,方案 3 (2位元),2
BIAS_20 + BIAS_Accel,0.790955,方案 3 (2位元),2
RSI + BIAS_Accel,0.787752,方案 3 (2位元),2
BB_Pos + BIAS_Accel,0.783856,方案 3 (2位元),2
MACD_OSC + BIAS_Accel,0.780148,方案 3 (2位元),2
BIAS_20 + Vol_Mom + BB_Pos,0.767338,方案 4 (3位元),3
BIAS_20 + Noise + BB_Pos,0.767338,方案 4 (3位元),3
BIAS_20 + MACD_OSC + BB_Pos,0.767338,方案 4 (3位元),3
RSI + Vol_Mom + BB_Pos,0.767022,方案 4 (3位元),3
RSI + Noise + BB_Pos,0.767022,方案 4 (3位元),3
RSI + BIAS_20 + BB_Pos,0.767022,方案 4 (3位元),3
RSI + MACD_OSC + BB_Pos,0.767022,方案 4 (3位元),3
BIAS_20 + BB_Pos + BIAS_Accel,0.764782,方案 4 (3位元),3
BIAS_20 + Vol_Mom + BIAS_Accel,0.764782,方案 4 (3位元),3
BIAS_20 + Noise + BIAS_Accel,0.764782,方案 4 (3位元),3
BIAS_20 + MACD_OSC + BIAS_Accel,0.764782,方案 4 (3位元),3
RSI + Noise + BIAS_Accel,0.763427,方案 4 (3位元),3
RSI + MACD_OSC + BIAS_Accel,0.763427,方案 4 (3位元),3
RSI + BB_Pos + BIAS_Accel,0.763427,方案 4 (3位元),3
RSI + BIAS_20 + BIAS_Accel,0.763427,方案 4 (3位元),3
RSI + Vol_Mom + BIAS_Accel,0.763427,方案 4 (3位元),3
MACD_OSC + Vol_Mom + BIAS_Accel,0.759048,方案 4 (3位元),3
MACD_OSC + BB_Pos + BIAS_Accel,0.759048,方案 4 (3位元),3
MACD_OSC + Noise + BIAS_Accel,0.759048,方案 4 (3位元),3
RSI + BIAS_20 + MACD_OSC,0.748315,方案 4 (3位元),3
MACD_OSC + Noise + BB_Pos,0.741923,方案 4 (3位元),3
MACD_OSC + Vol_Mom + BB_Pos,0.741923,方案 4 (3位元),3
BIAS_20 + Vol_Mom,0.739247,方案 3 (2位元),2
Noise + BB_Pos + BIAS_Accel,0.729209,方案 4 (3位元),3
Noise + Vol_Mom + BIAS_Accel,0.729209,方案 4 (3位元),3
RSI + MACD_OSC + Noise,0.726113,方案 4 (3位元),3
RSI + BIAS_20 + Noise,0.726113,方案 4 (3位元),3
BIAS_20 + MACD_OSC + Noise,0.721748,方案 4 (3位元),3
Noise + Vol_Mom,0.721143,方案 3 (2位元),2
RSI + Vol_Mom,0.717972,方案 3 (2位元),2
Vol_Mom + BB_Pos,0.713821,方案 3 (2位元),2
RSI + BIAS_20 + Vol_Mom,0.712937,方案 4 (3位元),3
RSI + Noise + Vol_Mom,0.712937,方案 4 (3位元),3
RSI + MACD_OSC + Vol_Mom,0.712937,方案 4 (3位元),3
BIAS_20 + Noise + Vol_Mom,0.712787,方案 4 (3位元),3
BIAS_20 + MACD_OSC + Vol_Mom,0.712787,方案 4 (3位元),3
Noise + Vol_Mom + BB_Pos,0.70508,方案 4 (3位元),3
Vol_Mom + BB_Pos + BIAS_Accel,0.703127,方案 4 (3位元),3
RSI + Noise,0.684405,方案 3 (2位元),2
MACD_OSC + Noise + Vol_Mom,0.682455,方案 4 (3位元),3
Vol_Mom + BIAS_Accel,0.681745,方案 3 (2位元),2
Noise + BIAS_Accel,0.675418,方案 3 (2位元),2
MACD_OSC + Vol_Mom,0.674188,方案 3 (2位元),2
BIAS_20 + Noise,0.661456,方案 3 (2位元),2
Noise + BB_Pos,0.644948,方案 3 (2位元),2
MACD_OSC + Noise,0.619058,方案 3 (2位元),2
