                    股號           名稱       現價  指標(DMA)  累計損益(%)  交易次數    目前狀態 短 中 長                                                        專業建議                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  trades_list
                  7806         精華生醫    74.40    -1.74    -2.29     4   ⏳ 觀察中 ▼ ▼ ▼                              🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 80.5。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [{'Buy_Date': '2026-01-02', 'Buy_Price': '73.70', 'Sell_Date': '2026-01-14', 'Sell_Price': '72.20', 'Profit_Pct%': -2.0352782389587807, 'Reason': '📉 趨勢反轉：中期指標由正轉負 (-0.07)'}, {'Buy_Date': '2026-02-06', 'Buy_Price': '78.20', 'Sell_Date': '2026-02-25', 'Sell_Price': '78.00', 'Profit_Pct%': -0.25575058312658794, 'Reason': '🚨 價格防衛：收盤價 78.0 跌破移動支撐位(80.1)'}]
                  6831           邁科   473.00    13.48     0.00     0   ⚪ 觀望中 ▼ ▲ ▲                             ⚪ 觀望為宜：不符合進場模型，保持耐心等待指標翻正與紅K出現。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           []
                00696B      富邦美債20年    29.02    -0.20    -0.20     6   ⚪ 觀望中 ▼ ▼ ▼       🚨 剛觸發賣出：🚨 價格防衛：收盤價 29.74 跌破移動支撐位(29.81)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                            [{'Buy_Date': '2026-01-13', 'Buy_Price': '29.56', 'Sell_Date': '2026-01-16', 'Sell_Price': '29.65', 'Profit_Pct%': 0.30160578149178097, 'Reason': '🚨 價格防衛：收盤價 29.65 跌破移動支撐位(29.67)'}, {'Buy_Date': '2026-02-06', 'Buy_Price': '29.59', 'Sell_Date': '2026-02-09', 'Sell_Price': '29.45', 'Profit_Pct%': -0.4731307501791163, 'Reason': '🚨 價格防衛：收盤價 29.45 跌破移動支撐位(29.47)'}, {'Buy_Date': '2026-02-23', 'Buy_Price': '29.75', 'Sell_Date': '2026-02-25', 'Sell_Price': '29.74', 'Profit_Pct%': -0.033302134225805156, 'Reason': '🚨 價格防衛：收盤價 29.74 跌破移動支撐位(29.81)'}]
                  6153          嘉聯益    18.00     0.01    -7.08     4   ⚪ 觀望中 ▼ ▲ ▲        🚨 剛觸發賣出：🚨 價格防衛：收盤價 17.05 跌破移動支撐位(17.1)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [{'Buy_Date': '2026-01-07', 'Buy_Price': '16.05', 'Sell_Date': '2026-01-08', 'Sell_Price': '15.10', 'Profit_Pct%': -5.918996266392667, 'Reason': '🚨 價格防衛：收盤價 15.1 跌破移動支撐位(15.3)'}, {'Buy_Date': '2026-03-17', 'Buy_Price': '17.25', 'Sell_Date': '2026-03-20', 'Sell_Price': '17.05', 'Profit_Pct%': -1.1594247124637695, 'Reason': '🚨 價格防衛：收盤價 17.05 跌破移動支撐位(17.1)'}]
                  8261           富鼎   119.50     3.28     5.88     8   ⚪ 觀望中 ▼ ▲ ▲       🚨 剛觸發賣出：🚨 價格防衛：收盤價 117.0 跌破移動支撐位(126.5)。目前已空手，優先鎖利落袋。                                                                                                                                                                            [{'Buy_Date': '2026-01-02', 'Buy_Price': '92.30', 'Sell_Date': '2026-01-07', 'Sell_Price': '90.80', 'Profit_Pct%': -1.6251353742189798, 'Reason': '🚨 價格防衛：收盤價 90.8 跌破移動支撐位(91.5)'}, {'Buy_Date': '2026-01-20', 'Buy_Price': '96.70', 'Sell_Date': '2026-01-23', 'Sell_Price': '96.90', 'Profit_Pct%': 0.20682997312516735, 'Reason': '🚨 價格防衛：收盤價 96.9 跌破移動支撐位(99.6)'}, {'Buy_Date': '2026-03-06', 'Buy_Price': '101.00', 'Sell_Date': '2026-03-20', 'Sell_Price': '107.50', 'Profit_Pct%': 6.435643564356436, 'Reason': '🚨 價格防衛：收盤價 107.5 跌破移動支撐位(111.5)'}, {'Buy_Date': '2026-04-16', 'Buy_Price': '116.00', 'Sell_Date': '2026-04-23', 'Sell_Price': '117.00', 'Profit_Pct%': 0.8620689655172413, 'Reason': '🚨 價格防衛：收盤價 117.0 跌破移動支撐位(126.5)'}]
                  6205           詮欣    94.50    13.79    11.16     4   ⚪ 觀望中 ▲ ▲ ▲         🚨 剛觸發賣出：🚨 價格防衛：收盤價 78.5 跌破移動支撐位(86.5)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [{'Buy_Date': '2026-01-02', 'Buy_Price': '61.00', 'Sell_Date': '2026-01-07', 'Sell_Price': '58.90', 'Profit_Pct%': -3.442620449344259, 'Reason': '🚨 價格防衛：收盤價 58.9 跌破移動支撐位(59.0)'}, {'Buy_Date': '2026-04-14', 'Buy_Price': '68.50', 'Sell_Date': '2026-04-23', 'Sell_Price': '78.50', 'Profit_Pct%': 14.5985401459854, 'Reason': '🚨 價格防衛：收盤價 78.5 跌破移動支撐位(86.5)'}]
                  7595         世基生醫     9.99    -0.17     0.00     0   ⏳ 觀察中 ▼ ▼ ▼                             🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 11.05。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           []
                  1789           神隆    20.15    -0.71    41.22     2   ⏳ 觀察中 ▼ ▼ ▼                              🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 21.9。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [{'Buy_Date': '2026-01-06', 'Buy_Price': '18.80', 'Sell_Date': '2026-01-21', 'Sell_Price': '26.55', 'Profit_Pct%': 41.22340592815619, 'Reason': '🚨 價格防衛：收盤價 26.55 跌破移動支撐位(27.3)'}]
                  3171         炎洲流通    68.90     0.57     0.53     4   ⚪ 觀望中 ▲ ▲ ▲         🚨 剛觸發賣出：🚨 價格防衛：收盤價 47.6 跌破移動支撐位(47.9)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [{'Buy_Date': '2026-01-02', 'Buy_Price': '47.05', 'Sell_Date': '2026-01-05', 'Sell_Price': '47.20', 'Profit_Pct%': 0.3188130249356385, 'Reason': '📉 趨勢反轉：中期指標由正轉負 (-0.38)'}, {'Buy_Date': '2026-01-09', 'Buy_Price': '47.50', 'Sell_Date': '2026-01-13', 'Sell_Price': '47.60', 'Profit_Pct%': 0.21052310336841631, 'Reason': '🚨 價格防衛：收盤價 47.6 跌破移動支撐位(47.9)'}]
                  4721          美琪瑪    86.50     0.73     2.12     2   ⚪ 觀望中 ▼ ▲ ▲         🚨 剛觸發賣出：🚨 價格防衛：收盤價 72.4 跌破移動支撐位(73.7)。目前已空手，優先鎖利落袋。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [{'Buy_Date': '2026-03-16', 'Buy_Price': '70.90', 'Sell_Date': '2026-03-30', 'Sell_Price': '72.40', 'Profit_Pct%': 2.115655807781676, 'Reason': '🚨 價格防衛：收盤價 72.4 跌破移動支撐位(73.7)'}]
