prev_eps_yoy,prev_rev_yoy,eps,prev_year,rev_yoy,symbol,expansion,date,gm,om,pe,status,eps_yoy,prev_eps,price,est_price,advice,name
254.55,-8.85,1.77,2025,0.89,4916.TW,8049.11,2025-12,18.73%,8.07%,15.326876328595644,🚀 利潤擴張,8050.0,1.14,63.2999992371,61.949999999999996,✅ 穩健價值,事欣科
1971.43,23.87,0.68,2025,16.55,3062.TW,6583.45,2025-12,1.56%,-12.63%,4.106858054226476,🚀 利潤擴張,6600.0,1.47,25.75,94.05,💎 強力關注,建漢
1150.0,-15.18,2.85,2025,-12.89,2547.TW,3625.39,2025-12,47.97%,18.04%,0.9159292373008848,🧐 疑業外收益,3612.5,2.78,10.3500003815,169.5,💎 強力關注,日勝生
1737.5,158.06,1.4,2025,128.22,6649.TWO,3471.78,2025-12,N/A,N/A,9.636803689370462,🚀 利潤擴張,3600.0,1.31,39.7999992371,61.949999999999996,💎 強力關注,台生材
221.54,26.89,3.51,2025,28.87,3189.TW,3043.86,2025-12,22.14%,8.52%,70.14531043593131,🚀 利潤擴張,3072.73,2.1,531.0,113.55,⚠️ 追價風險,景碩
3600.0,36.66,0.52,2025,27.32,5521.TW,2472.68,2025-12,N/A,N/A,11.188119000693069,🚀 利潤擴張,2500.0,0.37,11.3000001907,15.15,💎 強力關注,工信
3177.63,15.97,22.26,2025,-7.15,4523.TWO,1569.15,2025-12,-8.90%,-91.14%,0.7973856209150325,🧐 疑業外收益,1562.0,23.73,30.5,573.7500000000001,💎 強力關注,永彰
-125.0,4.99,6.03,2025,4.63,1432.TW,1497.6999999999998,2025-12,34.83%,-28.70%,3.0144405709205775,🔄 轉虧為盈,1502.33,-0.36,16.7000007629,83.1,💎 強力關注,大魯閣
196.87,27.63,1.28,2025,37.66,4542.TWO,1462.34,2025-12,35.25%,7.09%,69.5859872611465,🚀 利潤擴張,1500.0,0.95,218.5,47.1,⚠️ 追價風險,科嶠
-71.04,-27.3,35.57,2025,-30.75,3708.TW,1307.4,2025-12,24.80%,-95.04%,3.282484336692999,🧐 疑業外收益,1276.65,0.53,120.5,550.65,💎 強力關注,上緯投控
173.33,73.71,1.02,2025,64.51,4903.TWO,1292.63,2025-12,9.90%,-0.59%,27.289156166927715,🚀 利潤擴張,1357.14,0.82,45.2999992371,24.9,⚠️ 追價風險,聯光通
606.25,46.55,1.64,2025,40.69,1815.TWO,1075.98,2025-12,29.01%,12.18%,35.73770491803278,🚀 利潤擴張,1116.67,0.81,109.0,45.75000000000001,⚠️ 追價風險,富喬
1777.36,53.98,12.05,2025,56.24,5284.TW,1048.91,2025-12,N/A,N/A,12.160254147546771,🚀 利潤擴張,1105.15,9.16,344.5,424.95,✅ 穩健價值,jpp-KY
-45.45,-10.59,0.11,2025,-8.11,5488.TWO,1008.11,2025-12,N/A,N/A,26.756755725675678,🧐 疑業外收益,1000.0,0.06,9.8999996185,5.55,⚠️ 追價風險,松普
1700.0,10.42,1.41,2025,14.95,2331.TW,966.3,2025-12,9.91%,-0.28%,4.3125001589375005,🚀 利潤擴張,981.25,1.44,20.7000007629,72.0,💎 強力關注,精英
810.64,-4.5,12.33,2025,-6.28,4123.TWO,912.1999999999999,2025-12,41.95%,-106.23%,2.368581907090465,🧐 疑業外收益,905.92,3.52,38.75,245.39999999999998,💎 強力關注,晟德
133.73,38.48,1.7,2025,55.8,8088.TWO,906.7,2025-12,N/A,N/A,26.020408163265305,🚀 利潤擴張,962.5,0.28,51.0,29.4,⚠️ 追價風險,品安
357.63,23.93,2.35,2025,17.09,6166.TW,904.65,2025-12,N/A,N/A,18.66213221129252,🚀 利潤擴張,921.74,1.52,82.3000030518,66.15,⚪ 中性觀察,凌華
977.78,34.59,1.01,2025,32.89,1529.TW,844.03,2025-12,16.87%,7.13%,7.854671544256056,🚀 利潤擴張,876.92,0.97,22.7000007629,43.349999999999994,💎 強力關注,樂事綠能
270.59,-8.99,2.48,2025,-6.92,8110.TW,837.6899999999999,2025-12,N/A,N/A,13.220338767542374,🧐 疑業外收益,830.77,1.29,46.7999992371,53.1,✅ 穩健價值,華東
2775.0,18.82,3.01,2025,24.44,8046.TW,816.1899999999999,2025-12,N/A,N/A,218.6252771618625,🚀 利潤擴張,840.63,1.15,986.0,67.65,⚠️ 追價風險,南電
-350.0,11.35,0.09,2025,12.57,6182.TWO,787.43,2025-12,N/A,N/A,0.0,🔄 轉虧為盈,800.0,-0.05,44.0999984741,0.0,⚪ 數據不足,合晶
-258.33,1.98,6.28,2025,-0.57,2102.TW,722.0,2025-12,20.10%,-167.95%,12.317881047350989,🔄 轉虧為盈,721.43,-2.22,18.6000003815,22.650000000000006,✅ 穩健價值,泰豐
107.14,-4.36,0.68,2025,-5.37,4414.TW,705.37,2025-12,19.96%,4.40%,0.0,🧐 疑業外收益,700.0,0.02,0.0,0.0,⚪ 數據不足,如興
250.0,7.39,0.32,2025,10.91,3236.TWO,689.09,2025-12,26.03%,5.00%,122.599998474,🚀 利潤擴張,700.0,0.12,30.6499996185,3.75,⚠️ 追價風險,千如
-2.63,-4.42,1.58,2025,-3.39,2323.TW,688.58,2025-12,23.42%,-5.65%,21.666665871874994,🧐 疑業外收益,685.19,0.37,10.3999996185,7.200000000000003,⚪ 中性觀察,中環
-966.67,140.24,0.53,2025,114.77,4413.TWO,668.5600000000001,2025-12,24.00%,6.14%,0.0,🔄 轉虧為盈,783.33,-0.26,18.8999996185,-9.45,⚪ 數據不足,飛寶企業
460.0,22.5,0.38,2025,3.99,4924.TWO,656.01,2025-12,27.32%,0.43%,21.354166666666664,🚀 利潤擴張,660.0,0.28,10.25,7.2,⚪ 中性觀察,欣厚-KY
422.22,14.66,0.36,2025,16.76,3002.TW,603.24,2025-12,17.03%,-11.28%,15.921052296929826,🚀 利潤擴張,620.0,0.48,18.1499996185,17.099999999999998,✅ 穩健價值,歐格
-57.14,-0.22,0.88,2025,9.55,2344.TW,567.37,2025-12,41.86%,15.37%,414.78261533,🚀 利潤擴張,576.92,0.12,95.4000015259,3.4499999999999997,⚠️ 追價風險,華邦電
288.57,24.16,1.96,2025,26.61,3054.TW,563.39,2025-12,62.07%,-188.65%,25.653844980076922,🏰 高護城河,590.0,0.66,66.6999969482,39.0,⚠️ 追價風險,立萬利
1270.21,-19.03,5.29,2025,-17.0,9949.TWO,561.54,2025-12,N/A,N/A,0.0,🧐 疑業外收益,544.54,5.5,0.0,0.0,⚪ 數據不足,琉園
