股號,名稱,現價,指標(DMA),累計損益(%),交易次數,目前狀態,短,中,長,專業建議,trades_list
7792,安葆,355.5,4.1,60.04,2,⚪ 觀望中,▲,▲,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 362.5 跌破移動支撐位(368.5)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '226.50', 'Sell_Date': '2026-01-23', 'Sell_Price': '362.50', 'Profit_Pct%': 60.04415011037527, 'Reason': '🚨 價格防衛：收盤價 362.5 跌破移動支撐位(368.5)'}]"
4966,譜瑞-KY,575.0,55.62,2.4,2,⚪ 觀望中,▼,▲,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 598.0 跌破移動支撐位(621.0)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-06', 'Buy_Price': '584.00', 'Sell_Date': '2026-01-13', 'Sell_Price': '598.00', 'Profit_Pct%': 2.3972602739726026, 'Reason': '🚨 價格防衛：收盤價 598.0 跌破移動支撐位(621.0)'}]"
4142,國光生,17.7,-0.3,-1.91,4,⏳ 觀察中,▼,▼,▼,🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 19.2。,"[{'Buy_Date': '2026-01-12', 'Buy_Price': '20.45', 'Sell_Date': '2026-01-16', 'Sell_Price': '20.50', 'Profit_Pct%': 0.2444950378227243, 'Reason': '🚨 價格防衛：收盤價 20.5 跌破移動支撐位(20.55)'}, {'Buy_Date': '2026-03-25', 'Buy_Price': '18.60', 'Sell_Date': '2026-04-07', 'Sell_Price': '18.20', 'Profit_Pct%': -2.1505355397618597, 'Reason': '🚨 價格防衛：收盤價 18.2 跌破移動支撐位(18.8)'}]"
1721,三晃,24.2,3.84,-8.99,4,⚪ 觀望中,▼,▲,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 19.65 跌破移動支撐位(20.05)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '17.35', 'Sell_Date': '2026-01-08', 'Sell_Price': '15.15', 'Profit_Pct%': -12.680119392653275, 'Reason': '🚨 價格防衛：收盤價 15.15 跌破移動支撐位(15.85)'}, {'Buy_Date': '2026-03-13', 'Buy_Price': '18.95', 'Sell_Date': '2026-03-18', 'Sell_Price': '19.65', 'Profit_Pct%': 3.6939252106545917, 'Reason': '🚨 價格防衛：收盤價 19.65 跌破移動支撐位(20.05)'}]"
6188,廣明,83.4,-3.45,-2.15,2,⚪ 觀望中,▼,▼,▼,🚨 剛觸發賣出：🚨 價格防衛：收盤價 114.0 跌破移動支撐位(115.0)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-06', 'Buy_Price': '116.50', 'Sell_Date': '2026-01-09', 'Sell_Price': '114.00', 'Profit_Pct%': -2.1459227467811157, 'Reason': '🚨 價格防衛：收盤價 114.0 跌破移動支撐位(115.0)'}]"
2009,第一銅,37.5,-1.8,-0.93,2,⏳ 觀察中,▼,▼,▼,🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 41.55。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '48.60', 'Sell_Date': '2026-01-08', 'Sell_Price': '48.15', 'Profit_Pct%': -0.9259196755732588, 'Reason': '🚨 價格防衛：收盤價 48.15 跌破移動支撐位(50.6)'}]"
6261,久元,91.5,8.62,-1.28,4,⚪ 觀望中,▲,▲,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 72.0 跌破移動支撐位(72.1)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '68.60', 'Sell_Date': '2026-01-08', 'Sell_Price': '70.20', 'Profit_Pct%': 2.332359343570644, 'Reason': '🚨 價格防衛：收盤價 70.2 跌破移動支撐位(71.0)'}, {'Buy_Date': '2026-04-01', 'Buy_Price': '74.70', 'Sell_Date': '2026-04-02', 'Sell_Price': '72.00', 'Profit_Pct%': -3.614453893582195, 'Reason': '🚨 價格防衛：收盤價 72.0 跌破移動支撐位(72.1)'}]"
3702,大聯大,101.0,2.75,-0.16,2,⚪ 觀望中,▲,▲,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 64.1 跌破移動支撐位(64.2)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-09', 'Buy_Price': '64.20', 'Sell_Date': '2026-01-19', 'Sell_Price': '64.10', 'Profit_Pct%': -0.15576087048831913, 'Reason': '🚨 價格防衛：收盤價 64.1 跌破移動支撐位(64.2)'}]"
3481,群創,23.95,-1.46,14.64,2,⏳ 觀察中,▼,▼,▼,🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 27.85。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '18.10', 'Sell_Date': '2026-01-08', 'Sell_Price': '20.75', 'Profit_Pct%': 14.640881561574796, 'Reason': '🚨 價格防衛：收盤價 20.75 跌破移動支撐位(21.0)'}]"
2485,兆赫,58.7,-10.49,-8.88,4,⚪ 觀望中,▼,▼,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 34.45 跌破移動支撐位(35.9)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '25.55', 'Sell_Date': '2026-01-05', 'Sell_Price': '24.75', 'Profit_Pct%': -3.131112567464805, 'Reason': '📉 趨勢反轉：中期指標由正轉負 (-1.15)'}, {'Buy_Date': '2026-01-15', 'Buy_Price': '36.55', 'Sell_Date': '2026-01-21', 'Sell_Price': '34.45', 'Profit_Pct%': -5.745549980937914, 'Reason': '🚨 價格防衛：收盤價 34.45 跌破移動支撐位(35.9)'}]"
2409,友達,17.2,-0.85,27.6,6,⚪ 觀望中,▼,▼,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 19.85 跌破移動支撐位(19.9)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '12.60', 'Sell_Date': '2026-01-08', 'Sell_Price': '15.65', 'Profit_Pct%': 24.20634241787941, 'Reason': '🚨 價格防衛：收盤價 15.65 跌破移動支撐位(15.8)'}, {'Buy_Date': '2026-02-11', 'Buy_Price': '16.15', 'Sell_Date': '2026-03-03', 'Sell_Price': '15.75', 'Profit_Pct%': -2.476777882036584, 'Reason': '🚨 價格防衛：收盤價 15.75 跌破移動支撐位(16.05)'}, {'Buy_Date': '2026-04-09', 'Buy_Price': '18.75', 'Sell_Date': '2026-04-17', 'Sell_Price': '19.85', 'Profit_Pct%': 5.86666870133333, 'Reason': '🚨 價格防衛：收盤價 19.85 跌破移動支撐位(19.9)'}]"
8104,錸寶,33.25,-0.67,-3.83,4,⚪ 觀望中,▼,▼,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 38.2 跌破移動支撐位(38.7)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-15', 'Buy_Price': '37.10', 'Sell_Date': '2026-01-20', 'Sell_Price': '37.35', 'Profit_Pct%': 0.67385447515457, 'Reason': '🚨 價格防衛：收盤價 37.35 跌破移動支撐位(37.6)'}, {'Buy_Date': '2026-04-17', 'Buy_Price': '40.00', 'Sell_Date': '2026-04-21', 'Sell_Price': '38.20', 'Profit_Pct%': -4.499998092750008, 'Reason': '🚨 價格防衛：收盤價 38.2 跌破移動支撐位(38.7)'}]"
2337,旺宏,154.0,10.68,59.86,3,🍀 持股中,▲,▲,▲,🚀 三期共振強勢：目前🍀 持股中。守穩移動支撐位 154.0。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '43.35', 'Sell_Date': '2026-01-23', 'Sell_Price': '69.30', 'Profit_Pct%': 59.86160436246419, 'Reason': '🚨 價格防衛：收盤價 69.3 跌破移動支撐位(73.0)'}, {'Buy_Date': '2026-04-29', 'Buy_Price': '167.00', 'Sell_Date': '未平倉', 'Sell_Price': '154.00', 'Profit_Pct%': -7.784431137724551, 'Reason': '持股中'}]"
2317,鴻海,219.5,14.1,-1.15,6,⚪ 觀望中,▲,▲,▲,🚨 剛觸發賣出：🚨 價格防衛：收盤價 219.5 跌破移動支撐位(225.0)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-05', 'Buy_Price': '234.50', 'Sell_Date': '2026-01-08', 'Sell_Price': '229.50', 'Profit_Pct%': -2.1321961620469083, 'Reason': '🚨 價格防衛：收盤價 229.5 跌破移動支撐位(235.0)'}, {'Buy_Date': '2026-02-25', 'Buy_Price': '246.50', 'Sell_Date': '2026-03-02', 'Sell_Price': '239.00', 'Profit_Pct%': -3.0425963488843815, 'Reason': '🚨 價格防衛：收盤價 239.0 跌破移動支撐位(241.5)'}, {'Buy_Date': '2026-04-21', 'Buy_Price': '211.00', 'Sell_Date': '2026-04-30', 'Sell_Price': '219.50', 'Profit_Pct%': 4.028436018957346, 'Reason': '🚨 價格防衛：收盤價 219.5 跌破移動支撐位(225.0)'}]"
2367,燿華,57.7,-9.5,90.05,2,⚪ 觀望中,▼,▼,▼,🚨 剛觸發賣出：🚨 價格防衛：收盤價 53.5 跌破移動支撐位(57.0)。目前已空手，優先鎖利落袋。,"[{'Buy_Date': '2026-01-02', 'Buy_Price': '28.15', 'Sell_Date': '2026-02-06', 'Sell_Price': '53.50', 'Profit_Pct%': 90.0532885437062, 'Reason': '🚨 價格防衛：收盤價 53.5 跌破移動支撐位(57.0)'}]"
00981A,主動統一台股增長,15.71,0.62,0.0,0,⚪ 觀望中,▲,▲,▲,⚪ 觀望為宜：不符合進場模型，保持耐心等待指標翻正與紅K出現。,[]
