id,name,price,signal,pnl,count,win_rate,reason
2313.TW,華通,268.5,🟡 預警 (⚠️ 乖離過高),125.92,3,66.67,[P:0.8/5.0] [🚀 極強] 乖離率 5.2% 謹慎追價
2408.TW,南亞科,237.0,💎 持股,102.94,8,75.0,[📈 標準 V3] [P:0.8/20.0] [🚀 極強] 趨勢維持
8074.TWO,鉅橡,88.3000030518,🟡 預警 (⚠️ 乖離過高),74.79,3,100.0,[P:0.8/5.0] [🚀 極強] 乖離率 24.1% 謹慎追價
8131.TW,福懋科,66.8000030518,🟡 預警 (🚀 動能初現),62.37,4,75.0,[P:0.99/8.0] [🚀 極強] 帶量突破短高(潛在起漲)
3711.TW,日月光投控,525.0,💎 持股,59.46,9,44.44,[📈 標準 V3] [P:0.95/9.0] [🚀 極強] 趨勢維持
2426.TW,鼎元,63.0,🟡 預警 (⚠️ 乖離過高),55.63,4,50.0,[P:1.0/12.0] [🚀 極強] 乖離率 25.3% 謹慎追價
2328.TW,廣宇,54.4000015259,🟡 預警 (🚀 動能初現),51.98,5,60.0,[P:0.8/5.0] [🚀 極強] 帶量突破短高(潛在起漲)
6239.TW,力成,223.0,🟡 預警 (🚀 盤整突破),51.37,1,100.0,[P:0.98/5.0] [🚀 極強] 離開盤整區
2449.TW,京元電子,332.5,🟡 預警 (⚠️ 乖離過高),34.42,1,100.0,[P:0.98/5.0] [🚀 極強] 乖離率 16.8% 謹慎追價
2485.TW,兆赫,64.5,☁️ 觀望,27.6,6,50.0,[P:0.8/19.0] [📉 轉弱] 等待機會
2441.TW,超豐,92.4000015259,🟡 預警 (⚡ 糾結噴發),26.4,4,75.0,[P:0.97/5.0] [🚀 極強] 均線糾結帶量轉強
2329.TW,華泰,60.2999992371,🟡 預警 (⚠️ 乖離過高),26.03,3,66.67,[P:0.8/5.0] [🚀 極強] 乖離率 5.7% 謹慎追價
3450.TW,聯鈞,332.0,☁️ 觀望,18.63,2,50.0,[P:0.95/5.0] [🚀 極強] 等待機會
1504.TW,東元,68.5999984741,🔥 買入 (📈 標準 V3),13.75,5,40.0,[P:0.8/16.0] [🚀 極強] 趨勢突破確認
8150.TW,南茂,76.5,🟡 預警 (⚠️ 乖離過高),10.72,2,100.0,[P:0.89/5.0] [🚀 極強] 乖離率 13.9% 謹慎追價
3535.TW,晶彩科,141.0,🟡 預警 (🚀 動能初現),0,0,0,[P:0.94/5.0] [🚀 極強] 帶量突破短高(潛在起漲)
4919.TW,新唐,162.0,🟡 預警 (🚀 動能初現),0,0,0,[P:0.99/5.0] [🚀 極強] 帶量突破短高(潛在起漲)
6182.TWO,合晶,44.0999984741,🟡 預警 (⚠️ 乖離過高),0,0,0,[P:0.8/5.0] [🚀 極強] 乖離率 16.3% 謹慎追價
6261.TWO,久元,100.5,🟡 預警 (⚠️ 乖離過高),-2.11,6,33.33,[P:1.0/5.0] [🚀 極強] 乖離率 16.7% 謹慎追價
3135.TW,凌航,155.5,🟡 預警 (⚠️ 乖離過高),-2.28,1,0.0,[P:0.98/5.0] [🚀 極強] 乖離率 24.0% 謹慎追價
2486.TW,一詮,297.5,🟡 預警 (⚠️ 乖離過高),-3.25,1,0.0,[P:0.8/5.0] [🚀 極強] 乖離率 45.4% 謹慎追價
6147.TWO,頎邦,179.0,🟡 預警 (⚠️ 乖離過高),-7.58,4,0.0,[P:1.0/5.0] [🚀 極強] 乖離率 43.4% 謹慎追價
3264.TWO,欣銓,214.5,🟡 預警 (⚠️ 乖離過高),-9.16,2,0.0,[P:0.8/5.0] [🚀 極強] 乖離率 13.6% 謹慎追價
