id,name,price,signal,pnl,count,win_rate,reason
2367.TW,燿華,59.0999984741,☁️ 觀望,147.68,3,66.67,[P:0.8/17.0] [📉 轉弱] 等待機會
6849.TWO,奇鼎科技,265.0,🟡 預警 (⚠️ 乖離過高),134.46,6,66.67,[P:0.8/15.0] [📈 穩定] 乖離率 31.0% 謹慎追價
7853.TWO,政美應用,406.0,☁️ 觀望,42.86,1,100.0,[P:0.8/7.0] [🚀 極強] 等待機會
3702.TW,大聯大,104.5,🟡 預警 (⚠️ 乖離過高),38.21,1,100.0,[P:1.0/5.0] [🚀 極強] 乖離率 7.8% 謹慎追價
2485.TW,兆赫,64.5,☁️ 觀望,27.6,6,50.0,[P:0.8/19.0] [📉 轉弱] 等待機會
6407.TWO,相互,42.7999992371,☁️ 觀望,21.5,4,50.0,[P:0.98/9.0] [📈 穩定] 等待機會
2069.TW,運錩,18.5,❄️ 賣出,18.9,5,60.0,[📈 標準 V3] [P:0.95/5.0] [📉 轉弱] 趨勢轉弱(強制)
3481.TW,群創,24.7999992371,☁️ 觀望,10.74,1,100.0,[P:1.0/5.0] [📉 轉弱] 等待機會
3049.TW,精金,13.3999996185,🟡 預警 (⚠️ 乖離過高),3.25,1,100.0,[P:1.0/5.0] [🚀 極強] 乖離率 7.7% 謹慎追價
4956.TW,光鋐,49.0,🟡 預警 (⚠️ 乖離過高),-1.53,2,50.0,[P:0.8/8.0] [🚀 極強] 乖離率 9.6% 謹慎追價
8044.TWO,網家,22.3999996185,☁️ 觀望,-7.39,3,33.33,[P:1.0/5.0] [📉 轉弱] 等待機會
