股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
7806,精華生醫,72.20,30,80.50,61.00,---,均線糾擺 -> 離開盤整 (向下),無,無,跌破布林下軌 (72.56),離開盤整 (向下)
6831,邁科,520.00,1667,545.00,160.00,---,進入盤整,連1日大漲,無,ADX 為 18.05 (低於 20),進入盤整
00696,富邦美債20年,28.78,3348,30.21,25.92,---,均線糾擺,無,無,MA 乖離率僅 0.30%,均線糾擺
6153,嘉聯益,18.65,3603,20.65,10.50,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.33%,均線糾擺
8261,富鼎,124.50,4163,128.00,65.05,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.47%,均線糾擺
6205,詮欣,98.20,17667,98.20,37.00,---,貼軌運行,無,無,股價於高位貼軌 (98.20 > 1.5σ)，動能強勁,貼軌運行
7595,世基生醫,9.90,21,13.60,9.55,---,均線糾擺,無,無,MA 乖離率僅 0.71%,均線糾擺
1789,神隆,20.45,517,28.25,16.02,---,均線糾擺,無,無,MA 乖離率僅 1.17%,均線糾擺
3171,炎洲流通,68.80,31,72.50,35.99,---,均線糾擺,無,無,MA 乖離率僅 0.34%,均線糾擺
4721,美琪瑪,89.00,3095,93.50,47.31,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.22%,均線糾擺
911608,明輝-DR,2.72,23,3.12,2.59,---,離開盤整 (向下),無,無,跌破布林下軌 (2.73),離開盤整 (向下)
6924,榮惠-KY創,91.80,10,94.90,47.80,---,趨勢運行 -> 進入盤整,無,無,ADX 為 19.21 (低於 20),進入盤整
3044,健鼎,484.50,4276,485.00,159.71,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,14.00,667,17.15,11.40,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,78.10,110,78.10,31.72,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00676,富邦臺灣加權反1,6.31,7010,14.59,6.31,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4961,天鈺,159.00,731,216.45,135.00,📅 預告 (20260511),均線糾擺,無,無,MA 乖離率僅 0.80%,均線糾擺
2012,春雨,14.75,38,20.22,14.70,---,進入盤整 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8114,振樺電,179.00,573,314.53,164.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,44.90,10,45.50,24.50,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
8028,昇陽半導體,241.00,9710,246.00,105.41,---,進入盤整,無,無,ADX 為 10.18 (低於 20),進入盤整
6972,博瑞達應材,24.95,15,32.81,22.70,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6443,元晶,37.50,2205,52.30,11.95,---,進入盤整,無,無,ADX 為 8.77 (低於 20),進入盤整
2748,雲品,41.20,328,50.68,38.45,---,均線糾擺,無,無,MA 乖離率僅 0.80%,均線糾擺
6525,捷敏-KY,102.50,1864,102.50,59.41,---,貼軌運行 -> 強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (100.07)，進入噴發段,強勢突破 (軌外)
6877,鏵友益,177.00,614,186.00,65.38,---,進入盤整,無,無,ADX 為 18.29 (低於 20),進入盤整
2758,路易莎咖啡,77.00,32,104.34,77.00,---,離開盤整 (向下),無,無,跌破布林下軌 (77.90),離開盤整 (向下)
1802,台玻,72.80,140917,74.20,13.80,---,趨勢運行 -> 均線糾擺,連1日大漲,無,MA 乖離率僅 1.42%,均線糾擺
9938,百和,45.35,2615,60.40,42.90,---,均線糾擺,無,無,MA 乖離率僅 0.73%,均線糾擺
4442,竣邦-KY,55.90,20,71.50,42.35,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00635,期元大S&P黃金,47.66,3625,60.55,34.73,---,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
