date,gm,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,est_price,prev_year,price,name,expansion,symbol,status,advice,om,rev_yoy,pe,eps_yoy
2025-12,18.73%,1.77,1.14,254.55,-8.85,61.949999999999996,2025,63.2999992371,事欣科,8049.11,4916.TW,🚀 利潤擴張,✅ 穩健價值,8.07%,0.89,15.326876328595644,8050.0
2025-12,1.56%,0.68,1.47,1971.43,23.87,94.05,2025,26.1499996185,建漢,6583.45,3062.TW,🚀 利潤擴張,💎 強力關注,-12.63%,16.55,4.170653846650718,6600.0
2025-12,47.97%,2.85,2.78,1150.0,-15.18,169.5,2025,10.25,日勝生,3625.39,2547.TW,🧐 疑業外收益,💎 強力關注,18.04%,-12.89,0.9070796460176991,3612.5
2025-12,N/A,1.4,1.31,1737.5,158.06,61.949999999999996,2025,39.5999984741,台生材,3471.78,6649.TWO,🚀 利潤擴張,💎 強力關注,N/A,128.22,9.588377354503631,3600.0
2025-12,22.14%,3.51,2.1,221.54,26.89,113.55,2025,482.5,景碩,3043.86,3189.TW,🚀 利潤擴張,⚠️ 追價風險,8.52%,28.87,63.738441215323654,3072.73
2025-12,N/A,0.52,0.37,3600.0,36.66,15.15,2025,12.1499996185,工信,2472.68,5521.TW,🚀 利潤擴張,✅ 穩健價值,N/A,27.32,12.029702592574258,2500.0
2025-12,-8.90%,22.26,23.73,3177.63,15.97,573.7500000000001,2025,30.6499996185,永彰,1569.15,4523.TWO,🧐 疑業外收益,💎 強力關注,-91.14%,-7.15,0.8013071795686273,1562.0
2025-12,34.83%,6.03,-0.36,-125.0,4.99,83.1,2025,16.7999992371,大魯閣,1497.6999999999998,1432.TW,🔄 轉虧為盈,💎 強力關注,-28.70%,4.63,3.0324908370216606,1502.33
2025-12,35.25%,1.28,0.95,196.87,27.63,47.1,2025,232.0,科嶠,1462.34,4542.TWO,🚀 利潤擴張,⚠️ 追價風險,7.09%,37.66,73.88535031847134,1500.0
2025-12,24.80%,35.57,0.53,-71.04,-27.3,550.65,2025,121.0,上緯投控,1307.4,3708.TW,🧐 疑業外收益,💎 強力關注,-95.04%,-30.75,3.2961046036502313,1276.65
2025-12,9.90%,1.02,0.82,173.33,73.71,24.9,2025,44.5999984741,聯光通,1292.63,4903.TWO,🚀 利潤擴張,⚠️ 追價風險,-0.59%,64.51,26.867468960301206,1357.14
