id,name,price,signal,pnl,count,win_rate,reason
3595.TWO,山太士,2505.0,☁️ 觀望,437.1,7,100.0,[P:0.95/50.0] [📈 穩定] 等待機會
6682.TWO,華旭先進,58.4000015259,🚀 持股,160.23,8,37.5,[🚀 爆發 5D30%] [P:0.91/50.0] [📈 穩定] 趨勢維持
4958.TW,臻鼎-KY,412.0,💎 持股,135.46,5,60.0,[📈 標準 V3] [P:0.94/50.0] [📈 穩定] 趨勢維持
3037.TW,欣興,858.0,🚀 持股,134.64,8,62.5,[🚀 爆發 5D30%] [P:0.85/50.0] [📈 穩定] 趨勢維持
8046.TW,南電,940.0,💎 持股,113.5,8,50.0,[📈 標準 V3] [P:0.98/50.0] [📈 穩定] 趨勢維持
6640.TWO,均華,1425.0,☁️ 觀望,110.44,6,66.67,[P:0.93/5.0] [📈 穩定] 等待機會
7730.TW,暉盛-創,166.5,☁️ 觀望,104.49,5,80.0,[P:0.99/5.0] [📉 轉弱] 等待機會
3030.TW,德律,413.0,💎 持股,100.74,8,75.0,[📈 標準 V3] [P:0.85/50.0] [🚀 極強] 趨勢維持
1802.TW,台玻,71.1999969482,☁️ 觀望,89.0,9,44.44,[P:0.95/50.0] [🚀 極強] 等待機會
3189.TW,景碩,482.5,💎 持股,83.62,7,57.14,[📈 標準 V3] [P:0.85/50.0] [📈 穩定] 趨勢維持
2467.TW,志聖,567.0,💎 持股,74.1,7,57.14,[📈 標準 V3] [P:0.85/50.0] [📈 穩定] 趨勢維持
3044.TW,健鼎,488.0,💎 持股,66.15,7,57.14,[📈 標準 V3] [P:0.85/50.0] [🚀 極強] 趨勢維持
6239.TW,力成,234.5,💎 持股,54.56,6,66.67,[📈 標準 V3] [P:0.98/50.0] [🚀 極強] 趨勢維持
8064.TWO,東捷,112.5,💎 持股,31.36,3,66.67,[📈 標準 V3] [P:1.01/50.0] [📈 穩定] 趨勢維持
3149.TW,正達,49.5,💎 持股,29.96,6,50.0,[📈 標準 V3] [P:0.99/50.0] [📈 穩定] 趨勢維持
3481.TW,群創,28.1000003815,🟡 預警 (⚡ 糾結噴發),25.43,4,50.0,[P:1.0/50.0] [🚀 極強] 均線糾結且短均線轉強
3583.TW,辛耘,803.0,☁️ 觀望,22.4,6,33.33,[P:0.98/50.0] [🚀 極強] 等待機會
6664.TWO,群翊,461.0,☁️ 觀望,21.96,7,42.86,[P:0.85/50.0] [📈 穩定] 等待機會
6405.TW,悅城,55.5999984741,💎 持股,14.25,6,50.0,[📈 標準 V3] [P:0.98/50.0] [📈 穩定] 趨勢維持
1815.TWO,富喬,113.5,☁️ 觀望,10.01,9,33.33,[P:0.94/50.0] [🚀 極強] 等待機會
8027.TWO,鈦昇,195.5,💎 持股,3.17,6,33.33,[📈 標準 V3] [P:1.01/50.0] [📈 穩定] 趨勢維持
6207.TWO,雷科,68.6999969482,💎 持股,2.51,7,42.86,[📈 標準 V3] [P:0.85/50.0] [🚀 極強] 趨勢維持
3580.TWO,友威科,92.0,💎 持股,-0.73,3,33.33,[📈 標準 V3] [P:1.01/50.0] [📈 穩定] 趨勢維持
3498.TWO,陽程,98.9000015259,💎 持股,-2.25,7,42.86,[📈 標準 V3] [P:0.94/50.0] [🚀 極強] 趨勢維持
5443.TWO,均豪,129.0,☁️ 觀望,-8.39,4,25.0,[P:0.98/50.0] [📈 穩定] 等待機會
2409.TW,友達,18.0499992371,☁️ 觀望,-13.7,3,33.33,[P:1.0/5.0] [🚀 極強] 等待機會
