Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
00887.TWO,永豐中國科技50大,2026-05-04,看漲 FVG,14.83,14.53,15.57,💰 已達標,獲利點,0,89.35,-,2,True
2301.TW,光寶科,2026-04-21,看漲 FVG,170.0,168.65,178.5,❌ 已失效,實體破中線,1,65.94,-,2,True
2344.TW,華邦電,2026-05-05,看漲 FVG,104.0,97.91,109.2,⏳ 待回測,⚡結構突破,0,56.81,-,2,True
8131.TW,福懋科,2026-05-05,看漲 FVG,70.6,66.47,74.13,⏳ 待回測,⚡結構突破,1,61.64,-,2,True
2376.TW,技嘉,2026-05-05,看漲 FVG,283.0,280.59,297.15,⏳ 待回測,監控中 🧹,0,60.96,-,3,True
2382.TW,廣達,2026-05-05,看漲 FVG,328.0,319.89,344.4,⏳ 待回測,監控中 🧹,0,48.9,-,3,True
2451.TW,創見,2026-05-05,看漲 FVG,293.5,264.67,308.18,⏳ 待回測,監控中,0,65.73,-,3,True
3006.TW,晶豪科,2026-05-05,看漲 FVG,193.0,176.61,202.65,⏳ 待回測,監控中,0,60.8,-,3,True
5351.TWO,鈺創,2026-05-05,看漲 FVG,78.3,71.44,82.22,⏳ 待回測,監控中,0,57.81,-,3,True
5425.TWO,台半,2026-05-05,看漲 FVG,67.2,63.48,70.56,⏳ 待回測,監控中,0,61.32,-,3,True
6108.TW,競國,2026-05-05,看漲 FVG,19.8,19.05,20.79,⏳ 待回測,監控中,0,66.45,-,3,True
1785.TWO,光洋科,2026-04-28,看漲 FVG,160.5,152.23,168.53,💰 已達標,獲利點,0,85.05,2026-04-30,4,True
1809.TW,中釉,2026-05-05,看漲 FVG,32.9,28.11,34.55,⏳ 待回測,⚡結構突破 ⚠️過熱,1,64.92,-,4,False
2303.TW,聯電,2026-05-05,看漲 FVG,87.8,81.99,92.19,⏳ 待回測,⚡結構突破 ⚠️過熱,0,79.55,-,4,True
2354.TW,鴻準,2026-05-05,看漲 FVG,60.2,53.73,63.21,⏳ 待回測,⚡結構突破 ⚠️過熱,1,72.96,-,4,False
2408.TW,南亞科,2026-05-05,看漲 FVG,270.5,235.81,284.03,⏳ 待回測,⚡結構突破 ⚠️過熱,0,63.18,-,4,True
2426.TW,鼎元,2026-05-05,看漲 FVG,66.6,62.69,69.93,⏳ 待回測,⚡結構突破 ⚠️過熱,0,68.64,-,4,True
2454.TW,聯發科,2026-05-05,看漲 FVG,3155.0,2855.65,3312.75,⏳ 待回測,⚡結構突破 ⚠️過熱,0,91.59,-,4,True
3016.TW,嘉晶,2026-05-05,看漲 FVG,112.5,98.11,118.12,⏳ 待回測,⚡結構突破 ⚠️過熱,0,85.65,-,4,True
3026.TW,禾伸堂,2026-05-05,看漲 FVG,260.0,232.33,273.0,⏳ 待回測,監控中 ⚠️過熱,0,55.56,-,4,False
3135.TW,凌航,2026-05-05,看漲 FVG,163.0,154.72,171.15,⏳ 待回測,⚡結構突破 ⚠️過熱,0,75.82,-,4,True
4931.TWO,新盛力,2026-04-23,看漲 FVG,162.5,158.7,170.62,❌ 已失效,實體破中線,1,78.43,2026-04-27,4,True
5347.TWO,世界,2026-05-05,看漲 FVG,165.5,156.71,173.78,⏳ 待回測,⚡結構突破 ⚠️過熱,0,75.65,-,4,True
6173.TWO,信昌電,2026-05-05,看漲 FVG,90.3,89.55,94.81,⏳ 待回測,⚡結構突破 ⚠️過熱,1,68.57,-,4,True
6274.TWO,台燿,2026-05-05,看漲 FVG,1160.0,1104.45,1218.0,⏳ 待回測,⚡結構突破 ⚠️過熱,1,80.63,-,4,False
6488.TWO,環球晶,2026-05-05,看漲 FVG,629.0,624.86,660.45,⏳ 待回測,⚡結構突破 ⚠️過熱,0,67.97,-,4,False
8150.TW,南茂,2026-05-05,看漲 FVG,87.5,76.32,91.88,⏳ 待回測,⚡結構突破 ⚠️過熱,0,67.44,-,4,False
8358.TWO,金居,2026-05-05,看漲 FVG,406.5,403.97,426.83,⏳ 待回測,⚡結構突破 ⚠️過熱,0,73.08,-,4,True
