advice,prev_eps,eps,est_price,rev_yoy,gm,status,prev_eps_yoy,om,name,price,expansion,pe,date,symbol,prev_year,prev_rev_yoy,eps_yoy
✅ 穩健價值,1.14,1.77,61.949999999999996,0.89,18.73%,🚀 利潤擴張,254.55,8.07%,事欣科,63.0999984741,8049.11,15.278449993728813,2025-12,4916.TW,2025,-8.85,8050.0
💎 強力關注,1.47,0.68,94.05,16.55,1.56%,🚀 利潤擴張,1971.43,-12.63%,建漢,26.5499992371,6583.45,4.23444963909091,2025-12,3062.TW,2025,23.87,6600.0
💎 強力關注,2.78,2.85,169.5,-12.89,47.97%,🧐 疑業外收益,1150.0,18.04%,日勝生,10.25,3625.39,0.9070796460176991,2025-12,2547.TW,2025,-15.18,3612.5
💎 強力關注,1.31,1.4,61.949999999999996,128.22,N/A,🚀 利潤擴張,1737.5,N/A,台生材,39.5,3471.78,9.564164648910412,2025-12,6649.TWO,2025,158.06,3600.0
⚠️ 追價風險,2.1,3.51,113.55,28.87,22.14%,🚀 利潤擴張,221.54,8.52%,景碩,492.5,3043.86,65.05944517833554,2025-12,3189.TW,2025,26.89,3072.73
💎 強力關注,0.37,0.52,15.15,27.32,N/A,🚀 利潤擴張,3600.0,N/A,工信,12.0,2472.68,11.881188118811881,2025-12,5521.TW,2025,36.66,2500.0
💎 強力關注,23.73,22.26,573.7500000000001,-7.15,-8.90%,🧐 疑業外收益,3177.63,-91.14%,永彰,31.0,1569.15,0.8104575163398692,2025-12,4523.TWO,2025,15.97,1562.0
💎 強力關注,-0.36,6.03,83.1,4.63,34.83%,🔄 轉虧為盈,-125.0,-28.70%,大魯閣,16.75,1497.6999999999998,3.023465703971119,2025-12,1432.TW,2025,4.99,1502.33
⚠️ 追價風險,0.95,1.28,47.1,37.66,35.25%,🚀 利潤擴張,196.87,7.09%,科嶠,213.0,1462.34,67.83439490445859,2025-12,4542.TWO,2025,27.63,1500.0
💎 強力關注,0.53,35.57,550.65,-30.75,24.80%,🧐 疑業外收益,-71.04,-95.04%,上緯投控,120.5,1307.4,3.282484336692999,2025-12,3708.TW,2025,-27.3,1276.65
⚠️ 追價風險,0.82,1.02,24.9,64.51,9.90%,🚀 利潤擴張,173.33,-0.59%,聯光通,45.4000015259,1292.63,27.349398509578315,2025-12,4903.TWO,2025,73.71,1357.14
⚠️ 追價風險,0.81,1.64,45.75000000000001,40.69,29.01%,🚀 利潤擴張,606.25,12.18%,富喬,110.0,1075.98,36.0655737704918,2025-12,1815.TWO,2025,46.55,1116.67
✅ 穩健價值,9.16,12.05,424.95,56.24,N/A,🚀 利潤擴張,1777.36,N/A,jpp-KY,377.0,1048.91,13.307447935051183,2025-12,5284.TW,2025,53.98,1105.15
⚠️ 追價風險,0.06,0.11,5.55,-8.11,N/A,🧐 疑業外收益,-45.45,N/A,松普,10.0,1008.11,27.027027027027028,2025-12,5488.TWO,2025,-10.59,1000.0
💎 強力關注,1.44,1.41,72.0,14.95,9.91%,🚀 利潤擴張,1700.0,-0.28%,精英,20.6000003815,966.3,4.291666746145833,2025-12,2331.TW,2025,10.42,981.25
💎 強力關注,3.52,12.33,245.39999999999998,-6.28,41.95%,🧐 疑業外收益,810.64,-106.23%,晟德,38.0999984741,912.1999999999999,2.32885076247555,2025-12,4123.TWO,2025,-4.5,905.92
⚠️ 追價風險,0.28,1.7,29.4,55.8,N/A,🚀 利潤擴張,133.73,N/A,品安,55.0999984741,906.7,28.112244119438774,2025-12,8088.TWO,2025,38.48,962.5
⚪ 中性觀察,1.52,2.35,66.15,17.09,N/A,🚀 利潤擴張,357.63,N/A,凌華,86.5,904.65,19.614512471655328,2025-12,6166.TW,2025,23.93,921.74
💎 強力關注,0.97,1.01,43.349999999999994,32.89,16.87%,🚀 利潤擴張,977.78,7.13%,樂事綠能,22.8500003815,844.03,7.906574526470589,2025-12,1529.TW,2025,34.59,876.92
✅ 穩健價值,1.29,2.48,53.1,-6.92,N/A,🧐 疑業外收益,270.59,N/A,華東,51.0999984741,837.6899999999999,14.435027817542371,2025-12,8110.TW,2025,-8.99,830.77
⚠️ 追價風險,1.15,3.01,67.65,24.44,N/A,🚀 利潤擴張,2775.0,N/A,南電,947.0,816.1899999999999,209.97782705099775,2025-12,8046.TW,2025,18.82,840.63
⚪ 數據不足,-0.05,0.09,0.0,12.57,N/A,🔄 轉虧為盈,-350.0,N/A,合晶,55.5999984741,787.43,0.0,2025-12,6182.TWO,2025,11.35,800.0
✅ 穩健價值,-2.22,6.28,22.650000000000006,-0.57,20.10%,🔄 轉虧為盈,-258.33,-167.95%,泰豐,18.7000007629,722.0,12.384106465496686,2025-12,2102.TW,2025,1.98,721.43
⚪ 數據不足,0.02,0.68,0.0,-5.37,19.96%,🧐 疑業外收益,107.14,4.40%,如興,0.0,705.37,0.0,2025-12,4414.TW,2025,-4.36,700.0
⚠️ 追價風險,0.12,0.32,3.75,10.91,26.03%,🚀 利潤擴張,250.0,5.00%,千如,32.5999984741,689.09,130.3999938964,2025-12,3236.TWO,2025,7.39,700.0
⚠️ 追價風險,0.37,1.58,7.200000000000003,-3.39,23.42%,🧐 疑業外收益,-2.63,-5.65%,中環,10.8500003815,688.58,22.60416746145832,2025-12,2323.TW,2025,-4.42,685.19
⚪ 數據不足,-0.26,0.53,-9.45,114.77,24.00%,🔄 轉虧為盈,-966.67,6.14%,飛寶企業,18.7000007629,668.5600000000001,0.0,2025-12,4413.TWO,2025,140.24,783.33
⚪ 中性觀察,0.28,0.38,7.2,3.99,27.32%,🚀 利潤擴張,460.0,0.43%,欣厚-KY,10.4499998093,656.01,21.770832936041664,2025-12,4924.TWO,2025,22.5,660.0
✅ 穩健價值,0.48,0.36,17.099999999999998,16.76,17.03%,🚀 利潤擴張,422.22,-11.28%,歐格,18.1000003815,603.24,15.877193317105263,2025-12,3002.TW,2025,14.66,620.0
⚠️ 追價風險,0.12,0.88,3.4499999999999997,9.55,41.86%,🚀 利潤擴張,-57.14,15.37%,華邦電,114.0,567.37,495.6521739130435,2025-12,2344.TW,2025,-0.22,576.92
⚠️ 追價風險,0.66,1.96,39.0,26.61,62.07%,🏰 高護城河,288.57,-188.65%,立萬利,75.5,563.39,29.038461538461537,2025-12,3054.TW,2025,24.16,590.0
⚪ 數據不足,5.5,5.29,0.0,-17.0,N/A,🧐 疑業外收益,1270.21,N/A,琉園,0.0,561.54,0.0,2025-12,9949.TWO,2025,-19.03,544.54
⚪ 數據不足,-0.38,0.18,-13.950000000000003,0.1,N/A,🔄 轉虧為盈,-90.0,N/A,康舒,50.7000007629,549.9,0.0,2025-12,6282.TW,2025,-4.33,550.0
⚠️ 追價風險,0.49,1.43,2.5500000000000025,-10.43,43.42%,🧐 疑業外收益,179.03,-66.51%,吉祥全,19.2000007629,467.93,112.9411809582352,2025-12,2491.TW,2025,-12.66,457.5
⚠️ 追價風險,0.54,0.47,18.15,20.59,30.70%,🚀 利潤擴張,2600.0,-18.51%,杭特,31.8999996185,440.95000000000005,26.363636048347107,2025-12,3297.TWO,2025,18.74,461.54
⚪ 數據不足,-0.58,1.28,-9.599999999999998,334.57,18.45%,🔄 轉虧為盈,7.84,4.44%,博士旺,238.5,418.37000000000006,0.0,2025-12,3555.TWO,2025,310.97,752.94
⚠️ 追價風險,-0.11,1.22,13.199999999999998,-9.02,22.27%,🔄 轉虧為盈,38.89,15.14%,宏旭-KY,26.3999996185,417.34999999999997,29.999999566477282,2025-12,2243.TW,2025,-10.45,408.33
