om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
8.07%,8050.0,1.77,事欣科,67.0,⚪ 中性觀察,4916.TW,18.73%,1.14,-8.85,2025,0.89,🚀 利潤擴張,2025-12,16.222760290556902,8049.11,61.949999999999996,254.55
-12.63%,6600.0,0.68,建漢,27.8500003815,💎 強力關注,3062.TW,1.56%,1.47,23.87,2025,16.55,🚀 利潤擴張,2025-12,4.441786344736842,6583.45,94.05,1971.43
18.04%,3612.5,2.85,日勝生,10.25,💎 強力關注,2547.TW,47.97%,2.78,-15.18,2025,-12.89,🧐 疑業外收益,2025-12,0.9070796460176991,3625.39,169.5,1150.0
N/A,3600.0,1.4,台生材,39.75,💎 強力關注,6649.TWO,N/A,1.31,158.06,2025,128.22,🚀 利潤擴張,2025-12,9.624697336561743,3471.78,61.949999999999996,1737.5
8.52%,3072.73,3.51,景碩,503.0,⚠️ 追價風險,3189.TW,22.14%,2.1,26.89,2025,28.87,🚀 利潤擴張,2025-12,66.44649933949802,3043.86,113.55,221.54
N/A,2500.0,0.52,工信,12.1000003815,💎 強力關注,5521.TW,N/A,0.37,36.66,2025,27.32,🚀 利潤擴張,2025-12,11.980198397524752,2472.68,15.15,3600.0
-91.14%,1562.0,22.26,永彰,30.3500003815,💎 強力關注,4523.TWO,-8.90%,23.73,15.97,2025,-7.15,🧐 疑業外收益,2025-12,0.7934640622614377,1569.15,573.7500000000001,3177.63
-28.70%,1502.33,6.03,大魯閣,16.75,💎 強力關注,1432.TW,34.83%,-0.36,4.99,2025,4.63,🔄 轉虧為盈,2025-12,3.023465703971119,1497.6999999999998,83.1,-125.0
7.09%,1500.0,1.28,科嶠,194.5,⚠️ 追價風險,4542.TWO,35.25%,0.95,27.63,2025,37.66,🚀 利潤擴張,2025-12,61.94267515923567,1462.34,47.1,196.87
-95.04%,1276.65,35.57,上緯投控,121.5,💎 強力關注,3708.TW,24.80%,0.53,-27.3,2025,-30.75,🧐 疑業外收益,2025-12,3.309724870607464,1307.4,550.65,-71.04
-0.59%,1357.14,1.02,聯光通,43.2999992371,⚠️ 追價風險,4903.TWO,9.90%,0.82,73.71,2025,64.51,🚀 利潤擴張,2025-12,26.08433688981928,1292.63,24.9,173.33
12.18%,1116.67,1.64,富喬,110.5,⚠️ 追價風險,1815.TWO,29.01%,0.81,46.55,2025,40.69,🚀 利潤擴張,2025-12,36.229508196721305,1075.98,45.75000000000001,606.25
N/A,1105.15,12.05,jpp-KY,367.0,✅ 穩健價值,5284.TW,N/A,9.16,53.98,2025,56.24,🚀 利潤擴張,2025-12,12.954465231203672,1048.91,424.95,1777.36
N/A,1000.0,0.11,松普,10.3999996185,⚠️ 追價風險,5488.TWO,N/A,0.06,-10.59,2025,-8.11,🧐 疑業外收益,2025-12,28.10810707702703,1008.11,5.55,-45.45
-0.28%,981.25,1.41,精英,20.8999996185,💎 強力關注,2331.TW,9.91%,1.44,10.42,2025,14.95,🚀 利潤擴張,2025-12,4.354166587187501,966.3,72.0,1700.0
-106.23%,905.92,12.33,晟德,38.2999992371,💎 強力關注,4123.TWO,41.95%,3.52,-4.5,2025,-6.28,🧐 疑業外收益,2025-12,2.341075747988998,912.1999999999999,245.39999999999998,810.64
N/A,962.5,1.7,品安,56.7000007629,⚠️ 追價風險,8088.TWO,N/A,0.28,38.48,2025,55.8,🚀 利潤擴張,2025-12,28.92857181780612,906.7,29.4,133.73
N/A,921.74,2.35,凌華,92.6999969482,⚪ 中性觀察,6166.TW,N/A,1.52,23.93,2025,17.09,🚀 利潤擴張,2025-12,21.020407471247164,904.65,66.15,357.63
