om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
8.07%,事欣科,-8.85,68.4000015259,8050.0,0.89,2025-12,18.73%,254.55,🚀 利潤擴張,2025,⚪ 中性觀察,16.56174371087167,1.14,61.949999999999996,4916.TW,8049.11,1.77
-12.63%,建漢,23.87,29.0,6600.0,16.55,2025-12,1.56%,1971.43,🚀 利潤擴張,2025,💎 強力關注,4.625199362041467,1.47,94.05,3062.TW,6583.45,0.68
18.04%,日勝生,-15.18,10.1499996185,3612.5,-12.89,2025-12,47.97%,1150.0,🧐 疑業外收益,2025,💎 強力關注,0.8982300547345133,2.78,169.5,2547.TW,3625.39,2.85
N/A,台生材,158.06,39.2999992371,3600.0,128.22,2025-12,N/A,1737.5,🚀 利潤擴張,2025,💎 強力關注,9.515738314067798,1.31,61.949999999999996,6649.TWO,3471.78,1.4
8.52%,景碩,26.89,494.0,3072.73,28.87,2025-12,22.14%,221.54,🚀 利潤擴張,2025,⚠️ 追價風險,65.25759577278733,2.1,113.55,3189.TW,3043.86,3.51
N/A,工信,36.66,11.5,2500.0,27.32,2025-12,N/A,3600.0,🚀 利潤擴張,2025,💎 強力關注,11.386138613861386,0.37,15.15,5521.TW,2472.68,0.52
-91.14%,永彰,15.97,29.9500007629,1562.0,-7.15,2025-12,-8.90%,3177.63,🧐 疑業外收益,2025,💎 強力關注,0.7830065558928103,23.73,573.7500000000001,4523.TWO,1569.15,22.26
-28.70%,大魯閣,4.99,16.7000007629,1502.33,4.63,2025-12,34.83%,-125.0,🔄 轉虧為盈,2025,💎 強力關注,3.0144405709205775,-0.36,83.1,1432.TW,1497.6999999999998,6.03
7.09%,科嶠,27.63,213.5,1500.0,37.66,2025-12,35.25%,196.87,🚀 利潤擴張,2025,⚠️ 追價風險,67.99363057324841,0.95,47.1,4542.TWO,1462.34,1.28
-95.04%,上緯投控,-27.3,121.5,1276.65,-30.75,2025-12,24.80%,-71.04,🧐 疑業外收益,2025,💎 強力關注,3.309724870607464,0.53,550.65,3708.TW,1307.4,35.57
-0.59%,聯光通,73.71,44.4000015259,1357.14,64.51,2025-12,9.90%,173.33,🚀 利潤擴張,2025,⚠️ 追價風險,26.746988871024097,0.82,24.9,4903.TWO,1292.63,1.02
12.18%,富喬,46.55,108.0,1116.67,40.69,2025-12,29.01%,606.25,🚀 利潤擴張,2025,⚠️ 追價風險,35.40983606557377,0.81,45.75000000000001,1815.TWO,1075.98,1.64
N/A,jpp-KY,53.98,382.0,1105.15,56.24,2025-12,N/A,1777.36,🚀 利潤擴張,2025,✅ 穩健價值,13.48393928697494,9.16,424.95,5284.TW,1048.91,12.05
N/A,松普,-10.59,10.1000003815,1000.0,-8.11,2025-12,N/A,-45.45,🧐 疑業外收益,2025,⚠️ 追價風險,27.29729832837838,0.06,5.55,5488.TWO,1008.11,0.11
-0.28%,精英,10.42,20.5499992371,981.25,14.95,2025-12,9.91%,1700.0,🚀 利潤擴張,2025,💎 強力關注,4.2812498410625,1.44,72.0,2331.TW,966.3,1.41
-106.23%,晟德,-4.5,38.3499984741,905.92,-6.28,2025-12,41.95%,810.64,🧐 疑業外收益,2025,💎 強力關注,2.344131936069682,3.52,245.39999999999998,4123.TWO,912.1999999999999,12.33
N/A,品安,38.48,52.0,962.5,55.8,2025-12,N/A,133.73,🚀 利潤擴張,2025,⚠️ 追價風險,26.53061224489796,0.28,29.4,8088.TWO,906.7,1.7
N/A,凌華,23.93,101.5,921.74,17.09,2025-12,N/A,357.63,🚀 利潤擴張,2025,⚠️ 追價風險,23.015873015873016,1.52,66.15,6166.TW,904.65,2.35
7.13%,樂事綠能,34.59,22.2000007629,876.92,32.89,2025-12,16.87%,977.78,🚀 利潤擴張,2025,💎 強力關注,7.681661163633219,0.97,43.349999999999994,1529.TW,844.03,1.01
N/A,華東,-8.99,50.7999992371,830.77,-6.92,2025-12,N/A,270.59,🧐 疑業外收益,2025,✅ 穩健價值,14.350282270367233,1.29,53.1,8110.TW,837.6899999999999,2.48
N/A,南電,18.82,900.0,840.63,24.44,2025-12,N/A,2775.0,🚀 利潤擴張,2025,⚠️ 追價風險,199.55654101995563,1.15,67.65,8046.TW,816.1899999999999,3.01
N/A,合晶,11.35,56.2999992371,800.0,12.57,2025-12,N/A,-350.0,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.05,0.0,6182.TWO,787.43,0.09
-167.95%,泰豐,1.98,18.5499992371,721.43,-0.57,2025-12,20.10%,-258.33,🔄 轉虧為盈,2025,✅ 穩健價值,12.284767706688738,-2.22,22.650000000000006,2102.TW,722.0,6.28
4.40%,如興,-4.36,0.0,700.0,-5.37,2025-12,19.96%,107.14,🧐 疑業外收益,2025,⚪ 數據不足,0.0,0.02,0.0,4414.TW,705.37,0.68
