代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
2409.TW,友達,20260514,19.55,-95883,1385695,1481578,-14.5x,6.54%,▲ 順勢追意
2337.TW,旺宏,20260514,169.0,-688653,427999,1116653,-0.6x,2.74%,▲ 順勢追意
4906.TW,正文,20260514,39.15,33076,405063,371986,12.2x,1.16%,▲ 順勢追意
2481.TW,強茂,20260514,115.5,29269,386847,357577,13.2x,11.59%,▲ 順勢追意
009820.TW,元大納斯達克精選,20260514,10.04,850,311728,310877,366.4x,2.14%,▲ 順勢追意
3450.TW,聯鈞,20260514,422.0,-28154,278628,306782,-9.9x,11.79%,▲ 順勢追意
4931.TWO,新盛力,20260514,198.5,-108152,145011,253164,-1.3x,21.04%,▲ 順勢追意
3707.TWO,漢磊,20260514,80.0,-68185,166051,234236,-2.4x,7.10%,▲ 順勢追意
2356.TW,英業達,20260514,53.2,38860,261817,222957,6.7x,6.51%,▲ 順勢追意
2485.TW,兆赫,20260514,70.7,-87724,134862,222587,-1.5x,4.43%,▲ 順勢追意
6282.TW,康舒,20260514,50.4,-686,206587,207274,-300.8x,-0.59%,★ 壓低偷買
8069.TWO,元太,20260514,226.0,2603,201721,199118,77.5x,47.71%,▲ 順勢追意
3714.TW,富采,20260514,68.2,-171581,14171,185752,-0.1x,-4.48%,★ 壓低偷買
5439.TWO,高技,20260514,411.0,-157529,27687,185216,-0.2x,0.98%,▲ 順勢追意
2367.TW,燿華,20260514,65.0,-39980,134239,174220,-3.4x,5.86%,▲ 順勢追意
1717.TW,長興,20260514,79.6,-46744,110792,157536,-2.4x,-0.13%,★ 壓低偷買
3048.TW,益登,20260514,51.0,3179,138973,135794,43.7x,21.14%,▲ 順勢追意
4958.TW,臻鼎-KY,20260514,436.5,-57760,77264,135025,-1.3x,2.22%,▲ 順勢追意
8028.TW,昇陽半導體,20260514,261.5,-30881,84321,115202,-2.7x,14.19%,▲ 順勢追意
2312.TW,金寶,20260514,28.25,-9643,97238,106882,-10.1x,-1.05%,★ 壓低偷買
3189.TW,景碩,20260514,522.0,-12519,93381,105900,-7.5x,5.99%,▲ 順勢追意
6265.TWO,方土昶,20260514,46.2,-79073,22119,101193,-0.3x,6.45%,▲ 順勢追意
2363.TW,矽統,20260514,63.0,-1643,89879,91522,-54.7x,8.81%,▲ 順勢追意
2324.TW,仁寶,20260514,30.25,10929,100124,89195,9.2x,2.72%,▲ 順勢追意
3006.TW,晶豪科,20260514,238.0,92921,178870,85948,1.9x,21.12%,▲ 順勢追意
00673R.TW,期元大S&P原油反1,20260514,11.97,-74135,2968,77103,-0.0x,-5.45%,★ 壓低偷買
6187.TWO,萬潤,20260514,1140.0,-70386,3785,74171,-0.1x,0.88%,▲ 順勢追意
6173.TWO,信昌電,20260514,172.0,66323,140280,73956,2.1x,54.95%,▲ 順勢追意
4966.TWO,譜瑞-KY,20260514,819.0,-394,71768,72162,-181.8x,34.48%,▲ 順勢追意
8039.TW,台虹,20260514,149.5,-10275,61358,71634,-6.0x,9.52%,▲ 順勢追意
00997A.TW,主動群益美國增長,20260514,12.79,-69704,75,69780,-0.0x,2.73%,▲ 順勢追意
8096.TWO,擎亞,20260514,97.1,-45757,23324,69081,-0.5x,1.36%,▲ 順勢追意
2355.TW,敬鵬,20260514,53.9,36409,104477,68068,2.9x,2.28%,▲ 順勢追意
2399.TW,映泰,20260514,47.2,-49439,15426,64865,-0.3x,8.51%,▲ 順勢追意
3374.TWO,精材,20260514,259.5,-31392,23261,54653,-0.7x,25.97%,▲ 順勢追意
3042.TW,晶技,20260514,149.5,-10700,43833,54534,-4.1x,-8.28%,★ 壓低偷買
00996A.TW,主動兆豐台灣豐收,20260514,14.15,-39317,14450,53768,-0.4x,0.57%,▲ 順勢追意
3624.TWO,光頡,20260514,73.2,-8113,44870,52983,-5.5x,23.23%,▲ 順勢追意
