id,name,price,signal,pnl,count,win_rate,reason
3491.TWO,昇達科,1690.0,☁️ 觀望,227.67,7,71.43,[P:0.85/5.0] [📉 轉弱] 等待機會
2383.TW,台光電,4615.0,💎 持股,174.76,5,80.0,[📈 標準 V3] [P:0.94/50.0] [📈 穩定] 趨勢維持
2367.TW,燿華,61.7999992371,☁️ 觀望,162.43,4,75.0,[P:0.85/5.0] [📉 轉弱] 等待機會
4958.TW,臻鼎-KY,401.0,☁️ 觀望,132.35,5,60.0,[P:0.94/50.0] [📈 穩定] 等待機會
3037.TW,欣興,821.0,☁️ 觀望,130.28,8,62.5,[P:0.85/50.0] [📈 穩定] 等待機會
8358.TWO,金居,389.5,❄️ 賣出,128.0,12,58.33,[📈 標準 V3] [P:0.85/50.0] [📈 穩定] 趨勢轉弱(強制)
2313.TW,華通,235.5,☁️ 觀望,124.43,7,57.14,[P:0.85/5.0] [📉 轉弱] 等待機會
3017.TW,奇鋐,2455.0,☁️ 觀望,123.0,6,66.67,[P:0.99/5.0] [📈 穩定] 等待機會
3131.TWO,弘塑,2870.0,☁️ 觀望,116.43,5,40.0,[P:0.94/5.0] [📉 轉弱] 等待機會
2404.TW,漢唐,1000.0,☁️ 觀望,111.21,4,50.0,[P:0.99/5.0] [📈 穩定] 等待機會
6640.TWO,均華,1370.0,☁️ 觀望,110.44,6,66.67,[P:0.93/5.0] [📉 轉弱] 等待機會
2308.TW,台達電,2075.0,❄️ 賣出,108.08,7,71.43,[📈 標準 V3] [P:0.85/50.0] [📈 穩定] 趨勢轉弱(強制)
2368.TW,金像電,1290.0,☁️ 觀望,107.13,8,62.5,[P:0.85/5.0] [📈 穩定] 等待機會
8046.TW,南電,786.0,☁️ 觀望,102.1,8,50.0,[P:0.98/5.0] [📈 穩定] 等待機會
5274.TWO,信驊,17195.0,☁️ 觀望,101.33,7,57.14,[P:0.97/50.0] [📈 穩定] 等待機會
6443.TW,元晶,38.2000007629,☁️ 觀望,90.09,6,66.67,[P:0.85/5.0] [📉 轉弱] 等待機會
1802.TW,台玻,65.0,☁️ 觀望,89.0,9,44.44,[P:0.95/5.0] [📉 轉弱] 等待機會
6213.TW,聯茂,253.0,☁️ 觀望,88.59,9,44.44,[P:0.85/5.0] [📈 穩定] 等待機會
3189.TW,景碩,486.0,☁️ 觀望,84.75,7,57.14,[P:0.85/50.0] [📈 穩定] 等待機會
3006.TW,晶豪科,251.0,💎 持股,84.71,9,66.67,[📈 標準 V3] [P:0.85/50.0] [🚀 極強] 趨勢維持
2327.TW,國巨*,455.5,💎 持股,80.47,6,66.67,[📈 標準 V3] [P:0.85/50.0] [📈 穩定] 趨勢維持
6282.TW,康舒,49.5999984741,❄️ 賣出,77.52,6,83.33,[📈 標準 V3] [P:0.85/5.0] [📉 轉弱] 趨勢轉弱(強制)
3105.TWO,穩懋,458.5,☁️ 觀望,73.52,7,71.43,[P:0.99/5.0] [📉 轉弱] 等待機會
2467.TW,志聖,587.0,💎 持股,68.65,8,62.5,[📈 標準 V3] [P:0.85/50.0] [📈 穩定] 趨勢維持
