eps,gm,pe,prev_rev_yoy,status,name,rev_yoy,est_price,eps_yoy,advice,date,price,prev_eps,prev_year,om,symbol,prev_eps_yoy,expansion
1.77,18.73%,16.392251077046005,-8.85,🚀 利潤擴張,事欣科,0.89,61.949999999999996,8050.0,⚪ 中性觀察,2025-12,67.6999969482,1.14,2025,8.07%,4916.TW,254.55,8049.11
0.68,1.56%,4.377990552296651,23.87,🚀 利潤擴張,建漢,16.55,94.05,6600.0,💎 強力關注,2025-12,27.4500007629,1.47,2025,-12.63%,3062.TW,1971.43,6583.45
2.85,47.97%,0.8805309565752212,-15.18,🧐 疑業外收益,日勝生,-12.89,169.5,3612.5,💎 強力關注,2025-12,9.9499998093,2.78,2025,18.04%,2547.TW,1150.0,3625.39
1.4,N/A,9.455205626416467,158.06,🚀 利潤擴張,台生材,128.22,61.949999999999996,3600.0,💎 強力關注,2025-12,39.0499992371,1.31,2025,N/A,6649.TWO,1737.5,3471.78
3.51,22.14%,64.20079260237782,26.89,🚀 利潤擴張,景碩,28.87,113.55,3072.73,⚠️ 追價風險,2025-12,486.0,2.1,2025,8.52%,3189.TW,221.54,3043.86
0.52,N/A,10.148514851485148,36.66,🚀 利潤擴張,工信,27.32,15.15,2500.0,💎 強力關注,2025-12,10.25,0.37,2025,N/A,5521.TW,3600.0,2472.68
22.26,-8.90%,0.734640532849673,15.97,🧐 疑業外收益,永彰,-7.15,573.7500000000001,1562.0,💎 強力關注,2025-12,28.1000003815,23.73,2025,-91.14%,4523.TWO,3177.63,1569.15
6.03,34.83%,2.9602887398014444,4.99,🔄 轉虧為盈,大魯閣,4.63,83.1,1502.33,💎 強力關注,2025-12,16.3999996185,-0.36,2025,-28.70%,1432.TW,-125.0,1497.6999999999998
1.28,35.25%,65.28662420382166,27.63,🚀 利潤擴張,科嶠,37.66,47.1,1500.0,⚠️ 追價風險,2025-12,205.0,0.95,2025,7.09%,4542.TWO,196.87,1462.34
35.57,24.80%,3.091800599291746,-27.3,🧐 疑業外收益,上緯投控,-30.75,550.65,1276.65,💎 強力關注,2025-12,113.5,0.53,2025,-95.04%,3708.TW,-71.04,1307.4
1.02,9.90%,29.27710751451807,73.71,🚀 利潤擴張,聯光通,64.51,24.9,1357.14,⚠️ 追價風險,2025-12,48.5999984741,0.82,2025,-0.59%,4903.TWO,173.33,1292.63
1.64,29.01%,33.60655737704918,46.55,🚀 利潤擴張,富喬,40.69,45.75000000000001,1116.67,⚠️ 追價風險,2025-12,102.5,0.81,2025,12.18%,1815.TWO,606.25,1075.98
12.05,N/A,13.289798799858808,53.98,🚀 利潤擴張,jpp-KY,56.24,424.95,1105.15,✅ 穩健價值,2025-12,376.5,9.16,2025,N/A,5284.TW,1777.36,1048.91
0.11,N/A,27.56756705216216,-10.59,🧐 疑業外收益,松普,-8.11,5.55,1000.0,⚠️ 追價風險,2025-12,10.1999998093,0.06,2025,N/A,5488.TWO,-45.45,1008.11
1.41,9.91%,4.031250079479166,10.42,🚀 利潤擴張,精英,14.95,72.0,981.25,💎 強力關注,2025-12,19.3500003815,1.44,2025,-0.28%,2331.TW,1700.0,966.3
12.33,41.95%,2.341075747988998,-4.5,🧐 疑業外收益,晟德,-6.28,245.39999999999998,905.92,💎 強力關注,2025-12,38.2999992371,3.52,2025,-106.23%,4123.TWO,810.64,912.1999999999999
1.7,N/A,27.551020408163264,38.48,🚀 利潤擴張,品安,55.8,29.4,962.5,⚠️ 追價風險,2025-12,54.0,0.28,2025,N/A,8088.TWO,133.73,906.7
2.35,N/A,25.396825396825395,23.93,🚀 利潤擴張,凌華,17.09,66.15,921.74,⚠️ 追價風險,2025-12,112.0,1.52,2025,N/A,6166.TW,357.63,904.65
1.01,16.87%,6.920415224913495,34.59,🚀 利潤擴張,樂事綠能,32.89,43.349999999999994,876.92,💎 強力關注,2025-12,20.0,0.97,2025,7.13%,1529.TW,977.78,844.03
2.48,N/A,14.124293785310734,-8.99,🧐 疑業外收益,華東,-6.92,53.1,830.77,✅ 穩健價值,2025-12,50.0,1.29,2025,N/A,8110.TW,270.59,837.6899999999999
