股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-0.86%,-0.22%,+1.75%,-0.86%,+0.22%,+0.43%,+0.43%,-0.21%,-0.21%,-1.72%
8261.TW,-1.79%,+0.71%,+1.11%,+4.48%,+0.00%,+1.43%,-0.47%,-1.42%,+0.00%,+0.00%
6205.TW,-0.14%,+1.30%,+1.43%,-0.70%,-0.71%,+0.86%,+0.14%,-2.83%,+0.29%,-1.60%
1789.TW,-1.15%,+0.97%,+1.91%,+0.94%,-2.04%,+0.76%,+0.94%,-0.75%,-1.13%,-1.14%
911608.TW,-0.31%,+0.31%,+0.52%,-2.84%,-1.95%,+0.33%,+0.00%,+0.00%,-1.32%,+1.00%
3044.TW,+0.00%,+1.84%,+2.26%,+0.44%,+7.49%,+2.87%,-0.40%,-2.00%,-1.63%,-2.90%
3011.TW,+0.36%,+6.56%,-2.00%,-0.34%,-2.21%,+0.17%,-0.35%,-2.97%,-2.34%,-2.03%
00876.TW,-0.26%,+1.55%,+0.41%,+1.59%,+1.35%,-0.32%,+0.65%,-0.75%,-0.87%,+1.89%
00676R.TW,+0.00%,-1.21%,-0.92%,-1.86%,-0.32%,+0.32%,+0.00%,+0.00%,-0.63%,-1.27%
4961.TW,-4.82%,+3.72%,-0.33%,+0.33%,-0.65%,+1.31%,+0.32%,-0.97%,+0.00%,-0.98%
2012.TW,+1.14%,+1.13%,+0.37%,+0.00%,+0.18%,+0.74%,+0.00%,+0.00%,-0.73%,-0.37%
8114.TW,+1.46%,+0.48%,-0.48%,+1.44%,+1.90%,+0.47%,+0.93%,-0.46%,-0.92%,+0.47%
8028.TW,-0.18%,+0.71%,+1.23%,+0.17%,-0.17%,+0.35%,+0.00%,+0.17%,+1.56%,+0.00%
6443.TW,+1.02%,+1.15%,+0.14%,-0.85%,-0.72%,+2.17%,+0.14%,+0.28%,-0.28%,-1.13%
2748.TW,-1.99%,+2.28%,+1.98%,-1.58%,+5.56%,+2.69%,+5.58%,+9.49%,-7.59%,-3.94%
6525.TW,-0.14%,+1.67%,+0.55%,+0.41%,+0.00%,+0.14%,+1.08%,+0.00%,-0.27%,+0.67%
1802.TW,-2.13%,+1.09%,+2.43%,+0.26%,-0.52%,+0.53%,-0.26%,-1.84%,+0.00%,-1.88%
9938.TW,-0.91%,+0.55%,+0.00%,+0.00%,-0.18%,-0.36%,+2.01%,+0.00%,-0.72%,-1.27%
00635U.TW,+0.20%,+0.04%,-1.30%,-0.56%,-0.84%,+0.69%,-0.68%,+0.77%,-1.08%,-0.53%
2408.TW,+0.16%,+1.10%,+5.26%,+1.91%,+0.87%,+0.29%,-0.29%,+0.00%,+3.58%,-0.69%
2504.TW,-0.87%,+0.88%,+0.35%,-0.70%,+0.88%,+0.87%,-0.69%,+0.87%,-1.03%,-0.17%
5546.TW,-1.84%,+0.50%,+0.00%,+0.00%,+0.00%,-0.87%,+0.13%,-1.00%,+1.27%,+0.00%
2395.TW,-0.90%,+2.33%,+2.78%,-3.08%,+0.64%,+1.39%,-0.87%,+0.50%,+0.50%,-0.50%
3050.TW,+0.00%,+0.66%,+0.65%,+0.65%,-0.32%,+0.97%,+0.64%,+0.63%,-0.32%,-1.90%
6591.TW,-2.09%,+1.22%,+0.50%,+0.60%,+0.40%,+0.99%,+0.39%,+0.00%,+2.73%,-1.14%
6176.TW,-0.87%,+0.44%,+0.44%,+0.87%,+0.00%,+0.87%,+0.43%,+0.85%,+0.42%,+0.42%
00757.TW,-1.06%,+0.57%,+1.41%,+1.80%,+3.23%,-1.57%,+1.20%,-0.89%,+2.19%,+0.00%
2101.TW,-0.13%,+1.42%,+0.64%,+0.13%,-0.51%,+0.13%,+0.51%,+0.00%,-0.51%,-1.02%
1612.TW,-0.23%,+4.92%,-1.34%,+2.26%,-0.66%,+1.11%,-0.22%,+0.88%,+1.09%,-1.30%
00685L.TW,-0.22%,+2.42%,+3.02%,+2.48%,+0.67%,-0.07%,+0.18%,-0.71%,+1.52%,+2.93%
6446.TW,-2.76%,-0.30%,-0.75%,-0.90%,-3.50%,+9.94%,+1.72%,-3.95%,+1.17%,-2.03%
2374.TW,+0.00%,+0.00%,+0.51%,+0.50%,+0.00%,+0.00%,+0.75%,-0.50%,+0.25%,-0.50%
1443.TW,-0.35%,+0.87%,+2.08%,+0.34%,-0.51%,-0.51%,+0.34%,-1.02%,-0.34%,+0.00%
2025.TW,+0.00%,-0.38%,+6.18%,-0.73%,+0.00%,+9.34%,+0.50%,-3.00%,-3.26%,-0.71%
6141.TW,-2.22%,+1.14%,-0.84%,+0.28%,-0.56%,+0.00%,+0.28%,+0.00%,-0.85%,+0.00%
5243.TW,+0.00%,+2.58%,+4.30%,+0.57%,+9.89%,+6.04%,+0.61%,+0.96%,+3.58%,-4.84%
2303.TW,-1.23%,+1.46%,+0.92%,+1.93%,-0.40%,-2.20%,+0.00%,+0.51%,-0.51%,+3.07%
4968.TW,-5.23%,-1.53%,+3.74%,+3.30%,-1.74%,+1.48%,-1.46%,-0.59%,-0.60%,-3.59%
2417.TW,-0.24%,+1.19%,+0.47%,+0.47%,-0.23%,+0.23%,+0.93%,+0.46%,-0.46%,+0.00%
2402.TW,-2.25%,+1.42%,-2.44%,-1.61%,-1.09%,+3.49%,+2.84%,+1.73%,-4.24%,-1.95%
2351.TW,-1.28%,+1.72%,+1.27%,-0.42%,-2.94%,+1.30%,+1.28%,+2.95%,-1.64%,+0.83%
2420.TW,-0.45%,+0.11%,+0.89%,+0.11%,-0.22%,+0.44%,+0.44%,+0.44%,-0.55%,+0.22%
911622.TW,+0.00%,+0.00%,+0.39%,-0.39%,-0.19%,+0.00%,-0.19%,+0.00%,-0.19%,+0.20%
8222.TW,-2.19%,-1.30%,+10.00%,+2.57%,+0.84%,+1.66%,+1.63%,+1.44%,-3.96%,-3.46%
2497.TW,-2.17%,+0.74%,+2.20%,-0.72%,-1.59%,+1.91%,+3.90%,-1.39%,-0.85%,-1.14%
2059.TW,+0.87%,+3.56%,-1.30%,+1.80%,-2.13%,-0.60%,+1.70%,-0.24%,+1.08%,-0.59%
