年份/項目,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
2014,-0.07%,+0.25%,+0.05%,+0.59%,+0.11%,+0.11%,-0.13%,+1.08%,+0.68%,+0.70%
2015,-0.46%,-0.40%,-1.05%,+0.71%,+0.20%,+0.20%,-0.42%,+0.41%,-0.11%,+0.12%
2016,-0.02%,+0.98%,-0.03%,-0.47%,+0.43%,+0.44%,+1.69%,+0.07%,+0.67%,+0.31%
2017,+0.33%,-0.15%,+0.02%,-0.15%,+0.27%,+0.29%,+0.29%,+0.50%,+0.43%,-0.00%
2018,+0.17%,-0.23%,-0.12%,+0.00%,+0.09%,+0.63%,-0.17%,-0.16%,+0.52%,+0.13%
2019,+0.17%,+0.76%,-0.74%,-0.94%,-0.40%,-0.39%,+0.86%,+0.00%,-0.92%,+0.08%
2020,-1.46%,+0.06%,+0.04%,+0.76%,+0.29%,+0.29%,+0.96%,-0.89%,+0.88%,+0.65%
2021,-0.19%,-4.79%,+5.29%,+0.87%,-0.87%,-0.87%,+1.87%,+0.89%,+0.95%,+0.39%
2022,+0.19%,+0.98%,+0.96%,-0.61%,+0.57%,+0.58%,+0.47%,-1.04%,+0.94%,-0.30%
2023,-0.58%,+0.90%,+0.86%,+0.38%,+0.00%,+0.86%,+0.55%,+0.19%,-0.16%,-0.36%
2024,+0.38%,+0.14%,+0.76%,+0.38%,+0.04%,+0.04%,+0.25%,+0.62%,-0.87%,+0.49%
2025,+1.06%,-0.26%,+0.33%,-0.87%,+0.17%,+0.17%,+0.81%,-0.42%,+0.01%,-0.22%
歷史總平均,-0.01%,-0.16%,+0.60%,+0.03%,+0.07%,+0.19%,+0.61%,+0.07%,+0.22%,+0.15%
