gm,eps,om,price,prev_year,status,date,name,prev_eps,eps_yoy,pe,rev_yoy,est_price,advice,prev_rev_yoy,symbol,expansion,prev_eps_yoy
18.73%,1.77,8.07%,81.8000030518,2025,🚀 利潤擴張,2025-12,事欣科,1.14,8050.0,19.806296138450364,0.89,61.949999999999996,⚪ 中性觀察,-8.85,4916.TW,8049.11,254.55
1.56%,0.68,-12.63%,27.5499992371,2025,🚀 利潤擴張,2025-12,建漢,1.47,6600.0,4.3939392722647534,16.55,94.05,💎 強力關注,23.87,3062.TW,6583.45,1971.43
47.97%,2.85,18.04%,10.0,2025,🧐 疑業外收益,2025-12,日勝生,2.78,3612.5,0.8849557522123893,-12.89,169.5,💎 強力關注,-15.18,2547.TW,3625.39,1150.0
N/A,1.4,N/A,39.4500007629,2025,🚀 利潤擴張,2025-12,台生材,1.31,3600.0,9.552058296101695,128.22,61.949999999999996,💎 強力關注,158.06,6649.TWO,3471.78,1737.5
22.14%,3.51,8.52%,513.0,2025,🚀 利潤擴張,2025-12,景碩,2.1,3072.73,67.76750330250991,28.87,113.55,⚠️ 追價風險,26.89,3189.TW,3043.86,221.54
N/A,0.52,N/A,10.25,2025,🚀 利潤擴張,2025-12,工信,0.37,2500.0,10.148514851485148,27.32,15.15,💎 強力關注,36.66,5521.TW,2472.68,3600.0
-8.90%,22.26,-91.14%,28.0,2025,🧐 疑業外收益,2025-12,永彰,23.73,1562.0,0.7320261437908495,-7.15,573.7500000000001,💎 強力關注,15.97,4523.TWO,1569.15,3177.63
34.83%,6.03,-28.70%,16.25,2025,🔄 轉虧為盈,2025-12,大魯閣,-0.36,1502.33,2.9332129963898916,4.63,83.1,💎 強力關注,4.99,1432.TW,1497.6999999999998,-125.0
35.25%,1.28,7.09%,215.0,2025,🚀 利潤擴張,2025-12,科嶠,0.95,1500.0,68.47133757961784,37.66,47.1,⚠️ 追價風險,27.63,4542.TWO,1462.34,196.87
24.80%,35.57,-95.04%,115.5,2025,🧐 疑業外收益,2025-12,上緯投控,0.53,1276.65,3.1462816671206757,-30.75,550.65,💎 強力關注,-27.3,3708.TW,1307.4,-71.04
9.90%,1.02,-0.59%,46.0999984741,2025,🚀 利潤擴張,2025-12,聯光通,0.82,1357.14,27.77108341813253,64.51,24.9,⚠️ 追價風險,73.71,4903.TWO,1292.63,173.33
29.01%,1.64,12.18%,102.0,2025,🚀 利潤擴張,2025-12,富喬,0.81,1116.67,33.44262295081967,40.69,45.75000000000001,⚠️ 追價風險,46.55,1815.TWO,1075.98,606.25
N/A,12.05,N/A,368.0,2025,🚀 利潤擴張,2025-12,jpp-KY,9.16,1105.15,12.989763501588422,56.24,424.95,✅ 穩健價值,53.98,5284.TW,1048.91,1777.36
N/A,0.11,N/A,10.6999998093,2025,🧐 疑業外收益,2025-12,松普,0.06,1000.0,28.918918403513512,-8.11,5.55,⚠️ 追價風險,-10.59,5488.TWO,1008.11,-45.45
9.91%,1.41,-0.28%,18.9500007629,2025,🚀 利潤擴張,2025-12,精英,1.44,981.25,3.947916825604167,14.95,72.0,💎 強力關注,10.42,2331.TW,966.3,1700.0
41.95%,12.33,-106.23%,37.9500007629,2025,🧐 疑業外收益,2025-12,晟德,3.52,905.92,2.319682198221271,-6.28,245.39999999999998,💎 強力關注,-4.5,4123.TWO,912.1999999999999,810.64
N/A,1.7,N/A,52.2000007629,2025,🚀 利潤擴張,2025-12,品安,0.28,962.5,26.632653450459184,55.8,29.4,⚠️ 追價風險,38.48,8088.TWO,906.7,133.73
N/A,2.35,N/A,113.5,2025,🚀 利潤擴張,2025-12,凌華,1.52,921.74,25.736961451247165,17.09,66.15,⚠️ 追價風險,23.93,6166.TW,904.65,357.63
16.87%,1.01,7.13%,20.5,2025,🚀 利潤擴張,2025-12,樂事綠能,0.97,876.92,7.093425605536333,32.89,43.349999999999994,💎 強力關注,34.59,1529.TW,844.03,977.78
N/A,2.48,N/A,47.3499984741,2025,🧐 疑業外收益,2025-12,華東,1.29,830.77,13.375705783644067,-6.92,53.1,✅ 穩健價值,-8.99,8110.TW,837.6899999999999,270.59
N/A,3.01,N/A,798.0,2025,🚀 利潤擴張,2025-12,南電,1.15,840.63,176.94013303769398,24.44,67.65,⚠️ 追價風險,18.82,8046.TW,816.1899999999999,2775.0
N/A,0.09,N/A,55.5,2025,🔄 轉虧為盈,2025-12,合晶,-0.05,800.0,0.0,12.57,0.0,⚪ 數據不足,11.35,6182.TWO,787.43,-350.0
20.10%,6.28,-167.95%,17.8999996185,2025,🔄 轉虧為盈,2025-12,泰豐,-2.22,721.43,11.854304383112579,-0.57,22.650000000000006,💎 強力關注,1.98,2102.TW,722.0,-258.33
19.96%,0.68,4.40%,0.0,2025,🧐 疑業外收益,2025-12,如興,0.02,700.0,0.0,-5.37,0.0,⚪ 數據不足,-4.36,4414.TW,705.37,107.14
26.03%,0.32,5.00%,40.2999992371,2025,🚀 利潤擴張,2025-12,千如,0.12,700.0,161.1999969484,10.91,3.75,⚠️ 追價風險,7.39,3236.TWO,689.09,250.0
23.42%,1.58,-5.65%,9.4499998093,2025,🧐 疑業外收益,2025-12,中環,0.37,685.19,19.687499602708325,-3.39,7.200000000000003,⚪ 中性觀察,-4.42,2323.TW,688.58,-2.63
24.00%,0.53,6.14%,18.1000003815,2025,🔄 轉虧為盈,2025-12,飛寶企業,-0.26,783.33,0.0,114.77,-9.45,⚪ 數據不足,140.24,4413.TWO,668.5600000000001,-966.67
27.32%,0.38,0.43%,11.8000001907,2025,🚀 利潤擴張,2025-12,欣厚-KY,0.28,660.0,24.583333730625,3.99,7.2,⚠️ 追價風險,22.5,4924.TWO,656.01,460.0
17.03%,0.36,-11.28%,16.5,2025,🚀 利潤擴張,2025-12,歐格,0.48,620.0,14.473684210526317,16.76,17.099999999999998,✅ 穩健價值,14.66,3002.TW,603.24,422.22
41.86%,0.88,15.37%,117.5,2025,🚀 利潤擴張,2025-12,華邦電,0.12,576.92,510.86956521739137,9.55,3.4499999999999997,⚠️ 追價風險,-0.22,2344.TW,567.37,-57.14
62.07%,1.96,-188.65%,66.1999969482,2025,🏰 高護城河,2025-12,立萬利,0.66,590.0,25.46153728776923,26.61,39.0,⚠️ 追價風險,24.16,3054.TW,563.39,288.57
N/A,5.29,N/A,0.0,2025,🧐 疑業外收益,2025-12,琉園,5.5,544.54,0.0,-17.0,0.0,⚪ 數據不足,-19.03,9949.TWO,561.54,1270.21
N/A,0.18,N/A,50.7999992371,2025,🔄 轉虧為盈,2025-12,康舒,-0.38,550.0,0.0,0.1,-13.950000000000003,⚪ 數據不足,-4.33,6282.TW,549.9,-90.0
43.42%,1.43,-66.51%,20.0499992371,2025,🧐 疑業外收益,2025-12,吉祥全,0.49,457.5,117.94117198294107,-10.43,2.5500000000000025,⚠️ 追價風險,-12.66,2491.TW,467.93,179.03
30.70%,0.47,-18.51%,30.1000003815,2025,🚀 利潤擴張,2025-12,杭特,0.54,461.54,24.876033373140498,20.59,18.15,⚠️ 追價風險,18.74,3297.TWO,440.95000000000005,2600.0
18.45%,1.28,4.44%,195.5,2025,🔄 轉虧為盈,2025-12,博士旺,-0.58,752.94,0.0,334.57,-9.599999999999998,⚪ 數據不足,310.97,3555.TWO,418.37000000000006,7.84
22.27%,1.22,15.14%,21.6000003815,2025,🔄 轉虧為盈,2025-12,宏旭-KY,-0.11,408.33,24.54545497897728,-9.02,13.199999999999998,⚠️ 追價風險,-10.45,2243.TW,417.34999999999997,38.89
42.12%,8.13,18.24%,784.0,2025,🚀 利潤擴張,2025-12,大量,5.45,474.47,44.52015900056785,95.35,264.15000000000003,⚠️ 追價風險,119.15,3167.TW,379.12,790.16
2.52%,0.45,0.23%,9.5,2025,🧐 疑業外收益,2025-12,宏洲,0.43,364.71,8.636363636363637,-9.55,16.499999999999996,💎 強力關注,-6.34,1413.TW,374.26,326.32
23.49%,1.22,7.74%,304.5,2025,🚀 利潤擴張,2025-12,雙鍵,0.62,377.27,117.56756756756758,5.46,38.849999999999994,⚠️ 追價風險,6.23,4764.TW,371.81,187.32
N/A,1.69,N/A,27.9500007629,2025,🚀 利潤擴張,2025-12,同亨,1.26,382.35,6.129386132214911,12.01,68.4,💎 強力關注,13.03,5490.TWO,370.34000000000003,916.67
N/A,0.55,N/A,17.0499992371,2025,🧐 疑業外收益,2025-12,新天地,0.02,358.33,6.089285441821429,-6.42,42.0,💎 強力關注,-10.3,8940.TW,364.75,103.23
69.49%,1.52,-15.39%,82.0999984741,2025,🏰 高護城河,2025-12,倚強科,1.65,406.67,20.62814032012563,49.68,59.699999999999996,⚪ 中性觀察,43.11,3219.TWO,356.99,179.66
10.73%,0.9,-2.70%,19.1499996185,2025,🚀 利潤擴張,2025-12,友達,0.52,327.5,7.539369928543307,0.41,38.1,💎 強力關注,-0.15,2409.TW,327.09,185.25
15.60%,7.73,0.97%,91.5,2025,🚀 利潤擴張,2025-12,冠星-KY,7.71,346.24,4.263746505125815,29.26,321.90000000000003,💎 強力關注,30.37,4439.TW,316.98,114.76
8.40%,0.15,-12.67%,43.0,2025,🔄 轉虧為盈,2025-12,映泰,-0.11,275.0,0.0,-14.09,-2.7000000000000006,⚪ 數據不足,-14.04,2399.TW,289.09,-222.22
34.44%,7.21,-79.17%,45.6500015259,2025,🧐 疑業外收益,2025-12,宏達電,7.88,275.85,1.906054343461378,-5.85,359.25,💎 強力關注,-0.73,2498.TW,281.70000000000005,352.24
N/A,4.01,N/A,68.5,2025,🧐 疑業外收益,2025-12,美利達,4.81,271.37,5.293663060278207,-9.71,194.10000000000002,💎 強力關注,-8.55,9914.TW,281.08,-18.34
N/A,4.02,N/A,0.0,2025,🚀 利潤擴張,2025-12,浪凡,3.02,288.24,0.0,12.97,0.0,⚪ 數據不足,12.63,6165.TW,275.27,410.34
38.42%,2.01,13.23%,252.0,2025,🚀 利潤擴張,2025-12,大銀微系統,1.26,294.12,57.66590389016018,20.44,65.55,⚠️ 追價風險,19.84,4576.TW,273.68,447.83
-4.21%,0.25,-53.06%,47.0,2025,🧐 疑業外收益,2025-12,冠西電,0.98,241.18,0.0,-14.27,-8.100000000000001,⚪ 數據不足,-6.66,2466.TW,255.45000000000002,230.67
9.17%,5.5,6.96%,31.3999996185,2025,🚀 利潤擴張,2025-12,華榮,4.75,254.81,2.699913982674119,0.02,174.45,💎 強力關注,-0.36,1608.TW,254.79,241.94
41.46%,0.09,18.72%,6.5100002289,2025,🧐 疑業外收益,2025-12,中纖,0.19,250.0,25.03846241884615,-0.24,3.9000000000000004,⚠️ 追價風險,4.96,1718.TW,250.24,-11.76
N/A,1.91,N/A,86.4000015259,2025,🧐 疑業外收益,2025-12,有成精密,1.48,240.74,18.989011324373624,-0.48,68.25,⚪ 中性觀察,-1.75,4949.TW,241.22,180.87
29.82%,1.74,25.89%,20.6000003815,2025,🔄 轉虧為盈,2025-12,三地開發,-0.9,237.01,0.0,7.93,-2.4000000000000004,⚪ 數據不足,-98.23,1438.TW,229.07999999999998,10.89
46.73%,3.41,248.16%,13.25,2025,🔄 轉虧為盈,2025-12,怡華,-0.9,207.21,9.01360544217687,-20.46,22.050000000000004,💎 強力關注,-26.31,1456.TW,227.67000000000002,15.89
31.94%,1.74,14.09%,64.9000015259,2025,🚀 利潤擴張,2025-12,晶相光,0.47,230.83,31.052632309043062,6.6,31.349999999999998,⚠️ 追價風險,-5.41,3530.TW,224.23000000000002,-50.0
5.45%,0.21,-1.87%,19.6000003815,2025,🧐 疑業外收益,2025-12,允強,0.33,200.0,20.4166670640625,-13.63,14.399999999999999,⚪ 中性觀察,-4.98,2034.TW,213.63,94.12
30.12%,1.72,9.56%,18.7000007629,2025,🧐 疑業外收益,2025-12,松瑞藥,1.43,203.51,3.3754514012454875,-1.28,83.1,💎 強力關注,-6.23,4167.TWO,204.79,237.21
42.43%,2.51,14.38%,33.5,2025,🚀 利潤擴張,2025-12,皇將,1.0,216.0,7.562076749435667,12.21,66.44999999999999,💎 強力關注,14.04,4744.TWO,203.79,400.0
N/A,1.58,N/A,127.0,2025,🚀 利潤擴張,2025-12,GOGOLOOK,0.23,222.58,60.76555023923446,20.92,31.349999999999998,⚠️ 追價風險,20.7,6902.TW,201.66000000000003,119.47
5.71%,13.38,-7.46%,139.0,2025,🚀 利潤擴張,2025-12,楠梓電,10.81,212.47,4.446577095329494,12.25,468.90000000000003,💎 強力關注,8.72,2316.TW,200.22,260.07
31.84%,0.7,10.64%,38.5,2025,🚀 利潤擴張,2025-12,金穎生技,0.31,229.63,28.518518518518523,29.92,20.249999999999996,⚠️ 追價風險,36.52,1796.TWO,199.70999999999998,150.0
N/A,1.58,N/A,62.5,2025,🚀 利潤擴張,2025-12,東研信超,1.18,205.88,18.32844574780059,8.46,51.15,⚪ 中性觀察,5.51,6840.TWO,197.42,76.12
29.43%,0.51,-10.81%,14.6999998093,2025,🧐 疑業外收益,2025-12,雲嘉南,0.55,189.47,30.62499960270833,-7.75,7.2,⚠️ 追價風險,-1.51,3191.TWO,197.22,219.57
3.50%,2.01,1.71%,56.0999984741,2025,🚀 利潤擴張,2025-12,益登,1.14,195.71,13.886138236163369,2.05,60.59999999999999,✅ 穩健價值,5.31,3048.TW,193.66,153.27
N/A,0.76,N/A,52.2999992371,2025,🚀 利潤擴張,2025-12,盛群,0.62,213.64,22.93859615662281,22.23,34.199999999999996,⚠️ 追價風險,31.27,6202.TW,191.41,191.04
17.05%,0.41,3.38%,49.9500007629,2025,🔄 轉虧為盈,2025-12,環科,-0.25,193.18,0.0,3.52,-9.6,⚪ 數據不足,8.02,2413.TW,189.66,62.12
5.36%,0.04,-14.33%,21.7999992371,2025,🧐 疑業外收益,2025-12,川飛,0.1,100.65,1089.9999618549991,-87.0,0.30000000000000027,⚠️ 追價風險,-90.58,1516.TW,187.65,-70.59
N/A,1.82,N/A,41.75,2025,🚀 利潤擴張,2025-12,邁達特,1.2,203.33,11.133333333333333,18.84,56.25,💎 強力關注,20.56,6112.TW,184.49,-3.23
N/A,1.14,N/A,14.6499996185,2025,🔄 轉虧為盈,2025-12,臺龍,-0.04,186.36,19.79729678175676,6.56,11.099999999999998,⚪ 中性觀察,11.15,6246.TWO,179.8,97.79
41.59%,3.67,21.37%,0.0,2025,🚀 利潤擴張,2025-12,台耀,2.44,180.15,0.0,2.54,0.0,⚪ 數據不足,4.96,4746.TW,177.61,39.43
8.05%,6.42,-11.23%,29.1000003815,2025,🚀 利潤擴張,2025-12,三一東林,7.31,248.27,2.669724805642202,70.72,163.5,💎 強力關注,27.17,3609.TWO,177.55,314.37
N/A,1.23,N/A,13.3999996185,2025,🧐 疑業外收益,2025-12,虹揚-KY,1.61,163.4,9.710144651086958,-13.43,20.7,💎 強力關注,-11.95,6573.TW,176.83,228.8
N/A,6.58,N/A,211.0,2025,🚀 利潤擴張,2025-12,力智,4.25,198.64,14.859154929577464,23.89,213.00000000000003,✅ 穩健價值,22.77,6719.TW,174.75,89.73
N/A,0.47,N/A,47.4500007629,2025,🧐 疑業外收益,2025-12,九豪,0.91,173.44,23.725000381450002,-1.13,29.999999999999996,⚠️ 追價風險,-0.97,6127.TWO,174.57,275.0
42.07%,0.92,14.30%,38.2999992371,2025,🧐 疑業外收益,2025-12,旭然,0.49,170.59,23.212120749757577,-3.75,24.750000000000004,⚠️ 追價風險,-8.55,4556.TWO,174.34,172.22
N/A,0.53,N/A,14.0,2025,🚀 利潤擴張,2025-12,亞都,0.09,178.95,15.555555555555555,5.62,13.5,✅ 穩健價值,4.04,5703.TWO,173.32999999999998,175.0
N/A,0.92,N/A,71.8000030518,2025,🚀 利潤擴張,2025-12,今國光,0.49,222.67,47.23684411302631,50.65,22.800000000000004,⚠️ 追價風險,39.08,6209.TW,172.01999999999998,190.57
N/A,0.89,N/A,59.4000015259,2025,🚀 利潤擴張,2025-12,長佳智能,0.81,183.87,26.877828744751127,12.23,33.150000000000006,⚠️ 追價風險,2.1,6841.TWO,171.64000000000001,1700.0
N/A,5.45,N/A,0.0,2025,🚀 利潤擴張,2025-12,聯友金屬-創,1.75,194.08,0.0,27.9,0.0,⚪ 數據不足,-4.54,7610.TW,166.18,3.33
18.05%,0.37,2.96%,28.25,2025,🚀 利潤擴張,2025-12,吉茂,0.24,188.1,40.94202898550725,23.11,10.35,⚠️ 追價風險,19.92,1587.TW,164.99,155.81
15.86%,0.22,1.35%,251.5,2025,🚀 利潤擴張,2025-12,一詮,0.16,175.0,811.2903225806451,10.09,4.65,⚠️ 追價風險,13.26,2486.TW,164.91,300.0
N/A,6.34,N/A,0.0,2025,🚀 利潤擴張,2025-12,富威電力,1.13,328.87,0.0,164.5,0.0,⚪ 數據不足,21.0,6994.TW,164.37,47.95
N/A,18.83,N/A,96.8000030518,2025,🚀 利潤擴張,2025-12,寬宏藝術,17.41,242.99,2.0925206020709037,78.68,693.9,💎 強力關注,97.52,6596.TWO,164.31,241.37
N/A,0.68,N/A,42.5,2025,🔄 轉虧為盈,2025-12,方土昶,-0.24,223.81,0.0,62.85,-11.25,⚪ 數據不足,25.19,6265.TWO,160.96,-271.43
N/A,13.74,N/A,379.0,2025,🚀 利潤擴張,2025-12,高技,9.52,291.45,13.06446053085143,130.83,435.15,✅ 穩健價值,130.37,5439.TWO,160.61999999999998,280.8
10.14%,-0.09,3.61%,22.0,2025,🧐 疑業外收益,2025-12,森寶,-0.13,89.89,0.0,-69.84,-4.95,⚪ 數據不足,-54.34,3489.TWO,159.73000000000002,23.53
7.66%,1.81,-21.47%,37.4000015259,2025,🧐 疑業外收益,2025-12,東台,2.61,150.56,5.252809203075843,-6.62,106.8,💎 強力關注,-1.22,4526.TW,157.18,271.05
4.18%,1.86,-22.27%,26.0499992371,2025,🚀 利潤擴張,2025-12,新鉅科,2.19,173.02,4.29159789738056,19.21,91.05,💎 強力關注,18.28,3630.TWO,153.81,219.44
N/A,1.57,N/A,44.2999992371,2025,🧐 疑業外收益,2025-12,安格,3.24,137.2,3.5019762242766794,-15.36,189.75000000000003,💎 強力關注,-15.66,6684.TWO,152.56,203.85
N/A,-0.55,N/A,26.0499992371,2025,🧐 疑業外收益,2025-12,台新藥,-0.24,58.65,0.0,-93.38,-13.5,⚪ 數據不足,-95.44,6838.TW,152.03,77.78
