status,symbol,om,advice,prev_year,date,prev_eps,rev_yoy,prev_rev_yoy,eps_yoy,pe,est_price,prev_eps_yoy,eps,gm,name,price,expansion
🚀 利潤擴張,4916.TW,8.07%,⚪ 中性觀察,2025,2025-12,1.14,0.89,-8.85,8050.0,21.7675548488862,61.949999999999996,254.55,1.77,18.73%,事欣科,89.9000015259,8049.11
🚀 利潤擴張,3062.TW,-12.63%,💎 強力關注,2025,2025-12,1.47,16.55,23.87,6600.0,4.4657097288676235,94.05,1971.43,0.68,1.56%,建漢,28.0,6583.45
🧐 疑業外收益,2547.TW,18.04%,💎 強力關注,2025,2025-12,2.78,-12.89,-15.18,3612.5,0.8849557522123893,169.5,1150.0,2.85,47.97%,日勝生,10.0,3625.39
🚀 利潤擴張,6649.TWO,N/A,💎 強力關注,2025,2025-12,1.31,128.22,158.06,3600.0,9.588377354503631,61.949999999999996,1737.5,1.4,N/A,台生材,39.5999984741,3471.78
🚀 利潤擴張,3189.TW,8.52%,⚠️ 追價風險,2025,2025-12,2.1,28.87,26.89,3072.73,66.57859973579922,113.55,221.54,3.51,22.14%,景碩,504.0,3043.86
🚀 利潤擴張,5521.TW,N/A,💎 強力關注,2025,2025-12,0.37,27.32,36.66,2500.0,10.445544743267327,15.15,3600.0,0.52,N/A,工信,10.5500001907,2472.68
🧐 疑業外收益,4523.TWO,-91.14%,💎 強力關注,2025,2025-12,23.73,-7.15,15.97,1562.0,0.7281045851372547,573.7500000000001,3177.63,22.26,-8.90%,永彰,27.8500003815,1569.15
🔄 轉虧為盈,1432.TW,-28.70%,💎 強力關注,2025,2025-12,-0.36,4.63,4.99,1502.33,2.9332129963898916,83.1,-125.0,6.03,34.83%,大魯閣,16.25,1497.6999999999998
🚀 利潤擴張,4542.TWO,7.09%,⚠️ 追價風險,2025,2025-12,0.95,37.66,27.63,1500.0,75.1592356687898,47.1,196.87,1.28,35.25%,科嶠,236.0,1462.34
🧐 疑業外收益,3708.TW,-95.04%,💎 強力關注,2025,2025-12,0.53,-30.75,-27.3,1276.65,3.241623535821302,550.65,-71.04,35.57,24.80%,上緯投控,119.0,1307.4
🚀 利潤擴張,4903.TWO,-0.59%,⚠️ 追價風險,2025,2025-12,0.82,64.51,73.71,1357.14,26.71686655066265,24.9,173.33,1.02,9.90%,聯光通,44.3499984741,1292.63
🚀 利潤擴張,1815.TWO,12.18%,⚠️ 追價風險,2025,2025-12,0.81,40.69,46.55,1116.67,32.62295081967213,45.75000000000001,606.25,1.64,29.01%,富喬,99.5,1075.98
🚀 利潤擴張,5284.TW,N/A,✅ 穩健價值,2025,2025-12,9.16,56.24,53.98,1105.15,12.813272149664668,424.95,1777.36,12.05,N/A,jpp-KY,363.0,1048.91
🧐 疑業外收益,5488.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.06,-8.11,-10.59,1000.0,31.621621106216214,5.55,-45.45,0.11,N/A,松普,11.6999998093,1008.11
🚀 利潤擴張,2331.TW,-0.28%,💎 強力關注,2025,2025-12,1.44,14.95,10.42,981.25,3.8854165871875,72.0,1700.0,1.41,9.91%,精英,18.6499996185,966.3
🧐 疑業外收益,4123.TWO,-106.23%,💎 強力關注,2025,2025-12,3.52,-6.28,-4.5,905.92,2.3349633718154035,245.39999999999998,810.64,12.33,41.95%,晟德,38.2000007629,912.1999999999999
🚀 利潤擴張,8088.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.28,55.8,38.48,962.5,26.275510204081634,29.4,133.73,1.7,N/A,品安,51.5,906.7
🚀 利潤擴張,6166.TW,N/A,⚠️ 追價風險,2025,2025-12,1.52,17.09,23.93,921.74,26.19047619047619,66.15,357.63,2.35,N/A,凌華,115.5,904.65
🚀 利潤擴張,1529.TW,7.13%,💎 強力關注,2025,2025-12,0.97,32.89,34.59,876.92,7.041522623356402,43.349999999999994,977.78,1.01,16.87%,樂事綠能,20.3500003815,844.03
🧐 疑業外收益,8110.TW,N/A,✅ 穩健價值,2025,2025-12,1.29,-6.92,-8.99,830.77,13.064971751412429,53.1,270.59,2.48,N/A,華東,46.25,837.6899999999999
🚀 利潤擴張,8046.TW,N/A,⚠️ 追價風險,2025,2025-12,1.15,24.44,18.82,840.63,183.81374722838135,67.65,2775.0,3.01,N/A,南電,829.0,816.1899999999999
🔄 轉虧為盈,6182.TWO,N/A,⚪ 數據不足,2025,2025-12,-0.05,12.57,11.35,800.0,0.0,0.0,-350.0,0.09,N/A,合晶,57.9000015259,787.43
🔄 轉虧為盈,2102.TW,-167.95%,💎 強力關注,2025,2025-12,-2.22,-0.57,1.98,721.43,11.754966887417215,22.650000000000006,-258.33,6.28,20.10%,泰豐,17.75,722.0
🧐 疑業外收益,4414.TW,4.40%,⚪ 數據不足,2025,2025-12,0.02,-5.37,-4.36,700.0,0.0,0.0,107.14,0.68,19.96%,如興,0.0,705.37
🚀 利潤擴張,3236.TWO,5.00%,⚠️ 追價風險,2025,2025-12,0.12,10.91,7.39,700.0,175.6000061036,3.75,250.0,0.32,26.03%,千如,43.9000015259,689.09
🧐 疑業外收益,2323.TW,-5.65%,⚪ 中性觀察,2025,2025-12,0.37,-3.39,-4.42,685.19,19.520833094999993,7.200000000000003,-2.63,1.58,23.42%,中環,9.3699998856,688.58
🔄 轉虧為盈,4413.TWO,6.14%,⚪ 數據不足,2025,2025-12,-0.26,114.77,140.24,783.33,0.0,-9.45,-966.67,0.53,24.00%,飛寶企業,18.0,668.5600000000001
🚀 利潤擴張,4924.TWO,0.43%,⚠️ 追價風險,2025,2025-12,0.28,3.99,22.5,660.0,23.333332936041664,7.2,460.0,0.38,27.32%,欣厚-KY,11.1999998093,656.01
🚀 利潤擴張,3002.TW,-11.28%,✅ 穩健價值,2025,2025-12,0.48,16.76,14.66,620.0,14.605262823245615,17.099999999999998,422.22,0.36,17.03%,歐格,16.6499996185,603.24
🚀 利潤擴張,2344.TW,15.37%,⚠️ 追價風險,2025,2025-12,0.12,9.55,-0.22,576.92,502.1739130434783,3.4499999999999997,-57.14,0.88,41.86%,華邦電,115.5,567.37
🏰 高護城河,3054.TW,-188.65%,⚠️ 追價風險,2025,2025-12,0.66,26.61,24.16,590.0,25.6153840285,39.0,288.57,1.96,62.07%,立萬利,66.5999984741,563.39
🧐 疑業外收益,9949.TWO,N/A,⚪ 數據不足,2025,2025-12,5.5,-17.0,-19.03,544.54,0.0,0.0,1270.21,5.29,N/A,琉園,0.0,561.54
🔄 轉虧為盈,6282.TW,N/A,⚪ 數據不足,2025,2025-12,-0.38,0.1,-4.33,550.0,0.0,-13.950000000000003,-90.0,0.18,N/A,康舒,50.7999992371,549.9
🧐 疑業外收益,2491.TW,-66.51%,⚠️ 追價風險,2025,2025-12,0.49,-10.43,-12.66,457.5,116.17647058823519,2.5500000000000025,179.03,1.43,43.42%,吉祥全,19.75,467.93
🚀 利潤擴張,3297.TWO,-18.51%,⚠️ 追價風險,2025,2025-12,0.54,20.59,18.74,461.54,25.04132168355372,18.15,2600.0,0.47,30.70%,杭特,30.2999992371,440.95000000000005
🔄 轉虧為盈,3555.TWO,4.44%,⚪ 數據不足,2025,2025-12,-0.58,334.57,310.97,752.94,0.0,-9.599999999999998,7.84,1.28,18.45%,博士旺,195.0,418.37000000000006
🔄 轉虧為盈,2243.TW,15.14%,⚠️ 追價風險,2025,2025-12,-0.11,-9.02,-10.45,408.33,23.74999956647728,13.199999999999998,38.89,1.22,22.27%,宏旭-KY,20.8999996185,417.34999999999997
🚀 利潤擴張,3167.TW,18.24%,⚠️ 追價風險,2025,2025-12,5.45,95.35,119.15,474.47,44.293015332197605,264.15000000000003,790.16,8.13,42.12%,大量,780.0,379.12
🧐 疑業外收益,1413.TW,0.23%,💎 強力關注,2025,2025-12,0.43,-9.55,-6.34,364.71,8.636363636363637,16.499999999999996,326.32,0.45,2.52%,宏洲,9.5,374.26
🚀 利潤擴張,4764.TW,7.74%,⚠️ 追價風險,2025,2025-12,0.62,5.46,6.23,377.27,127.41312741312743,38.849999999999994,187.32,1.22,23.49%,雙鍵,330.0,371.81
🚀 利潤擴張,5490.TWO,N/A,💎 強力關注,2025,2025-12,1.26,12.01,13.03,382.35,6.228070091776315,68.4,916.67,1.69,N/A,同亨,28.3999996185,370.34000000000003
🧐 疑業外收益,8940.TW,N/A,💎 強力關注,2025,2025-12,0.02,-6.42,-10.3,358.33,5.96428598675,42.0,103.23,0.55,N/A,新天地,16.7000007629,364.75
🏰 高護城河,3219.TWO,-15.39%,⚪ 中性觀察,2025,2025-12,1.65,49.68,43.11,406.67,20.62814032012563,59.699999999999996,179.66,1.52,69.49%,倚強科,82.0999984741,356.99
🚀 利潤擴張,2409.TW,-2.70%,💎 強力關注,2025,2025-12,0.52,0.41,-0.15,327.5,7.381889763779528,38.1,185.25,0.9,10.73%,友達,18.75,327.09
🚀 利潤擴張,4439.TW,0.97%,💎 強力關注,2025,2025-12,7.71,29.26,30.37,346.24,4.240447343895619,321.90000000000003,114.76,7.73,15.60%,冠星-KY,91.0,316.98
🔄 轉虧為盈,2399.TW,-12.67%,⚪ 數據不足,2025,2025-12,-0.11,-14.09,-14.04,275.0,0.0,-2.7000000000000006,-222.22,0.15,8.40%,映泰,42.2000007629,289.09
🧐 疑業外收益,2498.TW,-79.17%,💎 強力關注,2025,2025-12,7.88,-5.85,-0.73,275.85,1.897703580914405,359.25,352.24,7.21,34.44%,宏達電,45.4500007629,281.70000000000005
🧐 疑業外收益,9914.TW,N/A,💎 強力關注,2025,2025-12,4.81,-9.71,-8.55,271.37,5.293663060278207,194.10000000000002,-18.34,4.01,N/A,美利達,68.5,281.08
🚀 利潤擴張,6165.TW,N/A,⚪ 數據不足,2025,2025-12,3.02,12.97,12.63,288.24,0.0,0.0,410.34,4.02,N/A,浪凡,0.0,275.27
🚀 利潤擴張,4576.TW,13.23%,⚠️ 追價風險,2025,2025-12,1.26,20.44,19.84,294.12,54.11899313501144,65.55,447.83,2.01,38.42%,大銀微系統,236.5,273.68
🧐 疑業外收益,2466.TW,-53.06%,⚪ 數據不足,2025,2025-12,0.98,-14.27,-6.66,241.18,0.0,-8.100000000000001,230.67,0.25,-4.21%,冠西電,46.7999992371,255.45000000000002
🚀 利潤擴張,1608.TW,6.96%,💎 強力關注,2025,2025-12,4.75,0.02,-0.36,254.81,2.708512467755804,174.45,241.94,5.5,9.17%,華榮,31.5,254.79
🧐 疑業外收益,1718.TW,18.72%,⚠️ 追價風險,2025,2025-12,0.19,-0.24,4.96,250.0,24.730768570384612,3.9000000000000004,-11.76,0.09,41.46%,中纖,6.4299998283,250.24
🧐 疑業外收益,4949.TW,N/A,⚪ 中性觀察,2025,2025-12,1.48,-0.48,-1.75,240.74,19.186813857538464,68.25,180.87,1.91,N/A,有成精密,87.3000030518,241.22
🔄 轉虧為盈,1438.TW,25.89%,⚪ 數據不足,2025,2025-12,-0.9,7.93,-98.23,237.01,0.0,-2.4000000000000004,10.89,1.74,29.82%,三地開發,20.6499996185,229.07999999999998
🔄 轉虧為盈,1456.TW,248.16%,💎 強力關注,2025,2025-12,-0.9,-20.46,-26.31,207.21,8.809523679795916,22.050000000000004,15.89,3.41,46.73%,怡華,12.9499998093,227.67000000000002
🚀 利潤擴張,3530.TW,14.09%,⚠️ 追價風險,2025,2025-12,0.47,6.6,-5.41,230.83,31.38755907851675,31.349999999999998,-50.0,1.74,31.94%,晶相光,65.5999984741,224.23000000000002
🧐 疑業外收益,2034.TW,-1.87%,⚪ 中性觀察,2025,2025-12,0.33,-13.63,-4.98,200.0,20.624999205312502,14.399999999999999,94.12,0.21,5.45%,允強,19.7999992371,213.63
🧐 疑業外收益,4167.TWO,9.56%,💎 強力關注,2025,2025-12,1.43,-1.28,-6.23,203.51,3.4115522777075813,83.1,237.21,1.72,30.12%,松瑞藥,18.8999996185,204.79
🚀 利潤擴張,4744.TWO,14.38%,💎 強力關注,2025,2025-12,1.0,12.21,14.04,216.0,7.607223648510158,66.44999999999999,400.0,2.51,42.43%,皇將,33.7000007629,203.79
🚀 利潤擴張,6902.TW,N/A,⚠️ 追價風險,2025,2025-12,0.23,20.92,20.7,222.58,61.24401913875599,31.349999999999998,119.47,1.58,N/A,GOGOLOOK,128.0,201.66000000000003
🚀 利潤擴張,2316.TW,-7.46%,💎 強力關注,2025,2025-12,10.81,12.25,8.72,212.47,4.398592450415867,468.90000000000003,260.07,13.38,5.71%,楠梓電,137.5,200.22
🚀 利潤擴張,1796.TWO,10.64%,⚠️ 追價風險,2025,2025-12,0.31,29.92,36.52,229.63,26.666666666666668,20.249999999999996,150.0,0.7,31.84%,金穎生技,36.0,199.70999999999998
🚀 利潤擴張,6840.TWO,N/A,⚪ 中性觀察,2025,2025-12,1.18,8.46,5.51,205.88,18.82697857718475,51.15,76.12,1.58,N/A,東研信超,64.1999969482,197.42
🧐 疑業外收益,3191.TWO,-10.81%,⚠️ 追價風險,2025,2025-12,0.55,-7.75,-1.51,189.47,30.833333730625,7.2,219.57,0.51,29.43%,雲嘉南,14.8000001907,197.22
🚀 利潤擴張,3048.TW,1.71%,✅ 穩健價值,2025,2025-12,1.14,2.05,5.31,195.71,15.272277416559408,60.59999999999999,153.27,2.01,3.50%,益登,61.7000007629,193.66
🚀 利潤擴張,6202.TW,N/A,⚠️ 追價風險,2025,2025-12,0.62,22.23,31.27,213.64,24.38596424302632,34.199999999999996,191.04,0.76,N/A,盛群,55.5999984741,191.41
