id,name,price,signal,pnl,count,win_rate,reason
3081.TWO,聯亞,2580.0,☁️ 觀望,235.96,7,85.71,[P:0.85/5.0] [📉 轉弱] 等待機會
6515.TW,穎崴,9080.0,☁️ 觀望,185.73,8,75.0,[P:0.85/5.0] [📉 轉弱] 等待機會
6223.TWO,旺矽,5680.0,💎 持股,149.95,7,57.14,[📈 標準 V3] [P:0.94/50.0] [📈 穩定] 趨勢維持
3037.TW,欣興,823.0,☁️ 觀望,130.28,8,62.5,[P:0.85/50.0] [🚀 極強] 等待機會
3131.TWO,弘塑,2580.0,☁️ 觀望,116.43,5,40.0,[P:0.94/5.0] [📉 轉弱] 等待機會
6640.TWO,均華,1250.0,☁️ 觀望,110.44,6,66.67,[P:0.93/5.0] [📉 轉弱] 等待機會
2308.TW,台達電,1915.0,☁️ 觀望,102.88,7,71.43,[P:0.85/5.0] [📉 轉弱] 等待機會
8046.TW,南電,829.0,☁️ 觀望,102.1,8,50.0,[P:0.98/5.0] [🚀 極強] 等待機會
4979.TWO,華星光,562.0,☁️ 觀望,89.22,7,57.14,[P:0.96/5.0] [📉 轉弱] 等待機會
2345.TW,智邦,2355.0,❄️ 賣出,87.17,5,60.0,[P:0.99/5.0] [📈 穩定] 今日觸發 Trailing
3189.TW,景碩,504.0,☁️ 觀望,84.75,7,57.14,[P:0.85/5.0] [📈 穩定] 等待機會
3363.TWO,上詮,777.0,☁️ 觀望,57.32,8,62.5,[P:0.98/5.0] [📉 轉弱] 等待機會
6187.TWO,萬潤,1085.0,☁️ 觀望,48.98,5,60.0,[P:1.0/5.0] [📉 轉弱] 等待機會
2330.TW,台積電,2185.0,❄️ 賣出,42.08,7,57.14,[📈 標準 V3] [P:0.85/5.0] [📈 穩定] 趨勢轉弱(強制)
3055.TW,蔚華科,112.0,💎 持股,41.17,5,40.0,[📈 標準 V3] [P:1.01/50.0] [📈 穩定] 趨勢維持
3481.TW,群創,36.9500007629,🚀 持股,31.91,5,60.0,[🚀 爆發 5D30%] [P:1.0/50.0] [📈 穩定] 趨勢維持
3583.TW,辛耘,826.0,❄️ 賣出,12.67,7,28.57,[📈 標準 V3] [P:0.98/5.0] [📈 穩定] 趨勢轉弱(強制)
6451.TW,訊芯-KY,485.5,🚀 持股,-5.12,6,33.33,[🚀 爆發 5D30%] [P:0.98/5.0] [📈 穩定] 趨勢維持
2482.TW,連宇,16.1499996185,☁️ 觀望,-14.86,4,25.0,[P:0.98/5.0] [📉 轉弱] 等待機會
3450.TW,聯鈞,413.5,🚀 持股,-16.51,4,25.0,[🚀 爆發 5D30%] [P:1.01/5.0] [🚀 極強] 趨勢維持
