gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
18.73%,4916.TW,8.07%,61.949999999999996,1.14,8049.11,254.55,-8.85,事欣科,🚀 利潤擴張,8050.0,23.922518898740922,⚠️ 追價風險,2025-12,1.77,98.8000030518,2025,0.89
1.56%,3062.TW,-12.63%,94.05,1.47,6583.45,1971.43,23.87,建漢,🚀 利潤擴張,6600.0,4.529505521291867,💎 強力關注,2025-12,0.68,28.3999996185,2025,16.55
47.97%,2547.TW,18.04%,169.5,2.78,3625.39,1150.0,-15.18,日勝生,🧐 疑業外收益,3612.5,0.8893805478495576,💎 強力關注,2025-12,2.85,10.0500001907,2025,-12.89
N/A,6649.TWO,N/A,61.949999999999996,1.31,3471.78,1737.5,158.06,台生材,🚀 利潤擴張,3600.0,9.57627100171913,💎 強力關注,2025-12,1.4,39.5499992371,2025,128.22
22.14%,3189.TW,8.52%,113.55,2.1,3043.86,221.54,26.89,景碩,🚀 利潤擴張,3072.73,73.18361955085865,⚠️ 追價風險,2025-12,3.51,554.0,2025,28.87
N/A,5521.TW,N/A,15.15,0.37,2472.68,3600.0,36.66,工信,🚀 利潤擴張,2500.0,10.84158396960396,💎 強力關注,2025-12,0.52,10.9499998093,2025,27.32
-8.90%,4523.TWO,-91.14%,573.7500000000001,23.73,1569.15,3177.63,15.97,永彰,🧐 疑業外收益,1562.0,0.7411764805620914,💎 強力關注,2025-12,22.26,28.3500003815,2025,-7.15
34.83%,1432.TW,-28.70%,83.1,-0.36,1497.6999999999998,-125.0,4.99,大魯閣,🔄 轉虧為盈,1502.33,2.9602887398014444,💎 強力關注,2025-12,6.03,16.3999996185,2025,4.63
35.25%,4542.TWO,7.09%,47.1,0.95,1462.34,196.87,27.63,科嶠,🚀 利潤擴張,1500.0,82.64331210191082,⚠️ 追價風險,2025-12,1.28,259.5,2025,37.66
24.80%,3708.TW,-95.04%,550.65,0.53,1307.4,-71.04,-27.3,上緯投控,🧐 疑業外收益,1276.65,3.4459275401797873,💎 強力關注,2025-12,35.57,126.5,2025,-30.75
9.90%,4903.TWO,-0.59%,24.9,0.82,1292.63,173.33,73.71,聯光通,🚀 利潤擴張,1357.14,27.289156166927715,⚠️ 追價風險,2025-12,1.02,45.2999992371,2025,64.51
29.01%,1815.TWO,12.18%,45.75000000000001,0.81,1075.98,606.25,46.55,富喬,🚀 利潤擴張,1116.67,33.27868852459016,⚠️ 追價風險,2025-12,1.64,101.5,2025,40.69
N/A,5284.TW,N/A,424.95,9.16,1048.91,1777.36,53.98,jpp-KY,🚀 利潤擴張,1105.15,13.8016237204377,✅ 穩健價值,2025-12,12.05,391.0,2025,56.24
N/A,5488.TWO,N/A,5.55,0.06,1008.11,-45.45,-10.59,松普,🧐 疑業外收益,1000.0,31.8918924072973,⚠️ 追價風險,2025-12,0.11,11.8000001907,2025,-8.11
9.91%,2331.TW,-0.28%,72.0,1.44,966.3,1700.0,10.42,精英,🚀 利潤擴張,981.25,4.0833334128125,💎 強力關注,2025-12,1.41,19.6000003815,2025,14.95
41.95%,4123.TWO,-106.23%,245.39999999999998,3.52,912.1999999999999,810.64,-4.5,晟德,🧐 疑業外收益,905.92,2.368581907090465,💎 強力關注,2025-12,12.33,38.75,2025,-6.28
N/A,8088.TWO,N/A,29.4,0.28,906.7,133.73,38.48,品安,🚀 利潤擴張,962.5,27.602040037806123,⚠️ 追價風險,2025-12,1.7,54.0999984741,2025,55.8
N/A,6166.TW,N/A,66.15,1.52,904.65,357.63,23.93,凌華,🚀 利潤擴張,921.74,26.870748299319725,⚠️ 追價風險,2025-12,2.35,118.5,2025,17.09
16.87%,1529.TW,7.13%,43.349999999999994,0.97,844.03,977.78,34.59,樂事綠能,🚀 利潤擴張,876.92,7.179930795847752,💎 強力關注,2025-12,1.01,20.75,2025,32.89
N/A,8110.TW,N/A,53.1,1.29,837.6899999999999,270.59,-8.99,華東,🧐 疑業外收益,830.77,13.290960236468928,✅ 穩健價值,2025-12,2.48,47.0499992371,2025,-6.92
N/A,8046.TW,N/A,67.65,1.15,816.1899999999999,2775.0,18.82,南電,🚀 利潤擴張,840.63,193.34811529933478,⚠️ 追價風險,2025-12,3.01,872.0,2025,24.44
N/A,6182.TWO,N/A,0.0,-0.05,787.43,-350.0,11.35,合晶,🔄 轉虧為盈,800.0,0.0,⚪ 數據不足,2025-12,0.09,63.5999984741,2025,12.57
20.10%,2102.TW,-167.95%,22.650000000000006,-2.22,722.0,-258.33,1.98,泰豐,🔄 轉虧為盈,721.43,12.119204792781453,✅ 穩健價值,2025-12,6.28,18.2999992371,2025,-0.57
19.96%,4414.TW,4.40%,0.0,0.02,705.37,107.14,-4.36,如興,🧐 疑業外收益,700.0,0.0,⚪ 數據不足,2025-12,0.68,0.0,2025,-5.37
26.03%,3236.TWO,5.00%,3.75,0.12,689.09,250.0,7.39,千如,🚀 利潤擴張,700.0,193.0,⚠️ 追價風險,2025-12,0.32,48.25,2025,10.91
23.42%,2323.TW,-5.65%,7.200000000000003,0.37,688.58,-2.63,-4.42,中環,🧐 疑業外收益,685.19,20.541665951458324,⚪ 中性觀察,2025-12,1.58,9.8599996567,2025,-3.39
24.00%,4413.TWO,6.14%,-9.45,-0.26,668.5600000000001,-966.67,140.24,飛寶企業,🔄 轉虧為盈,783.33,0.0,⚪ 數據不足,2025-12,0.53,18.0,2025,114.77
27.32%,4924.TWO,0.43%,7.2,0.28,656.01,460.0,22.5,欣厚-KY,🚀 利潤擴張,660.0,24.062500397291664,⚠️ 追價風險,2025-12,0.38,11.5500001907,2025,3.99
17.03%,3002.TW,-11.28%,17.099999999999998,0.48,603.24,422.22,14.66,歐格,🚀 利潤擴張,620.0,15.000000334649123,✅ 穩健價值,2025-12,0.36,17.1000003815,2025,16.76
41.86%,2344.TW,15.37%,3.4499999999999997,0.12,567.37,-57.14,-0.22,華邦電,🚀 利潤擴張,576.92,495.6521739130435,⚠️ 追價風險,2025-12,0.88,114.0,2025,9.55
62.07%,3054.TW,-188.65%,39.0,0.66,563.39,288.57,24.16,立萬利,🏰 高護城河,590.0,25.692308866076925,⚠️ 追價風險,2025-12,1.96,66.8000030518,2025,26.61
N/A,9949.TWO,N/A,0.0,5.5,561.54,1270.21,-19.03,琉園,🧐 疑業外收益,544.54,0.0,⚪ 數據不足,2025-12,5.29,0.0,2025,-17.0
N/A,6282.TW,N/A,-13.950000000000003,-0.38,549.9,-90.0,-4.33,康舒,🔄 轉虧為盈,550.0,0.0,⚪ 數據不足,2025-12,0.18,53.5999984741,2025,0.1
43.42%,2491.TW,-66.51%,2.5500000000000025,0.49,467.93,179.03,-12.66,吉祥全,🧐 疑業外收益,457.5,127.64706331117635,⚠️ 追價風險,2025-12,1.43,21.7000007629,2025,-10.43
30.70%,3297.TWO,-18.51%,18.15,0.54,440.95000000000005,2600.0,18.74,杭特,🚀 利潤擴張,461.54,25.495868083884297,⚠️ 追價風險,2025-12,0.47,30.8500003815,2025,20.59
18.45%,3555.TWO,4.44%,-9.599999999999998,-0.58,418.37000000000006,7.84,310.97,博士旺,🔄 轉虧為盈,752.94,0.0,⚪ 數據不足,2025-12,1.28,214.5,2025,334.57
22.27%,2243.TW,15.14%,13.199999999999998,-0.11,417.34999999999997,38.89,-10.45,宏旭-KY,🔄 轉虧為盈,408.33,25.000000000000007,⚠️ 追價風險,2025-12,1.22,22.0,2025,-9.02
42.12%,3167.TW,18.24%,264.15000000000003,5.45,379.12,790.16,119.15,大量,🚀 利潤擴張,474.47,42.93015332197614,⚠️ 追價風險,2025-12,8.13,756.0,2025,95.35
2.52%,1413.TW,0.23%,16.499999999999996,0.43,374.26,326.32,-6.34,宏洲,🧐 疑業外收益,364.71,8.663636120909093,💎 強力關注,2025-12,0.45,9.529999733,2025,-9.55
