eps_yoy,advice,gm,om,rev_yoy,prev_rev_yoy,prev_year,name,price,pe,prev_eps_yoy,est_price,expansion,status,prev_eps,eps,symbol,date
8050.0,⚠️ 追價風險,18.73%,8.07%,0.89,-8.85,2025,事欣科,98.3000030518,23.80145352343826,254.55,61.949999999999996,8049.11,🚀 利潤擴張,1.14,1.77,4916.TW,2025-12
6600.0,💎 強力關注,1.56%,-12.63%,16.55,23.87,2025,建漢,29.3500003815,4.681020794497607,1971.43,94.05,6583.45,🚀 利潤擴張,1.47,0.68,3062.TW,2025-12
3612.5,💎 強力關注,47.97%,18.04%,-12.89,-15.18,2025,日勝生,10.0,0.8849557522123893,1150.0,169.5,3625.39,🧐 疑業外收益,2.78,2.85,2547.TW,2025-12
3600.0,💎 強力關注,N/A,N/A,128.22,158.06,2025,台生材,38.5,9.322033898305085,1737.5,61.949999999999996,3471.78,🚀 利潤擴張,1.31,1.4,6649.TWO,2025-12
3072.73,⚠️ 追價風險,22.14%,8.52%,28.87,26.89,2025,景碩,609.0,80.44914134742405,221.54,113.55,3043.86,🚀 利潤擴張,2.1,3.51,3189.TW,2025-12
2500.0,💎 強力關注,N/A,N/A,27.32,36.66,2025,工信,10.6999998093,10.594059217128713,3600.0,15.15,2472.68,🚀 利潤擴張,0.37,0.52,5521.TW,2025-12
1562.0,💎 強力關注,-8.90%,-91.14%,-7.15,15.97,2025,永彰,28.6000003815,0.7477124282745097,3177.63,573.7500000000001,1569.15,🧐 疑業外收益,23.73,22.26,4523.TWO,2025-12
1502.33,💎 強力關注,34.83%,-28.70%,4.63,4.99,2025,大魯閣,16.4500007629,2.969314217129964,-125.0,83.1,1497.6999999999998,🔄 轉虧為盈,-0.36,6.03,1432.TW,2025-12
1500.0,⚠️ 追價風險,35.25%,7.09%,37.66,27.63,2025,科嶠,277.5,88.37579617834395,196.87,47.1,1462.34,🚀 利潤擴張,0.95,1.28,4542.TWO,2025-12
1276.65,💎 強力關注,24.80%,-95.04%,-30.75,-27.3,2025,上緯投控,126.0,3.432307273222555,-71.04,550.65,1307.4,🧐 疑業外收益,0.53,35.57,3708.TW,2025-12
1357.14,⚠️ 追價風險,9.90%,-0.59%,64.51,73.71,2025,聯光通,47.5499992371,28.6445778536747,173.33,24.9,1292.63,🚀 利潤擴張,0.82,1.02,4903.TWO,2025-12
1116.67,⚠️ 追價風險,29.01%,12.18%,40.69,46.55,2025,富喬,107.0,35.08196721311475,606.25,45.75000000000001,1075.98,🚀 利潤擴張,0.81,1.64,1815.TWO,2025-12
1105.15,✅ 穩健價值,N/A,N/A,56.24,53.98,2025,jpp-KY,410.0,14.472290857747971,1777.36,424.95,1048.91,🚀 利潤擴張,9.16,12.05,5284.TW,2025-12
1000.0,⚠️ 追價風險,N/A,N/A,-8.11,-10.59,2025,松普,11.5500001907,31.216216731621625,-45.45,5.55,1008.11,🧐 疑業外收益,0.06,0.11,5488.TWO,2025-12
981.25,💎 強力關注,9.91%,-0.28%,14.95,10.42,2025,精英,20.8500003815,4.343750079479166,1700.0,72.0,966.3,🚀 利潤擴張,1.44,1.41,2331.TW,2025-12
905.92,💎 強力關注,41.95%,-106.23%,-6.28,-4.5,2025,晟德,38.7000007629,2.365525719003667,810.64,245.39999999999998,912.1999999999999,🧐 疑業外收益,3.52,12.33,4123.TWO,2025-12
962.5,⚠️ 追價風險,N/A,N/A,55.8,38.48,2025,品安,56.9000015259,29.03061302341837,133.73,29.4,906.7,🚀 利潤擴張,0.28,1.7,8088.TWO,2025-12
921.74,⚠️ 追價風險,N/A,N/A,17.09,23.93,2025,凌華,127.0,28.798185941043084,357.63,66.15,904.65,🚀 利潤擴張,1.52,2.35,6166.TW,2025-12
876.92,💎 強力關注,16.87%,7.13%,32.89,34.59,2025,樂事綠能,21.0,7.266435986159171,977.78,43.349999999999994,844.03,🚀 利潤擴張,0.97,1.01,1529.TW,2025-12
830.77,✅ 穩健價值,N/A,N/A,-6.92,-8.99,2025,華東,49.1500015259,13.884181222005651,270.59,53.1,837.6899999999999,🧐 疑業外收益,1.29,2.48,8110.TW,2025-12
840.63,⚠️ 追價風險,N/A,N/A,24.44,18.82,2025,南電,934.0,207.0953436807095,2775.0,67.65,816.1899999999999,🚀 利潤擴張,1.15,3.01,8046.TW,2025-12
800.0,⚪ 數據不足,N/A,N/A,12.57,11.35,2025,合晶,69.9000015259,0.0,-350.0,0.0,787.43,🔄 轉虧為盈,-0.05,0.09,6182.TWO,2025-12
721.43,✅ 穩健價值,20.10%,-167.95%,-0.57,1.98,2025,泰豐,18.2999992371,12.119204792781453,-258.33,22.650000000000006,722.0,🔄 轉虧為盈,-2.22,6.28,2102.TW,2025-12
700.0,⚪ 數據不足,19.96%,4.40%,-5.37,-4.36,2025,如興,0.0,0.0,107.14,0.0,705.37,🧐 疑業外收益,0.02,0.68,4414.TW,2025-12
700.0,⚠️ 追價風險,26.03%,5.00%,10.91,7.39,2025,千如,53.0,212.0,250.0,3.75,689.09,🚀 利潤擴張,0.12,0.32,3236.TWO,2025-12
685.19,⚪ 中性觀察,23.42%,-5.65%,-3.39,-4.42,2025,中環,10.1999998093,21.249999602708325,-2.63,7.200000000000003,688.58,🧐 疑業外收益,0.37,1.58,2323.TW,2025-12
