代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
00981A.TW,主動統一台股增長,29.95,0,0,0,20260522,-740246,496939,1237185,-0.7x,5.38%,▲ 順勢追意
00992A.TW,主動群益科技創新,18.28,0,0,0,20260522,-390052,152288,542341,-0.4x,4.94%,▲ 順勢追意
2313.TW,華通,278.0,0,0,0,20260522,-143880,395598,539478,-2.7x,18.05%,▲ 順勢追意
5425.TWO,台半,87.1,0,0,0,20260522,-377901,134621,512523,-0.4x,20.97%,▲ 順勢追意
6116.TW,彩晶,11.85,0,0,0,20260522,-301397,166405,467802,-0.6x,15.61%,▲ 順勢追意
2489.TW,瑞軒,51.4,0,0,0,20260522,-1585,440351,441936,-277.7x,27.39%,▲ 順勢追意
2312.TW,金寶,33.1,0,0,0,20260522,94367,450258,355891,4.8x,18.85%,▲ 順勢追意
2324.TW,仁寶,31.5,0,0,0,20260522,-53575,230957,284532,-4.3x,9.95%,▲ 順勢追意
8112.TW,至上,86.2,0,0,0,20260522,-259416,9264,268681,-0.0x,5.64%,▲ 順勢追意
3714.TW,富采,81.4,0,0,0,20260522,-2605,263317,265922,-101.0x,21.13%,▲ 順勢追意
2377.TW,微星,124.0,0,0,0,20260522,-122420,138339,260759,-1.1x,10.71%,▲ 順勢追意
8096.TWO,擎亞,118.5,0,0,0,20260522,2633,248112,245479,94.2x,23.57%,▲ 順勢追意
3231.TW,緯創,144.5,0,0,0,20260522,-148558,89997,238556,-0.6x,6.64%,▲ 順勢追意
00631L.TW,元大台灣50正2,32.56,0,0,0,20260522,37468,263302,225833,7.0x,4.16%,▲ 順勢追意
4916.TW,事欣科,98.3,0,0,0,20260522,45263,236627,191364,5.2x,45.20%,▲ 順勢追意
3236.TWO,千如,53.0,0,0,0,20260522,-136429,49433,185863,-0.4x,36.25%,▲ 順勢追意
1802.TW,台玻,70.5,0,0,0,20260522,-42018,136646,178665,-3.3x,8.46%,▲ 順勢追意
9105.TW,泰金寶-DR,6.75,0,0,0,20260522,8228,185204,176975,22.5x,18.63%,▲ 順勢追意
00982A.TW,主動群益台灣強棒,22.64,0,0,0,20260522,-43155,122878,166033,-2.8x,3.33%,▲ 順勢追意
3673.TW,TPK-KY,77.0,0,0,0,20260522,-69000,81912,150913,-1.2x,19.01%,▲ 順勢追意
00988A.TW,主動統一全球創新,20.36,0,0,0,20260522,-102116,47891,150008,-0.5x,4.30%,▲ 順勢追意
6282.TW,康舒,57.4,0,0,0,20260522,135351,278308,142957,2.1x,15.73%,▲ 順勢追意
1717.TW,長興,83.0,0,0,0,20260522,111185,248265,137079,2.2x,5.46%,▲ 順勢追意
5328.TWO,華容,35.5,0,0,0,20260522,-40506,96016,136523,-2.4x,24.13%,▲ 順勢追意
6209.TW,今國光,85.8,0,0,0,20260522,-7694,127107,134801,-16.5x,28.06%,▲ 順勢追意
8358.TWO,金居,522.0,0,0,0,20260522,-113616,20373,133990,-0.2x,34.02%,▲ 順勢追意
4927.TW,泰鼎-KY,56.3,0,0,0,20260522,-12583,108464,121048,-8.6x,16.32%,▲ 順勢追意
1711.TW,永光,51.1,0,0,0,20260522,-102164,10540,112704,-0.1x,0.20%,★ 壓低偷買
