status,date,prev_rev_yoy,advice,prev_eps,eps,expansion,name,prev_year,pe,eps_yoy,rev_yoy,prev_eps_yoy,om,gm,price,symbol,est_price
🚀 利潤擴張,2025-12,-8.85,⚠️ 追價風險,1.14,1.77,8049.11,事欣科,2025,24.576271186440678,8050.0,0.89,254.55,8.07%,18.73%,101.5,4916.TW,61.949999999999996
🚀 利潤擴張,2025-12,23.87,💎 強力關注,1.47,0.68,6583.45,建漢,2025,4.984051036682616,6600.0,16.55,1971.43,-12.63%,1.56%,31.25,3062.TW,94.05
🧐 疑業外收益,2025-12,-15.18,💎 強力關注,2.78,2.85,3625.39,日勝生,2025,0.8769911369380531,3612.5,-12.89,1150.0,18.04%,47.97%,9.9099998474,2547.TW,169.5
🚀 利潤擴張,2025-12,158.06,💎 強力關注,1.31,1.4,3471.78,台生材,2025,9.322033898305085,3600.0,128.22,1737.5,N/A,N/A,38.5,6649.TWO,61.949999999999996
🚀 利潤擴張,2025-12,26.89,⚠️ 追價風險,2.1,3.51,3043.86,景碩,2025,88.37516512549539,3072.73,28.87,221.54,8.52%,22.14%,669.0,3189.TW,113.55
🚀 利潤擴張,2025-12,36.66,💎 強力關注,0.37,0.52,2472.68,工信,2025,10.247525130198019,2500.0,27.32,3600.0,N/A,N/A,10.3500003815,5521.TW,15.15
🧐 疑業外收益,2025-12,15.97,💎 強力關注,23.73,22.26,1569.15,永彰,2025,0.7555555455816992,1562.0,-7.15,3177.63,-91.14%,-8.90%,28.8999996185,4523.TWO,573.7500000000001
🔄 轉虧為盈,2025-12,4.99,💎 強力關注,-0.36,6.03,1497.6999999999998,大魯閣,2025,2.9602887398014444,1502.33,4.63,-125.0,-28.70%,34.83%,16.3999996185,1432.TW,83.1
🚀 利潤擴張,2025-12,27.63,⚠️ 追價風險,0.95,1.28,1462.34,科嶠,2025,84.39490445859872,1500.0,37.66,196.87,7.09%,35.25%,265.0,4542.TWO,47.1
🧐 疑業外收益,2025-12,-27.3,💎 強力關注,0.53,35.57,1307.4,上緯投控,2025,3.4050667393080905,1276.65,-30.75,-71.04,-95.04%,24.80%,125.0,3708.TW,550.65
🚀 利潤擴張,2025-12,73.71,⚠️ 追價風險,0.82,1.02,1292.63,聯光通,2025,28.343373034397594,1357.14,64.51,173.33,-0.59%,9.90%,47.0499992371,4903.TWO,24.9
🚀 利潤擴張,2025-12,46.55,⚠️ 追價風險,0.81,1.64,1075.98,富喬,2025,35.73770491803278,1116.67,40.69,606.25,12.18%,29.01%,109.0,1815.TWO,45.75000000000001
🚀 利潤擴張,2025-12,53.98,✅ 穩健價值,9.16,12.05,1048.91,jpp-KY,2025,14.419343452170844,1105.15,56.24,1777.36,N/A,N/A,408.5,5284.TW,424.95
🧐 疑業外收益,2025-12,-10.59,⚠️ 追價風險,0.06,0.11,1008.11,松普,2025,32.162161131081085,1000.0,-8.11,-45.45,N/A,N/A,11.8999996185,5488.TWO,5.55
🚀 利潤擴張,2025-12,10.42,💎 強力關注,1.44,1.41,966.3,精英,2025,4.5416665077291665,981.25,14.95,1700.0,-0.28%,9.91%,21.7999992371,2331.TW,72.0
🧐 疑業外收益,2025-12,-4.5,💎 強力關注,3.52,12.33,912.1999999999999,晟德,2025,2.316626010140587,905.92,-6.28,810.64,-106.23%,41.95%,37.9000015259,4123.TWO,245.39999999999998
🚀 利潤擴張,2025-12,38.48,⚠️ 追價風險,0.28,1.7,906.7,品安,2025,30.510203692397962,962.5,55.8,133.73,N/A,N/A,59.7999992371,8088.TWO,29.4
🚀 利潤擴張,2025-12,23.93,⚠️ 追價風險,1.52,2.35,904.65,凌華,2025,28.68480725623583,921.74,17.09,357.63,N/A,N/A,126.5,6166.TW,66.15
🚀 利潤擴張,2025-12,34.59,💎 強力關注,0.97,1.01,844.03,樂事綠能,2025,7.249135212076125,876.92,32.89,977.78,7.13%,16.87%,20.9500007629,1529.TW,43.349999999999994
🧐 疑業外收益,2025-12,-8.99,✅ 穩健價值,1.29,2.48,837.6899999999999,華東,2025,14.152541941836157,830.77,-6.92,270.59,N/A,N/A,50.0999984741,8110.TW,53.1
🚀 利潤擴張,2025-12,18.82,⚠️ 追價風險,1.15,3.01,816.1899999999999,南電,2025,196.00886917960085,840.63,24.44,2775.0,N/A,N/A,884.0,8046.TW,67.65
🔄 轉虧為盈,2025-12,11.35,⚪ 數據不足,-0.05,0.09,787.43,合晶,2025,0.0,800.0,12.57,-350.0,N/A,N/A,76.8000030518,6182.TWO,0.0
🔄 轉虧為盈,2025-12,1.98,💎 強力關注,-2.22,6.28,722.0,泰豐,2025,11.95364187887417,721.43,-0.57,-258.33,-167.95%,20.10%,18.0499992371,2102.TW,22.650000000000006
🧐 疑業外收益,2025-12,-4.36,⚪ 數據不足,0.02,0.68,705.37,如興,2025,0.0,700.0,-5.37,107.14,4.40%,19.96%,0.0,4414.TW,0.0
🚀 利潤擴張,2025-12,7.39,⚠️ 追價風險,0.12,0.32,689.09,千如,2025,233.1999969484,700.0,10.91,250.0,5.00%,26.03%,58.2999992371,3236.TWO,3.75
🧐 疑業外收益,2025-12,-4.42,⚠️ 追價風險,0.37,1.58,688.58,中環,2025,22.29166626937499,685.19,-3.39,-2.63,-5.65%,23.42%,10.6999998093,2323.TW,7.200000000000003
🔄 轉虧為盈,2025-12,140.24,⚪ 數據不足,-0.26,0.53,668.5600000000001,飛寶企業,2025,0.0,783.33,114.77,-966.67,6.14%,24.00%,17.2000007629,4413.TWO,-9.45
🚀 利潤擴張,2025-12,22.5,⚠️ 追價風險,0.28,0.38,656.01,欣厚-KY,2025,26.562499999999996,660.0,3.99,460.0,0.43%,27.32%,12.75,4924.TWO,7.2
🚀 利潤擴張,2025-12,14.66,✅ 穩健價值,0.48,0.36,603.24,歐格,2025,15.350877192982457,620.0,16.76,422.22,-11.28%,17.03%,17.5,3002.TW,17.099999999999998
🚀 利潤擴張,2025-12,-0.22,⚠️ 追價風險,0.12,0.88,567.37,華邦電,2025,558.6956521739131,576.92,9.55,-57.14,15.37%,41.86%,128.5,2344.TW,3.4499999999999997
🏰 高護城河,2025-12,24.16,⚠️ 追價風險,0.66,1.96,563.39,立萬利,2025,26.538461538461537,590.0,26.61,288.57,-188.65%,62.07%,69.0,3054.TW,39.0
🧐 疑業外收益,2025-12,-19.03,⚪ 數據不足,5.5,5.29,561.54,琉園,2025,0.0,544.54,-17.0,1270.21,N/A,N/A,0.0,9949.TWO,0.0
🔄 轉虧為盈,2025-12,-4.33,⚪ 數據不足,-0.38,0.18,549.9,康舒,2025,0.0,550.0,0.1,-90.0,N/A,N/A,63.0999984741,6282.TW,-13.950000000000003
