prev_eps,advice,om,status,symbol,eps_yoy,prev_rev_yoy,name,expansion,gm,prev_eps_yoy,pe,price,est_price,eps,rev_yoy,date,prev_year
1.14,⚠️ 追價風險,8.07%,🚀 利潤擴張,4916.TW,8050.0,-8.85,事欣科,8049.11,18.73%,254.55,24.33414043583535,100.5,61.949999999999996,1.77,0.89,2025-12,2025
1.47,💎 強力關注,-12.63%,🚀 利潤擴張,3062.TW,6600.0,23.87,建漢,6583.45,1.56%,1971.43,4.7926633551993625,30.0499992371,94.05,0.68,16.55,2025-12,2025
2.78,💎 強力關注,18.04%,🧐 疑業外收益,2547.TW,3612.5,-15.18,日勝生,3625.39,47.97%,1150.0,0.8840707762035398,9.9899997711,169.5,2.85,-12.89,2025-12,2025
1.31,💎 強力關注,N/A,🚀 利潤擴張,6649.TWO,3600.0,158.06,台生材,3471.78,N/A,1737.5,9.3704602331477,38.7000007629,61.949999999999996,1.4,128.22,2025-12,2025
2.1,⚠️ 追價風險,8.52%,🚀 利潤擴張,3189.TW,3072.73,26.89,景碩,3043.86,22.14%,221.54,91.94187582562749,696.0,113.55,3.51,28.87,2025-12,2025
0.37,💎 強力關注,N/A,🚀 利潤擴張,5521.TW,2500.0,36.66,工信,2472.68,N/A,3600.0,10.148514851485148,10.25,15.15,0.52,27.32,2025-12,2025
23.73,💎 強力關注,-91.14%,🧐 疑業外收益,4523.TWO,1562.0,15.97,永彰,1569.15,-8.90%,3177.63,0.7503268173307188,28.7000007629,573.7500000000001,22.26,-7.15,2025-12,2025
-0.36,💎 強力關注,-28.70%,🔄 轉虧為盈,1432.TW,1502.33,4.99,大魯閣,1497.6999999999998,34.83%,-125.0,2.9332129963898916,16.25,83.1,6.03,4.63,2025-12,2025
0.95,⚠️ 追價風險,7.09%,🚀 利潤擴張,4542.TWO,1500.0,27.63,科嶠,1462.34,35.25%,196.87,87.89808917197452,276.0,47.1,1.28,37.66,2025-12,2025
0.53,💎 強力關注,-95.04%,🧐 疑業外收益,3708.TW,1276.65,-27.3,上緯投控,1307.4,24.80%,-71.04,3.582130209752111,131.5,550.65,35.57,-30.75,2025-12,2025
0.82,⚠️ 追價風險,-0.59%,🚀 利潤擴張,4903.TWO,1357.14,73.71,聯光通,1292.63,9.90%,173.33,28.16265060240964,46.75,24.9,1.02,64.51,2025-12,2025
0.81,⚠️ 追價風險,12.18%,🚀 利潤擴張,1815.TWO,1116.67,46.55,富喬,1075.98,29.01%,606.25,35.40983606557377,108.0,45.75000000000001,1.64,40.69,2025-12,2025
9.16,✅ 穩健價值,N/A,🚀 利潤擴張,5284.TW,1105.15,53.98,jpp-KY,1048.91,N/A,1777.36,14.189904694669963,402.0,424.95,12.05,56.24,2025-12,2025
0.06,⚠️ 追價風險,N/A,🧐 疑業外收益,5488.TWO,1000.0,-10.59,松普,1008.11,N/A,-45.45,32.02702805810811,11.8500003815,5.55,0.11,-8.11,2025-12,2025
1.44,💎 強力關注,-0.28%,🚀 利潤擴張,2331.TW,981.25,10.42,精英,966.3,9.91%,1700.0,4.406249920520834,21.1499996185,72.0,1.41,14.95,2025-12,2025
3.52,💎 強力關注,-106.23%,🧐 疑業外收益,4123.TWO,905.92,-4.5,晟德,912.1999999999999,41.95%,810.64,2.3044010246271394,37.7000007629,245.39999999999998,12.33,-6.28,2025-12,2025
0.28,⚠️ 追價風險,N/A,🚀 利潤擴張,8088.TWO,962.5,38.48,品安,906.7,N/A,133.73,30.816327309132653,60.4000015259,29.4,1.7,55.8,2025-12,2025
1.52,⚠️ 追價風險,N/A,🚀 利潤擴張,6166.TW,921.74,23.93,凌華,904.65,N/A,357.63,30.158730158730158,133.0,66.15,2.35,17.09,2025-12,2025
0.97,💎 強力關注,7.13%,🚀 利潤擴張,1529.TW,876.92,34.59,樂事綠能,844.03,16.87%,977.78,7.456747140865053,21.5499992371,43.349999999999994,1.01,32.89,2025-12,2025
1.29,✅ 穩健價值,N/A,🧐 疑業外收益,8110.TW,830.77,-8.99,華東,837.6899999999999,N/A,270.59,15.564971320367231,55.0999984741,53.1,2.48,-6.92,2025-12,2025
1.15,⚠️ 追價風險,N/A,🚀 利潤擴張,8046.TW,840.63,18.82,南電,816.1899999999999,N/A,2775.0,204.43458980044343,922.0,67.65,3.01,24.44,2025-12,2025
-0.05,⚪ 數據不足,N/A,🔄 轉虧為盈,6182.TWO,800.0,11.35,合晶,787.43,N/A,-350.0,0.0,84.4000015259,0.0,0.09,12.57,2025-12,2025
-2.22,💎 強力關注,-167.95%,🔄 轉虧為盈,2102.TW,721.43,1.98,泰豐,722.0,20.10%,-258.33,11.98675521953642,18.1000003815,22.650000000000006,6.28,-0.57,2025-12,2025
0.02,⚪ 數據不足,4.40%,🧐 疑業外收益,4414.TW,700.0,-4.36,如興,705.37,19.96%,107.14,0.0,0.0,0.0,0.68,-5.37,2025-12,2025
0.12,⚠️ 追價風險,5.00%,🚀 利潤擴張,3236.TWO,700.0,7.39,千如,689.09,26.03%,250.0,232.8000030516,58.2000007629,3.75,0.32,10.91,2025-12,2025
0.37,⚪ 中性觀察,-5.65%,🧐 疑業外收益,2323.TW,685.19,-4.42,中環,688.58,23.42%,-2.63,21.249999602708325,10.1999998093,7.200000000000003,1.58,-3.39,2025-12,2025
-0.26,⚪ 數據不足,6.14%,🔄 轉虧為盈,4413.TWO,783.33,140.24,飛寶企業,668.5600000000001,24.00%,-966.67,0.0,17.0,-9.45,0.53,114.77,2025-12,2025
0.28,⚠️ 追價風險,0.43%,🚀 利潤擴張,4924.TWO,660.0,22.5,欣厚-KY,656.01,27.32%,460.0,25.625000397291664,12.3000001907,7.2,0.38,3.99,2025-12,2025
0.48,✅ 穩健價值,-11.28%,🚀 利潤擴張,3002.TW,620.0,14.66,歐格,603.24,17.03%,422.22,15.000000334649123,17.1000003815,17.099999999999998,0.36,16.76,2025-12,2025
0.12,⚠️ 追價風險,15.37%,🚀 利潤擴張,2344.TW,576.92,-0.22,華邦電,567.37,41.86%,-57.14,613.0434782608696,141.0,3.4499999999999997,0.88,9.55,2025-12,2025
0.66,⚠️ 追價風險,-188.65%,🏰 高護城河,3054.TW,590.0,24.16,立萬利,563.39,62.07%,288.57,26.269231943,68.3000030518,39.0,1.96,26.61,2025-12,2025
