id,name,price,signal,pnl,count,win_rate,reason
3081.TWO,聯亞,2925.0,🟡 預警 (⚡ 糾結噴發),188.16,7,71.43,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6515.TW,穎崴,8850.0,☁️ 觀望,187.85,7,85.71,[P:0.95/8.0] [📉 轉弱] 等待機會
2308.TW,台達電,2290.0,☁️ 觀望,174.2,6,66.67,[P:0.95/50.0] [🚀 極強] 等待機會
8046.TW,南電,884.0,☁️ 觀望,171.7,8,62.5,[P:0.95/8.0] [🚀 極強] 等待機會
6223.TWO,旺矽,6200.0,💎 持股,153.57,6,50.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3037.TW,欣興,990.0,☁️ 觀望,125.96,7,57.14,[P:0.95/50.0] [🚀 極強] 等待機會
3131.TWO,弘塑,2920.0,☁️ 觀望,115.72,5,60.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6640.TWO,均華,1470.0,🟡 預警 (🚀 動能初現),111.88,6,66.67,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.2%)
3189.TW,景碩,669.0,💎 持股,100.38,8,62.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6187.TWO,萬潤,1210.0,🟡 預警 (🚀 動能初現),88.82,7,57.14,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.9%)
3363.TWO,上詮,846.0,🟡 預警 (⚡ 糾結噴發),83.81,8,50.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
2345.TW,智邦,2540.0,🟡 預警 (⚡ 糾結噴發),71.23,8,37.5,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
2330.TW,台積電,2310.0,🟡 預警 (⚡ 糾結噴發),60.62,7,71.43,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
3055.TW,蔚華科,118.0,💎 持股,59.36,8,62.5,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3583.TW,辛耘,916.0,💎 持股,54.99,8,50.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
4979.TWO,華星光,655.0,☁️ 觀望,51.67,11,36.36,[P:0.95/8.0] [🚀 極強] 等待機會
3481.TW,群創,49.0999984741,🚀 持股,36.67,7,57.14,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
3450.TW,聯鈞,501.0,🚀 持股,11.55,7,42.86,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
6451.TW,訊芯-KY,576.0,🚀 持股,4.13,7,28.57,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
2482.TW,連宇,16.8500003815,🟡 預警 (⚡ 糾結噴發),-44.5,8,0.0,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
