Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
00403A.TW,主動統一升級50,20260527,10.78,-1940034,1314391,3254425,-0.7x,11.59%,▲ 順勢追意
6770.TW,力積電,20260527,74.8,467103,2283898,1816795,4.9x,29.41%,▲ 順勢追意
2344.TW,華邦電,20260527,155.0,83107,1227942,1144835,14.8x,34.20%,▲ 順勢追意
00981A.TW,主動統一台股增長,20260527,31.96,-258627,553905,812533,-2.1x,17.37%,▲ 順勢追意
2324.TW,仁寶,20260527,33.4,-178133,546112,724245,-3.1x,21.01%,▲ 順勢追意
6182.TWO,合晶,20260527,90.2,10085,664858,654772,65.9x,55.79%,▲ 順勢追意
2312.TW,金寶,20260527,37.35,37,604906,604868,16048.4x,31.98%,▲ 順勢追意
3481.TW,群創,20260527,50.2,-2654797,-2075053,579743,0.8x,35.86%,無
00992A.TW,主動群益科技創新,20260527,18.75,-100037,457984,558021,-4.6x,12.41%,▲ 順勢追意
1802.TW,台玻,20260527,72.8,-79239,427746,506986,-5.4x,13.93%,▲ 順勢追意
2303.TW,聯電,20260527,143.5,-193434,300928,494362,-1.6x,32.87%,▲ 順勢追意
2489.TW,瑞軒,20260527,50.7,32072,409496,377423,12.8x,19.15%,▲ 順勢追意
1717.TW,長興,20260527,84.5,-61420,303656,365076,-4.9x,16.23%,▲ 順勢追意
6282.TW,康舒,20260527,59.4,-1139,358818,359958,-314.9x,16.93%,▲ 順勢追意
2369.TW,菱生,20260527,40.15,-6498,320519,327017,-49.3x,39.17%,▲ 順勢追意
00999A.TW,主動野村臺灣高息,20260527,10.75,21766,325450,303683,15.0x,7.61%,▲ 順勢追意
9105.TW,泰金寶-DR,20260527,8.56,3864,280338,276473,72.5x,53.13%,▲ 順勢追意
2408.TW,南亞科,20260527,312.0,-188296,52456,240752,-0.3x,13.45%,▲ 順勢追意
4958.TW,臻鼎-KY,20260527,532.0,-92819,144959,237779,-1.6x,21.18%,▲ 順勢追意
4927.TW,泰鼎-KY,20260527,58.6,-19213,214329,233543,-11.2x,22.85%,▲ 順勢追意
3236.TWO,千如,20260527,56.9,-135222,85912,221134,-0.6x,29.61%,▲ 順勢追意
2377.TW,微星,20260527,126.5,-202629,17902,220531,-0.1x,15.53%,▲ 順勢追意
00631L.TW,元大台灣50正2,20260527,35.73,-25903,191467,217371,-7.4x,21.08%,▲ 順勢追意
3211.TWO,順達,20260527,464.0,-5591,202377,207969,-36.2x,33.72%,▲ 順勢追意
2449.TW,京元電子,20260527,315.5,-59128,136009,195138,-2.3x,13.69%,▲ 順勢追意
3231.TW,緯創,20260527,145.0,-44827,123847,168675,-2.8x,9.43%,▲ 順勢追意
1303.TW,南亞,20260527,95.5,-32913,134601,167514,-4.1x,18.19%,▲ 順勢追意
3105.TWO,穩懋,20260527,560.0,-114336,49813,164150,-0.4x,25.42%,▲ 順勢追意
2399.TW,映泰,20260527,48.0,-76196,64417,140614,-0.8x,13.74%,▲ 順勢追意
009816.TW,凱基台灣TOP50,20260527,15.15,-64927,67936,132863,-1.0x,13.57%,▲ 順勢追意
