id,name,price,signal,pnl,count,win_rate,reason
1711.TW,永光,51.0,☁️ 觀望,92.5,7,57.14,[P:0.95/8.0] [📉 轉弱] 等待機會
3576.TW,聯合再生,19.1000003815,💎 持股,88.23,7,57.14,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
1717.TW,長興,84.5,☁️ 觀望,76.3,7,28.57,[P:0.95/50.0] [🚀 極強] 等待機會
6443.TW,元晶,41.0499992371,💎 持股,66.54,7,42.86,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6196.TW,帆宣,500.0,💎 持股,65.32,9,55.56,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3691.TWO,碩禾,155.5,💎 持股,54.96,6,83.33,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6208.TWO,日揚,93.0,🚀 持股,32.15,7,42.86,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
5443.TWO,均豪,126.5,🟡 預警 (⚡ 糾結噴發),27.19,6,50.0,[P:0.95/50.0] [📈 穩定] 均線糾結且短均線轉強
6244.TWO,茂迪,29.3500003815,☁️ 觀望,13.93,6,33.33,[P:0.95/8.0] [📈 穩定] 等待機會
5234.TW,達興材料,426.0,☁️ 觀望,11.64,6,16.67,[P:0.95/8.0] [📉 轉弱] 等待機會
