代號,名稱,收盤價,狀態,上週估計買入量,這週估計買入量,淨增 (動能加速度),增長倍數,5D股價漲跌,自營商買賣超,投信買賣超,外資主力買賣超
6770.TW,力積電,88.7,🔥 強力噴發,387790,3801718,3413927.45,9.8x,39.03%,10467,15,120689
2337.TW,旺宏,166.5,▲ 順勢追意,-332429,687698,1020127.63,轉買進,11.37%,665,-147,81634
8150.TW,南茂,113.0,▲ 順勢追意,-118042,223049,341092.38,轉買進,42.86%,-116,405,7028
8027.TWO,鈦昇,258.5,▲ 順勢追意,-179279,1208,180487.86,轉買進,5.73%,-4,0,151
6239.TW,力成,379.0,▲ 順勢追意,-30785,112075,142861.33,轉買進,33.92%,122,-1044,9559
6207.TWO,雷科,111.5,▲ 順勢追意,-32748,49581,82329.3,轉買進,24.03%,3,0,-1762
6548.TWO,長科*,68.2,▲ 順勢追意,1188,61032,59844.04,51.3x,31.41%,-90,-582,6950
8043.TWO,蜜望實,141.0,▲ 順勢追意,-62332,-14462,47869.49,0.2x,8.05%,-7,0,571
6290.TWO,良維,347.0,▲ 順勢追意,-3161,41521,44683.19,轉買進,24.82%,-211,0,1979
8064.TWO,東捷,143.0,▲ 順勢追意,-39172,-10791,28381.63,0.3x,7.92%,-112,0,-1859
6531.TW,愛普*,1190.0,▲ 順勢追意,-14874,3596,18470.65,轉買進,23.57%,-17,550,347
6224.TW,聚鼎,95.0,🔥 強力噴發,-8744,7983,16728.21,轉買進,10.34%,25,0,1164
8261.TW,富鼎,181.0,★ 壓低偷買,-2721,13805,16527.11,轉買進,13.13%,-18,0,-751
8131.TW,福懋科,73.5,🔥 強力噴發,-27,15874,15902.19,轉買進,13.60%,115,0,1649
6411.TWO,晶焱,110.0,▲ 順勢追意,-3144,10522,13667.68,轉買進,15.91%,38,0,1267
8255.TWO,朋程,199.5,▲ 順勢追意,-5902,7515,13418.0,轉買進,27.07%,79,0,199
8070.TW,長華*,52.5,▲ 順勢追意,-1975,10887,12863.44,轉買進,16.93%,-86,-65,1374
6215.TW,和椿,127.5,★ 壓低偷買,-18448,-5588,12860.73,0.3x,-5.20%,-25,0,258
6244.TWO,茂迪,30.05,▲ 順勢追意,4646,16803,12157.65,3.6x,2.21%,295,0,3940
6761.TWO,穩得,217.0,★ 壓低偷買,233,11020,10787.5,47.2x,7.69%,6,0,67
6217.TWO,中探針,289.5,▲ 順勢追意,-9265,511,9777.1,轉買進,6.43%,31,0,-42
8936.TWO,國統,52.4,🔥 強力噴發,-2792,6642,9435.05,轉買進,4.38%,-2,-16,2264
8163.TW,達方,39.3,▲ 順勢追意,-4225,4955,9180.57,轉買進,10.24%,-4,0,1062
8926.TW,台汽電,66.6,★ 壓低偷買,-6470,1085,7555.34,轉買進,9.36%,-15,0,-2085
6442.TW,光聖,1845.0,★ 壓低偷買,-5750,1717,7467.99,轉買進,-1.60%,-25,-159,-81
8033.TW,雷虎,143.0,🔥 強力噴發,-6590,664,7255.59,轉買進,3.62%,-33,0,-33
8071.TWO,能率網通,21.3,🔥 強力噴發,-6047,216,6263.4,轉買進,6.23%,1,0,-10
6805.TW,富世達,1930.0,▲ 順勢追意,-471,4496,4967.46,轉買進,7.52%,11,-388,534
7777.TWO,能率亞洲,41.65,▲ 順勢追意,-61,4574,4635.71,轉買進,20.90%,131,0,1600
6862.TW,三集瑞-KY,224.5,▲ 順勢追意,1991,6203,4211.91,3.1x,18.78%,100,0,726
6538.TWO,倉和,123.5,★ 壓低偷買,-3250,812,4062.29,轉買進,-3.14%,-33,0,108
6206.TW,飛捷,137.5,★ 壓低偷買,-134,3846,3980.97,轉買進,-1.79%,18,-7,368
6903.TWO,巨漢,397.0,★ 壓低偷買,204,4158,3953.87,20.4x,1.15%,-25,0,-176
8016.TW,矽創,306.0,▲ 順勢追意,-2146,1791,3937.61,轉買進,4.79%,-36,-10,-1
8271.TW,宇瞻,245.5,▲ 順勢追意,-2683,1192,3876.17,轉買進,9.35%,40,0,898
8234.TWO,新漢,71.9,▲ 順勢追意,-3457,330,3788.6,轉買進,2.42%,-17,0,-219
6550.TW,北極星藥業-KY,13.5,★ 壓低偷買,-304,3462,3766.26,轉買進,-16.92%,-26,0,283
8104.TW,錸寶,41.15,▲ 順勢追意,777,4398,3620.75,5.7x,16.24%,51,0,345
2330.TW,台積電,2355.0,▲ 順勢追意,-4401,-990,3410.71,0.2x,4.43%,466,465,-7079
8249.TW,菱光,55.8,▲ 順勢追意,-3605,-275,3330.43,0.1x,5.68%,-9,0,28
7788.TW,松川精密,191.0,▲ 順勢追意,-881,2375,3257.45,轉買進,-0.78%,37,0,-57
6658.TW,聯策,220.0,★ 壓低偷買,-5168,-2132,3036.03,0.4x,13.99%,3,0,-218
6667.TWO,信紘科,287.0,▲ 順勢追意,-63,2897,2960.27,轉買進,12.11%,57,0,518
6693.TWO,廣閎科,148.5,★ 壓低偷買,-132,2643,2775.57,轉買進,1.71%,11,0,305
6532.TWO,瑞耘,98.7,★ 壓低偷買,-3412,-690,2721.69,0.2x,-3.24%,0,0,80
8932.TWO,智通*,100.5,★ 壓低偷買,-1924,504,2428.75,轉買進,-0.50%,-58,0,-276
9958.TW,世紀鋼,103.5,★ 壓低偷買,-1520,893,2414.06,轉買進,1.97%,10,0,259
6716.TWO,應廣,107.0,★ 壓低偷買,192,2338,2145.77,12.1x,5.42%,9,0,50
8081.TW,致新,283.0,★ 壓低偷買,-2320,-389,1931.49,0.2x,1.25%,-4,13,-168
6446.TW,藥華藥,930.0,▲ 順勢追意,280,2139,1858.73,7.6x,14.81%,-27,7,438
6491.TW,晶碩,321.5,▲ 順勢追意,-520,1329,1850.3,轉買進,4.38%,-6,0,19
8044.TWO,網家,29.0,▲ 順勢追意,-1689,16,1705.69,轉買進,0.35%,2,0,68
8390.TWO,金益鼎,121.5,▲ 順勢追意,20,1689,1668.21,80.5x,1.25%,0,0,408
8054.TWO,安國,102.5,★ 壓低偷買,7070,8696,1625.75,1.2x,-8.07%,45,0,99
9945.TW,潤泰新,23.3,▲ 順勢追意,-2801,-1197,1604.45,0.4x,0.00%,21,0,855
6664.TWO,群翊,436.0,★ 壓低偷買,604,2160,1556.21,3.6x,0.81%,39,0,101
8383.TWO,千附,60.6,★ 壓低偷買,-557,976,1533.66,轉買進,2.19%,3,0,230
6552.TW,易華電,34.75,★ 壓低偷買,344,1787,1443.33,5.2x,10.14%,0,0,117
6435.TWO,大中,287.5,▲ 順勢追意,242,1640,1398.16,6.8x,24.46%,-3,0,-192
6405.TW,悅城,79.8,▲ 順勢追意,-110,1081,1192.12,轉買進,27.07%,-9,0,163
6603.TWO,富強鑫,25.55,▲ 順勢追意,-270,890,1161.5,轉買進,14.06%,-1,0,589
6877.TWO,鏵友益,164.0,★ 壓低偷買,-1368,-265,1103.19,0.2x,7.54%,0,0,-10
9136.TW,巨騰-DR,11.1,★ 壓低偷買,-908,174,1083.01,轉買進,1.37%,0,0,-188
7740.TW,熙特爾-創,185.0,▲ 順勢追意,-22,1004,1026.88,轉買進,1.37%,-2,0,494
6275.TWO,元山,49.2,▲ 順勢追意,-1097,-73,1024.59,0.1x,1.23%,-2,0,60
6589.TW,台康生技,42.15,▲ 順勢追意,-2170,-1149,1021.58,0.5x,-3.55%,3,0,-78
6588.TWO,東典光電,112.5,★ 壓低偷買,-545,442,988.55,轉買進,-13.79%,0,0,143
6913.TWO,鴻呈,141.0,★ 壓低偷買,216,1163,946.72,5.4x,0.71%,-8,0,73
6469.TWO,大樹,71.4,▲ 順勢追意,-816,73,889.84,轉買進,-0.14%,0,0,224
6596.TWO,寬宏藝術,96.0,★ 壓低偷買,-923,-37,886.49,0.0x,-2.04%,3,0,-31
8155.TWO,博智,399.0,★ 壓低偷買,-553,293,846.99,轉買進,-3.51%,-78,0,-69
6679.TWO,鈺太,314.5,★ 壓低偷買,-407,428,835.37,轉買進,-4.45%,-52,0,-68
6451.TW,訊芯-KY,570.0,★ 壓低偷買,3879,4693,813.82,1.2x,8.78%,-13,0,173
8109.TWO,博大,125.5,▲ 順勢追意,-757,34,792.72,轉買進,0.40%,3,0,18
6753.TW,龍德造船,128.5,▲ 順勢追意,-1439,-660,779.05,0.5x,1.58%,-4,0,-2
9914.TW,美利達,66.7,▲ 順勢追意,-1244,-470,773.62,0.4x,-1.62%,0,0,33
8438.TW,昶昕,86.2,★ 壓低偷買,-984,-228,755.57,0.2x,-6.81%,-33,0,-115
6419.TWO,京晨科,140.5,★ 壓低偷買,-2738,-1983,755.24,0.7x,-11.91%,0,0,52
8213.TW,志超,39.0,★ 壓低偷買,69,798,728.95,11.4x,1.17%,-7,0,-210
6781.TW,AES-KY,1160.0,★ 壓低偷買,175,863,687.47,4.9x,-4.13%,-14,0,47
8454.TW,富邦媒,231.0,▲ 順勢追意,-397,250,648.67,轉買進,20.63%,51,-22,256
6515.TW,穎崴,8665.0,★ 壓低偷買,-243,388,632.21,轉買進,-0.40%,-62,-120,40
6218.TWO,豪勉,39.0,★ 壓低偷買,-869,-249,619.88,0.3x,-2.50%,-16,0,-292
6691.TW,洋基工程,650.0,★ 壓低偷買,-59,552,611.35,轉買進,3.50%,-60,0,-239
6546.TWO,正基,84.5,▲ 順勢追意,2265,2856,590.77,1.3x,7.10%,18,0,275
6861.TW,睿生光電,440.0,▲ 順勢追意,-546,-12,534.16,0.0x,-2.00%,0,0,-283
6409.TW,旭隼,709.0,▲ 順勢追意,-539,-46,493.02,0.1x,4.73%,-20,-1,-52
6438.TW,迅得,175.0,▲ 順勢追意,596,1086,489.62,1.8x,3.55%,13,0,205
