代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,自營商,投信,外資,狀態
6770.TW,力積電,20260529,88.7,387790,3801718,3413927,9.8x,39.03%,10467,15,120689,▲ 順勢追意
2337.TW,旺宏,20260529,166.5,-332429,687698,1020127,新進/轉買,11.37%,665,-147,81634,▲ 順勢追意
8150.TW,南茂,20260529,113.0,-118042,223049,341092,新進/轉買,42.86%,-116,405,7028,▲ 順勢追意
8027.TWO,鈦昇,20260529,258.5,-179279,1208,180487,新進/轉買,5.73%,-4,0,151,▲ 順勢追意
6239.TW,力成,20260529,379.0,-30785,112075,142861,新進/轉買,33.92%,122,-1044,9559,▲ 順勢追意
6207.TWO,雷科,20260529,111.5,-32748,49581,82329,新進/轉買,24.03%,3,0,-1762,▲ 順勢追意
6548.TWO,長科*,20260529,68.2,1188,61032,59844,51.3x,31.41%,-90,-582,6950,▲ 順勢追意
6290.TWO,良維,20260529,347.0,-3161,41521,44683,新進/轉買,24.82%,-211,0,1979,▲ 順勢追意
6531.TW,愛普*,20260529,1190.0,-14874,3596,18470,新進/轉買,23.57%,-17,550,347,▲ 順勢追意
6224.TW,聚鼎,20260529,95.0,-8744,7983,16728,新進/轉買,10.34%,25,0,1164,▲ 順勢追意
8261.TW,富鼎,20260529,181.0,-2721,13805,16527,新進/轉買,13.13%,-18,0,-751,★ 壓低偷買
8131.TW,福懋科,20260529,73.5,-27,15874,15902,新進/轉買,13.60%,115,0,1649,▲ 順勢追意
6411.TWO,晶焱,20260529,110.0,-3144,10522,13667,新進/轉買,15.91%,38,0,1267,▲ 順勢追意
8255.TWO,朋程,20260529,199.5,-5902,7515,13418,新進/轉買,27.07%,79,0,199,▲ 順勢追意
8070.TW,長華*,20260529,52.5,-1975,10887,12863,新進/轉買,16.93%,-86,-65,1374,▲ 順勢追意
6244.TWO,茂迪,20260529,30.05,4646,16803,12157,3.6x,2.21%,295,0,3940,▲ 順勢追意
6761.TWO,穩得,20260529,217.0,233,11020,10787,47.2x,7.69%,6,0,67,★ 壓低偷買
6217.TWO,中探針,20260529,289.5,-9265,511,9777,新進/轉買,6.43%,31,0,-42,▲ 順勢追意
8936.TWO,國統,20260529,52.4,-2792,6642,9435,新進/轉買,4.38%,-2,-16,2264,▲ 順勢追意
8163.TW,達方,20260529,39.3,-4225,4955,9180,新進/轉買,10.24%,-4,0,1062,▲ 順勢追意
8926.TW,台汽電,20260529,66.6,-6470,1085,7555,新進/轉買,9.36%,-15,0,-2085,★ 壓低偷買
6442.TW,光聖,20260529,1845.0,-5750,1717,7467,新進/轉買,-1.60%,-25,-159,-81,★ 壓低偷買
8033.TW,雷虎,20260529,143.0,-6590,664,7255,新進/轉買,3.62%,-33,0,-33,▲ 順勢追意
8071.TWO,能率網通,20260529,21.3,-6047,216,6263,新進/轉買,6.23%,1,0,-10,▲ 順勢追意
6805.TW,富世達,20260529,1930.0,-471,4496,4967,新進/轉買,7.52%,11,-388,534,▲ 順勢追意
7777.TWO,能率亞洲,20260529,41.65,-61,4574,4635,新進/轉買,20.90%,131,0,1600,▲ 順勢追意
6862.TW,三集瑞-KY,20260529,224.5,1991,6203,4211,3.1x,18.78%,100,0,726,▲ 順勢追意
6538.TWO,倉和,20260529,123.5,-3250,812,4062,新進/轉買,-3.14%,-33,0,108,★ 壓低偷買
6206.TW,飛捷,20260529,137.5,-134,3846,3980,新進/轉買,-1.79%,18,-7,368,★ 壓低偷買
6903.TWO,巨漢,20260529,397.0,204,4158,3953,20.4x,1.15%,-25,0,-176,★ 壓低偷買
8016.TW,矽創,20260529,306.0,-2146,1791,3937,新進/轉買,4.79%,-36,-10,-1,▲ 順勢追意
8271.TW,宇瞻,20260529,245.5,-2683,1192,3876,新進/轉買,9.35%,40,0,898,▲ 順勢追意
8234.TWO,新漢,20260529,71.9,-3457,330,3788,新進/轉買,2.42%,-17,0,-219,▲ 順勢追意
6550.TW,北極星藥業-KY,20260529,13.5,-304,3462,3766,新進/轉買,-16.92%,-26,0,283,★ 壓低偷買
8104.TW,錸寶,20260529,41.15,777,4398,3620,5.7x,16.24%,51,0,345,▲ 順勢追意
7788.TW,松川精密,20260529,191.0,-881,2375,3257,新進/轉買,-0.78%,37,0,-57,▲ 順勢追意
6667.TWO,信紘科,20260529,287.0,-63,2897,2960,新進/轉買,12.11%,57,0,518,▲ 順勢追意
6693.TWO,廣閎科,20260529,148.5,-132,2643,2775,新進/轉買,1.71%,11,0,305,★ 壓低偷買
8932.TWO,智通*,20260529,100.5,-1924,504,2428,新進/轉買,-0.50%,-58,0,-276,★ 壓低偷買
9958.TW,世紀鋼,20260529,103.5,-1520,893,2414,新進/轉買,1.97%,10,0,259,★ 壓低偷買
6716.TWO,應廣,20260529,107.0,192,2338,2145,12.1x,5.42%,9,0,50,★ 壓低偷買
6446.TW,藥華藥,20260529,930.0,280,2139,1858,7.6x,14.81%,-27,7,438,▲ 順勢追意
6491.TW,晶碩,20260529,321.5,-520,1329,1850,新進/轉買,4.38%,-6,0,19,▲ 順勢追意
8044.TWO,網家,20260529,29.0,-1689,16,1705,新進/轉買,0.35%,2,0,68,▲ 順勢追意
8390.TWO,金益鼎,20260529,121.5,20,1689,1668,80.5x,1.25%,0,0,408,▲ 順勢追意
8054.TWO,安國,20260529,102.5,7070,8696,1625,1.2x,-8.07%,45,0,99,★ 壓低偷買
6664.TWO,群翊,20260529,436.0,604,2160,1556,3.6x,0.81%,39,0,101,★ 壓低偷買
8383.TWO,千附,20260529,60.6,-557,976,1533,新進/轉買,2.19%,3,0,230,★ 壓低偷買
6552.TW,易華電,20260529,34.75,344,1787,1443,5.2x,10.14%,0,0,117,★ 壓低偷買
6435.TWO,大中,20260529,287.5,242,1640,1398,6.8x,24.46%,-3,0,-192,▲ 順勢追意
