eps,price,prev_year,est_price,expansion,eps_yoy,pe,name,gm,om,rev_yoy,date,advice,prev_eps,prev_eps_yoy,symbol,prev_rev_yoy,status
1.77,119.0,2025,61.949999999999996,8049.11,8050.0,28.8135593220339,事欣科,18.73%,8.07%,0.89,2025-12,⚠️ 追價風險,1.14,254.55,4916.TW,-8.85,🚀 利潤擴張
0.68,31.1000003815,2025,94.05,6583.45,6600.0,4.960127652551835,建漢,1.56%,-12.63%,16.55,2025-12,💎 強力關注,1.47,1971.43,3062.TW,23.87,🚀 利潤擴張
2.85,9.9200000763,2025,169.5,3625.39,3612.5,0.8778761129469025,日勝生,47.97%,18.04%,-12.89,2025-12,💎 強力關注,2.78,1150.0,2547.TW,-15.18,🧐 疑業外收益
1.4,38.0499992371,2025,61.949999999999996,3471.78,3600.0,9.21307487581114,台生材,N/A,N/A,128.22,2025-12,💎 強力關注,1.31,1737.5,6649.TWO,158.06,🚀 利潤擴張
3.51,774.0,2025,113.55,3043.86,3072.73,102.24570673712022,景碩,22.14%,8.52%,28.87,2025-12,⚠️ 追價風險,2.1,221.54,3189.TW,26.89,🚀 利潤擴張
0.52,10.1999998093,2025,15.15,2472.68,2500.0,10.099009712178217,工信,N/A,N/A,27.32,2025-12,💎 強力關注,0.37,3600.0,5521.TW,36.66,🚀 利潤擴張
22.26,30.2000007629,2025,573.7500000000001,1569.15,1562.0,0.7895425036052286,永彰,-8.90%,-91.14%,-7.15,2025-12,💎 強力關注,23.73,3177.63,4523.TWO,15.97,🧐 疑業外收益
6.03,16.7999992371,2025,83.1,1497.6999999999998,1502.33,3.0324908370216606,大魯閣,34.83%,-28.70%,4.63,2025-12,💎 強力關注,-0.36,-125.0,1432.TW,4.99,🔄 轉虧為盈
1.28,262.0,2025,47.1,1462.34,1500.0,83.43949044585987,科嶠,35.25%,7.09%,37.66,2025-12,⚠️ 追價風險,0.95,196.87,4542.TWO,27.63,🚀 利潤擴張
35.57,119.0,2025,550.65,1307.4,1276.65,3.241623535821302,上緯投控,24.80%,-95.04%,-30.75,2025-12,💎 強力關注,0.53,-71.04,3708.TW,-27.3,🧐 疑業外收益
1.02,44.4000015259,2025,24.9,1292.63,1357.14,26.746988871024097,聯光通,9.90%,-0.59%,64.51,2025-12,⚠️ 追價風險,0.82,173.33,4903.TWO,73.71,🚀 利潤擴張
1.64,109.0,2025,45.75000000000001,1075.98,1116.67,35.73770491803278,富喬,29.01%,12.18%,40.69,2025-12,⚠️ 追價風險,0.81,606.25,1815.TWO,46.55,🚀 利潤擴張
12.05,446.5,2025,424.95,1048.91,1105.15,15.760677726791387,jpp-KY,N/A,N/A,56.24,2025-12,✅ 穩健價值,9.16,1777.36,5284.TW,53.98,🚀 利潤擴張
0.11,13.3999996185,2025,5.55,1008.11,1000.0,36.21621518513514,松普,N/A,N/A,-8.11,2025-12,⚠️ 追價風險,0.06,-45.45,5488.TWO,-10.59,🧐 疑業外收益
1.41,24.3999996185,2025,72.0,966.3,981.25,5.083333253854167,精英,9.91%,-0.28%,14.95,2025-12,💎 強力關注,1.44,1700.0,2331.TW,10.42,🚀 利潤擴張
