id,name,price,signal,pnl,count,win_rate,reason
2344.TW,華邦電,168.0,💎 持股,246.07,8,62.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2408.TW,南亞科,381.5,💎 持股,241.15,7,100.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3026.TW,禾伸堂,672.0,🚀 持股,192.91,7,85.71,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
2327.TW,國巨*,790.0,💎 持股,186.54,7,57.14,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2308.TW,台達電,2420.0,🚀 持股,169.17,7,57.14,[🚀 爆發 5D30%] [P:0.95/8.0] [📈 穩定] 趨勢維持
2492.TW,華新科,416.0,💎 持股,130.12,10,30.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3260.TWO,威剛,427.0,☁️ 觀望,126.45,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
8271.TW,宇瞻,248.5,🟡 預警 (⚡ 糾結噴發),122.19,7,71.43,[P:0.95/50.0] [🚀 極強] 均線糾結且短均線轉強
2337.TW,旺宏,167.5,☁️ 觀望,118.09,8,50.0,[P:0.95/8.0] [🚀 極強] 等待機會
4967.TW,十銓,289.0,🟡 預警 (🚀 動能初現),92.15,6,33.33,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.2%)
3264.TWO,欣銓,223.0,☁️ 觀望,67.59,10,40.0,[P:0.95/8.0] [📈 穩定] 等待機會
2478.TW,大毅,144.0,☁️ 觀望,49.55,8,37.5,[P:0.95/50.0] [🚀 極強] 等待機會
3006.TW,晶豪科,250.0,☁️ 觀望,45.25,8,50.0,[P:0.95/50.0] [🚀 極強] 等待機會
3357.TWO,臺慶科,284.5,💎 持股,23.63,7,42.86,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6127.TWO,九豪,74.0,💎 持股,14.96,9,33.33,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
