=== 殖利率掃描報告 (20260603) ===
基準條件: 10日新高 或 歷史分位 > 80%
--------------------------------------------------
[🔥 10日新高] 2548.TW: 8.42% (歷史分位: 100.0%)
[🔥 10日新高] 3158.TWO: 7.73% (歷史分位: 100.0%)
[🔥 10日新高] 2941.TWO: 7.48% (歷史分位: 79.5%)
[🔥 10日新高] 5534.TW: 7.47% (歷史分位: 98.7%)
[🔥 10日新高] 8924.TWO: 7.31% (歷史分位: 100.0%)
[🔥 10日新高] 4527.TWO: 7.19% (歷史分位: 34.0%)
[🔥 10日新高] 7760.TW: 6.98% (歷史分位: 100.0%)
[🔥 10日新高] 5604.TWO: 6.51% (歷史分位: 100.0%)
[🔥 10日新高] 1215.TW: 6.14% (歷史分位: 100.0%)
[🔥 10日新高] 8487.TW: 6.14% (歷史分位: 29.3%)
[🔥 10日新高] 1264.TWO: 5.63% (歷史分位: 100.0%)
[🔥 10日新高] 5236.TWO: 5.33% (歷史分位: 6.4%)
[🔥 10日新高] 6967.TWO: 5.31% (歷史分位: 92.9%)
[🔥 10日新高] 6534.TW: 5.25% (歷史分位: 88.0%)
[🔥 10日新高] 4439.TW: 4.43% (歷史分位: 88.0%)
[🔥 10日新高] 6968.TWO: 3.54% (歷史分位: 100.0%)
[🔥 10日新高] 8941.TWO: 3.45% (歷史分位: 33.3%)
[🔥 10日新高] 4571.TW: 2.72% (歷史分位: 11.3%)
[🔥 10日新高] 6261.TWO: 2.37% (歷史分位: 12.2%)
[🔥 10日新高] 6208.TWO: 2.21% (歷史分位: 9.0%)
[🔥 10日新高] 6642.TWO: 2.16% (歷史分位: 6.4%)
[🔥 10日新高] 4413.TWO: 1.81% (歷史分位: 100.0%)
[🔥 10日新高] 5234.TW: 1.63% (歷史分位: 80.9%)
[🔥 10日新高] 3455.TWO: 1.52% (歷史分位: 14.1%)
[🔥 10日新高] 6863.TW: 1.39% (歷史分位: 9.3%)
[🔥 10日新高] 2233.TW: 1.27% (歷史分位: 7.3%)
[🔥 10日新高] 3645.TW: 1.2% (歷史分位: 15.1%)
[🔥 10日新高] 6425.TWO: 1.15% (歷史分位: 39.1%)
[🔥 10日新高] 3430.TWO: 1.08% (歷史分位: 11.5%)
[🔥 10日新高] 3055.TW: 1.0% (歷史分位: 7.9%)
[🔥 10日新高] 4912.TW: 0.93% (歷史分位: 7.9%)
[🔥 10日新高] 6215.TW: 0.85% (歷史分位: 8.6%)
[🔥 10日新高] 3094.TW: 0.76% (歷史分位: 70.4%)
[🔥 10日新高] 6861.TW: 0.56% (歷史分位: 12.0%)
[🔥 10日新高] 4764.TW: 0.34% (歷史分位: 82.0%)
[🔥 10日新高] 6785.TWO: 0.09% (歷史分位: 44.2%)
[💎 歷史高位] 6596.TWO: 19.24% (歷史分位: 94.2%)
[💎 歷史高位] 6806.TW: 17.7% (歷史分位: 98.0%)
[💎 歷史高位] 3712.TW: 15.23% (歷史分位: 86.7%)
[💎 歷史高位] 2528.TW: 14.29% (歷史分位: 98.7%)
[💎 歷史高位] 2442.TW: 13.92% (歷史分位: 82.9%)
[💎 歷史高位] 3489.TWO: 13.76% (歷史分位: 94.9%)
[💎 歷史高位] 3188.TWO: 13.74% (歷史分位: 95.5%)
[💎 歷史高位] 6186.TWO: 12.54% (歷史分位: 90.4%)
[💎 歷史高位] 5519.TW: 11.82% (歷史分位: 95.4%)
[💎 歷史高位] 2718.TWO: 11.76% (歷史分位: 83.3%)
[💎 歷史高位] 1432.TW: 11.63% (歷史分位: 80.3%)
[💎 歷史高位] 2540.TW: 11.28% (歷史分位: 99.3%)
[💎 歷史高位] 6294.TWO: 10.91% (歷史分位: 94.9%)
[💎 歷史高位] 6165.TW: 10.37% (歷史分位: 82.2%)
[💎 歷史高位] 4303.TWO: 10.21% (歷史分位: 92.9%)
[💎 歷史高位] 6523.TWO: 10.05% (歷史分位: 89.1%)
[💎 歷史高位] 2536.TW: 9.9% (歷史分位: 94.7%)
[💎 歷史高位] 6743.TW: 9.87% (歷史分位: 87.3%)
[💎 歷史高位] 9949.TWO: 9.71% (歷史分位: 99.4%)
[💎 歷史高位] 2530.TW: 9.59% (歷史分位: 96.7%)
[💎 歷史高位] 8446.TWO: 9.42% (歷史分位: 89.7%)
[💎 歷史高位] 2542.TW: 9.3% (歷史分位: 88.8%)
[💎 歷史高位] 5212.TWO: 9.08% (歷史分位: 97.4%)
[💎 歷史高位] 3512.TWO: 8.85% (歷史分位: 92.9%)
[💎 歷史高位] 3040.TW: 8.82% (歷史分位: 94.7%)
[💎 歷史高位] 4120.TWO: 8.77% (歷史分位: 95.5%)
[💎 歷史高位] 4523.TWO: 8.76% (歷史分位: 84.0%)
[💎 歷史高位] 5520.TWO: 8.6% (歷史分位: 87.2%)
[💎 歷史高位] 2534.TW: 8.43% (歷史分位: 93.4%)
[💎 歷史高位] 2010.TW: 8.32% (歷史分位: 90.1%)
[💎 歷史高位] 2916.TWO: 8.3% (歷史分位: 99.4%)
[💎 歷史高位] 5548.TWO: 8.14% (歷史分位: 94.2%)
[💎 歷史高位] 6703.TWO: 8.04% (歷史分位: 97.4%)
[💎 歷史高位] 1531.TW: 7.91% (歷史分位: 88.8%)
[💎 歷史高位] 7811.TWO: 7.82% (歷史分位: 84.4%)
[💎 歷史高位] 2752.TWO: 7.78% (歷史分位: 95.5%)
[💎 歷史高位] 2547.TW: 7.77% (歷史分位: 88.8%)
[💎 歷史高位] 2539.TW: 7.67% (歷史分位: 96.1%)
[💎 歷史高位] 5287.TWO: 7.66% (歷史分位: 98.7%)
[💎 歷史高位] 4417.TWO: 7.63% (歷史分位: 92.3%)
[💎 歷史高位] 2751.TWO: 7.62% (歷史分位: 85.9%)
[💎 歷史高位] 8938.TWO: 7.5% (歷史分位: 96.8%)
