id,name,price,signal,pnl,count,win_rate,reason
2308.TW,台達電,2455.0,🚀 持股,172.99,7,57.14,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
3037.TW,欣興,1000.0,🚀 持股,116.46,8,50.0,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
3017.TW,奇鋐,2855.0,🔥 買入 (📈 標準 V3),89.73,9,44.44,[P:0.95/50.0] [🚀 極強] 趨勢突破確認
2357.TW,華碩,931.0,💎 持股,55.83,8,62.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2379.TW,瑞昱,646.0,💎 持股,30.46,6,66.67,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2376.TW,技嘉,399.0,💎 持股,30.17,6,33.33,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2421.TW,建準,167.5,💎 持股,22.73,7,57.14,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
4966.TWO,譜瑞-KY,805.0,☁️ 觀望,18.27,3,66.67,[P:0.95/50.0] [📈 穩定] 等待機會
3515.TW,華擎,259.0,💎 持股,15.6,6,16.67,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
3034.TW,聯詠,503.0,💎 持股,10.33,8,25.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2324.TW,仁寶,47.0499992371,💎 持股,4.84,8,37.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2377.TW,微星,146.5,💎 持股,3.06,8,37.5,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3005.TW,神基,110.5,💎 持股,0.6,5,60.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2356.TW,英業達,85.4000015259,💎 持股,0.42,12,25.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3324.TWO,雙鴻,1280.0,💎 持股,-0.97,8,50.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2382.TW,廣達,417.0,🚀 持股,-1.61,9,44.44,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
2458.TW,義隆,165.0,💎 持股,-2.5,7,28.57,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6412.TW,群電,104.5,💎 持股,-5.98,6,33.33,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3231.TW,緯創,194.0,💎 持股,-10.26,9,55.56,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2354.TW,鴻準,65.0999984741,☁️ 觀望,-10.96,5,20.0,[P:0.95/8.0] [🚀 極強] 等待機會
4938.TW,和碩,98.5,💎 持股,-18.97,9,22.22,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2353.TW,宏��,43.4000015259,💎 持股,-25.48,11,18.18,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
5269.TW,祥碩,1575.0,☁️ 觀望,-53.45,7,0.0,[P:0.95/50.0] [🚀 極強] 等待機會
