id,name,price,signal,pnl,count,win_rate,reason
3595.TWO,山太士,2665.0,🟡 預警 (⚡ 糾結噴發),437.54,8,100.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6682.TWO,華旭先進,68.9000015259,💎 持股,188.91,7,57.14,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6207.TWO,雷科,153.0,💎 持股,92.06,8,37.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
7730.TW,暉盛-創,186.0,🟡 預警 (⚠️ 乖離過高),80.29,8,50.0,[P:0.95/8.0] [📈 穩定] 乖離率 12.4% 謹慎追價
3030.TW,德律,365.0,☁️ 觀望,79.35,7,71.43,[P:0.95/8.0] [📉 轉弱] 等待機會
3044.TW,健鼎,512.0,☁️ 觀望,73.15,7,71.43,[P:0.95/8.0] [📈 穩定] 等待機會
3149.TW,正達,91.0,💎 持股,68.31,8,37.5,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
8064.TWO,東捷,169.0,❄️ 賣出,63.08,9,44.44,[P:0.95/50.0] [📈 穩定] 今日觸發 Trailing
3498.TWO,陽程,132.5,☁️ 觀望,58.66,7,57.14,[P:0.95/50.0] [📈 穩定] 等待機會
6664.TWO,群翊,409.0,☁️ 觀望,27.6,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
6405.TW,悅城,79.0,🚀 持股,19.54,7,28.57,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
3580.TWO,友威科,106.0,💎 持股,11.29,5,60.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
1815.TWO,富喬,104.0,☁️ 觀望,8.82,9,44.44,[P:0.95/8.0] [📉 轉弱] 等待機會
8027.TWO,鈦昇,292.5,💎 持股,0.3,10,30.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2409.TW,友達,29.25,💎 持股,-3.42,8,25.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
