om,prev_rev_yoy,date,advice,name,prev_year,prev_eps,pe,prev_eps_yoy,eps_yoy,expansion,symbol,gm,price,rev_yoy,eps,est_price,status
8.07%,-8.85,2025-12,⚠️ 追價風險,事欣科,2025,1.14,28.08716707021792,254.55,8050.0,8049.11,4916.TW,18.73%,116.0,0.89,1.77,61.949999999999996,🚀 利潤擴張
-12.63%,23.87,2025-12,💎 強力關注,建漢,2025,1.47,4.178628510829347,1971.43,6600.0,6583.45,3062.TW,1.56%,26.2000007629,16.55,0.68,94.05,🚀 利潤擴張
18.04%,-15.18,2025-12,💎 強力關注,日勝生,2025,2.78,0.9424778423451328,1150.0,3612.5,3625.39,2547.TW,47.97%,10.6499996185,-12.89,2.85,169.5,🧐 疑業外收益
N/A,158.06,2025-12,💎 強力關注,台生材,2025,1.31,9.5278446668523,1737.5,3600.0,3471.78,6649.TWO,N/A,39.3499984741,128.22,1.4,61.949999999999996,🚀 利潤擴張
8.52%,26.89,2025-12,⚠️ 追價風險,景碩,2025,2.1,92.20607661822986,221.54,3072.73,3043.86,3189.TW,22.14%,698.0,28.87,3.51,113.55,🚀 利潤擴張
N/A,36.66,2025-12,💎 強力關注,工信,2025,0.37,10.099009712178217,3600.0,2500.0,2472.68,5521.TW,N/A,10.1999998093,27.32,0.52,15.15,🚀 利潤擴張
-91.14%,15.97,2025-12,💎 強力關注,永彰,2025,23.73,0.749019597869281,3177.63,1562.0,1569.15,4523.TWO,-8.90%,28.6499996185,-7.15,22.26,573.7500000000001,🧐 疑業外收益
-28.70%,4.99,2025-12,💎 強力關注,大魯閣,2025,-0.36,3.095667801173285,-125.0,1502.33,1497.6999999999998,1432.TW,34.83%,17.1499996185,4.63,6.03,83.1,🔄 轉虧為盈
7.09%,27.63,2025-12,⚠️ 追價風險,科嶠,2025,0.95,100.1592356687898,196.87,1500.0,1462.34,4542.TWO,35.25%,314.5,37.66,1.28,47.1,🚀 利潤擴張
-95.04%,-27.3,2025-12,💎 強力關注,上緯投控,2025,0.53,3.1871424679923726,-71.04,1276.65,1307.4,3708.TW,24.80%,117.0,-30.75,35.57,550.65,🧐 疑業外收益
-0.59%,73.71,2025-12,⚠️ 追價風險,聯光通,2025,0.82,24.63855513608434,173.33,1357.14,1292.63,4903.TWO,9.90%,40.9000015259,64.51,1.02,24.9,🚀 利潤擴張
12.18%,46.55,2025-12,⚠️ 追價風險,富喬,2025,0.81,31.770492303573768,606.25,1116.67,1075.98,1815.TWO,29.01%,96.9000015259,40.69,1.64,45.75000000000001,🚀 利潤擴張
N/A,53.98,2025-12,✅ 穩健價值,jpp-KY,2025,9.16,13.907518531591952,1777.36,1105.15,1048.91,5284.TW,N/A,394.0,56.24,12.05,424.95,🚀 利潤擴張
N/A,-10.59,2025-12,⚠️ 追價風險,松普,2025,0.06,33.91891943432432,-45.45,1000.0,1008.11,5488.TWO,N/A,12.5500001907,-8.11,0.11,5.55,🧐 疑業外收益
-0.28%,10.42,2025-12,💎 強力關注,精英,2025,1.44,4.479166666666667,1700.0,981.25,966.3,2331.TW,9.91%,21.5,14.95,1.41,72.0,🚀 利潤擴張
-106.23%,-4.5,2025-12,💎 強力關注,晟德,2025,3.52,2.316626010140587,810.64,905.92,912.1999999999999,4123.TWO,41.95%,37.9000015259,-6.28,12.33,245.39999999999998,🧐 疑業外收益
N/A,38.48,2025-12,⚠️ 追價風險,品安,2025,0.28,29.642856364336733,133.73,962.5,906.7,8088.TWO,N/A,58.0999984741,55.8,1.7,29.4,🚀 利潤擴張
N/A,23.93,2025-12,⚠️ 追價風險,凌華,2025,1.52,28.34467120181406,357.63,921.74,904.65,6166.TW,N/A,125.0,17.09,2.35,66.15,🚀 利潤擴張
7.13%,34.59,2025-12,💎 強力關注,樂事綠能,2025,0.97,7.647058955536333,977.78,876.92,844.03,1529.TW,16.87%,22.1000003815,32.89,1.01,43.349999999999994,🚀 利潤擴張
N/A,-8.99,2025-12,✅ 穩健價值,華東,2025,1.29,14.576270755395479,270.59,830.77,837.6899999999999,8110.TW,N/A,51.5999984741,-6.92,2.48,53.1,🧐 疑業外收益
N/A,18.82,2025-12,⚠️ 追價風險,南電,2025,1.15,184.25720620842569,2775.0,840.63,816.1899999999999,8046.TW,N/A,831.0,24.44,3.01,67.65,🚀 利潤擴張
N/A,11.35,2025-12,⚪ 數據不足,合晶,2025,-0.05,0.0,-350.0,800.0,787.43,6182.TWO,N/A,80.0,12.57,0.09,0.0,🔄 轉虧為盈
-167.95%,1.98,2025-12,💎 強力關注,泰豐,2025,-2.22,11.854304383112579,-258.33,721.43,722.0,2102.TW,20.10%,17.8999996185,-0.57,6.28,22.650000000000006,🔄 轉虧為盈
4.40%,-4.36,2025-12,⚪ 數據不足,如興,2025,0.02,0.0,107.14,700.0,705.37,4414.TW,19.96%,0.0,-5.37,0.68,0.0,🧐 疑業外收益
5.00%,7.39,2025-12,⚠️ 追價風險,千如,2025,0.12,212.0,250.0,700.0,689.09,3236.TWO,26.03%,53.0,10.91,0.32,3.75,🚀 利潤擴張
-5.65%,-4.42,2025-12,⚠️ 追價風險,中環,2025,0.37,22.81249960270832,-2.63,685.19,688.58,2323.TW,23.42%,10.9499998093,-3.39,1.58,7.200000000000003,🧐 疑業外收益
6.14%,140.24,2025-12,⚪ 數據不足,飛寶企業,2025,-0.26,0.0,-966.67,783.33,668.5600000000001,4413.TWO,24.00%,16.75,114.77,0.53,-9.45,🔄 轉虧為盈
0.43%,22.5,2025-12,⚠️ 追價風險,欣厚-KY,2025,0.28,24.999999999999996,460.0,660.0,656.01,4924.TWO,27.32%,12.0,3.99,0.38,7.2,🚀 利潤擴張
-11.28%,14.66,2025-12,⚪ 中性觀察,歐格,2025,0.48,17.017543525,422.22,620.0,603.24,3002.TW,17.03%,19.3999996185,16.76,0.36,17.099999999999998,🚀 利潤擴張
15.37%,-0.22,2025-12,⚠️ 追價風險,華邦電,2025,0.12,669.5652173913044,-57.14,576.92,567.37,2344.TW,41.86%,154.0,9.55,0.88,3.4499999999999997,🚀 利潤擴張
-188.65%,24.16,2025-12,⚠️ 追價風險,立萬利,2025,0.66,29.038461538461537,288.57,590.0,563.39,3054.TW,62.07%,75.5,26.61,1.96,39.0,🏰 高護城河
N/A,-19.03,2025-12,💎 強力關注,琉園,2025,5.5,2.436842065105264,1270.21,544.54,561.54,9949.TWO,N/A,23.1499996185,-17.0,5.29,142.49999999999997,🧐 疑業外收益
N/A,-4.33,2025-12,⚪ 數據不足,康舒,2025,-0.38,0.0,-90.0,550.0,549.9,6282.TW,N/A,58.7999992371,0.1,0.18,-13.950000000000003,🔄 轉虧為盈
-66.51%,-12.66,2025-12,⚠️ 追價風險,吉祥全,2025,0.49,183.82352941176455,179.03,457.5,467.93,2491.TW,43.42%,31.25,-10.43,1.43,2.5500000000000025,🧐 疑業外收益
-18.51%,18.74,2025-12,⚠️ 追價風險,杭特,2025,0.54,26.198347737933886,2600.0,461.54,440.95000000000005,3297.TWO,30.70%,31.7000007629,20.59,0.47,18.15,🚀 利潤擴張
4.44%,310.97,2025-12,⚪ 數據不足,博士旺,2025,-0.58,0.0,7.84,752.94,418.37000000000006,3555.TWO,18.45%,204.5,334.57,1.28,-9.599999999999998,🔄 轉虧為盈
15.14%,-10.45,2025-12,⚠️ 追價風險,宏旭-KY,2025,-0.11,31.534090909090917,38.89,408.33,417.34999999999997,2243.TW,22.27%,27.75,-9.02,1.22,13.199999999999998,🔄 轉虧為盈
18.24%,119.15,2025-12,⚠️ 追價風險,大量,2025,5.45,49.11981828506529,790.16,474.47,379.12,3167.TW,42.12%,865.0,95.35,8.13,264.15000000000003,🚀 利潤擴張
0.23%,-6.34,2025-12,💎 強力關注,宏洲,2025,0.43,8.536363948454547,326.32,364.71,374.26,1413.TW,2.52%,9.3900003433,-9.55,0.45,16.499999999999996,🧐 疑業外收益
7.74%,6.23,2025-12,⚠️ 追價風險,雙鍵,2025,0.62,104.44015444015444,187.32,377.27,371.81,4764.TW,23.49%,270.5,5.46,1.22,38.849999999999994,🚀 利潤擴張
N/A,13.03,2025-12,💎 強力關注,同亨,2025,1.26,6.195175438596491,916.67,382.35,370.34000000000003,5490.TWO,N/A,28.25,12.01,1.69,68.4,🚀 利潤擴張
N/A,-10.3,2025-12,💎 強力關注,新天地,2025,0.02,5.839285850535714,103.23,358.33,364.75,8940.TW,N/A,16.3500003815,-6.42,0.55,42.0,🧐 疑業外收益
-15.39%,43.11,2025-12,⚪ 中性觀察,倚強科,2025,1.65,18.04020177180905,179.66,406.67,356.99,3219.TWO,69.49%,71.8000030518,49.68,1.52,59.699999999999996,🏰 高護城河
-2.70%,-0.15,2025-12,💎 強力關注,友達,2025,0.52,9.606299062401575,185.25,327.5,327.09,2409.TW,10.73%,24.3999996185,0.41,0.9,38.1,🚀 利潤擴張
0.97%,30.37,2025-12,💎 強力關注,冠星-KY,2025,7.71,4.2078286603821065,114.76,346.24,316.98,4439.TW,15.60%,90.3000030518,29.26,7.73,321.90000000000003,🚀 利潤擴張
-12.67%,-14.04,2025-12,⚪ 數據不足,映泰,2025,-0.11,0.0,-222.22,275.0,289.09,2399.TW,8.40%,44.6500015259,-14.09,0.15,-2.7000000000000006,🔄 轉虧為盈
-79.17%,-0.73,2025-12,💎 強力關注,宏達電,2025,7.88,1.7787055730313153,352.24,275.85,281.70000000000005,2498.TW,34.44%,42.5999984741,-5.85,7.21,359.25,🧐 疑業外收益
N/A,-8.55,2025-12,💎 強力關注,美利達,2025,4.81,5.255023183925811,-18.34,271.37,281.08,9914.TW,N/A,68.0,-9.71,4.01,194.10000000000002,🧐 疑業外收益
N/A,12.63,2025-12,💎 強力關注,浪凡,2025,3.02,4.7309196158610565,410.34,288.24,275.27,6165.TW,N/A,48.3499984741,12.97,4.02,153.3,🚀 利潤擴張
13.23%,19.84,2025-12,⚠️ 追價風險,大銀微系統,2025,1.26,48.054919908466815,447.83,294.12,273.68,4576.TW,38.42%,210.0,20.44,2.01,65.55,🚀 利潤擴張
