date,prev_rev_yoy,rev_yoy,eps_yoy,est_price,symbol,pe,gm,advice,price,om,prev_eps,name,eps,prev_year,status,expansion,prev_eps_yoy
2025-12,-8.85,0.89,8050.0,61.949999999999996,4916.TW,28.934624697336563,18.73%,⚠️ 追價風險,119.5,8.07%,1.14,事欣科,1.77,2025,🚀 利潤擴張,8049.11,254.55
2025-12,23.87,16.55,6600.0,94.05,3062.TW,4.218500919122808,1.56%,💎 強力關注,26.4500007629,-12.63%,1.47,建漢,0.68,2025,🚀 利潤擴張,6583.45,1971.43
2025-12,-15.18,-12.89,3612.5,169.5,2547.TW,0.9778761230707964,47.97%,💎 強力關注,11.0500001907,18.04%,2.78,日勝生,2.85,2025,🧐 疑業外收益,3625.39,1150.0
2025-12,158.06,128.22,3600.0,61.949999999999996,6649.TWO,9.406779291549636,N/A,💎 強力關注,38.8499984741,N/A,1.31,台生材,1.4,2025,🚀 利潤擴張,3471.78,1737.5
2025-12,26.89,28.87,3072.73,113.55,3189.TW,94.31968295904889,22.14%,⚠️ 追價風險,714.0,8.52%,2.1,景碩,3.51,2025,🚀 利潤擴張,3043.86,221.54
2025-12,36.66,27.32,2500.0,15.15,5521.TW,10.148514851485148,N/A,💎 強力關注,10.25,N/A,0.37,工信,0.52,2025,🚀 利潤擴張,2472.68,3600.0
2025-12,15.97,-7.15,1562.0,573.7500000000001,4523.TWO,0.7568627650431371,-8.90%,💎 強力關注,28.9500007629,-91.14%,23.73,永彰,22.26,2025,🧐 疑業外收益,1569.15,3177.63
2025-12,4.99,4.63,1502.33,83.1,1432.TW,3.140794154963899,34.83%,💎 強力關注,17.3999996185,-28.70%,-0.36,大魯閣,6.03,2025,🔄 轉虧為盈,1497.6999999999998,-125.0
2025-12,27.63,37.66,1500.0,47.1,4542.TWO,110.03184713375796,35.25%,⚠️ 追價風險,345.5,7.09%,0.95,科嶠,1.28,2025,🚀 利潤擴張,1462.34,196.87
2025-12,-27.3,-30.75,1276.65,550.65,3708.TW,3.282484336692999,24.80%,💎 強力關注,120.5,-95.04%,0.53,上緯投控,35.57,2025,🧐 疑業外收益,1307.4,-71.04
2025-12,73.71,64.51,1357.14,24.9,4903.TWO,24.789157545722894,9.90%,⚠️ 追價風險,41.1500015259,-0.59%,0.82,聯光通,1.02,2025,🚀 利潤擴張,1292.63,173.33
2025-12,46.55,40.69,1116.67,45.75000000000001,1815.TWO,32.4262300084918,29.01%,⚠️ 追價風險,98.9000015259,12.18%,0.81,富喬,1.64,2025,🚀 利潤擴張,1075.98,606.25
2025-12,53.98,56.24,1105.15,424.95,5284.TW,14.101659018708084,N/A,✅ 穩健價值,399.5,N/A,9.16,jpp-KY,12.05,2025,🚀 利潤擴張,1048.91,1777.36
2025-12,-10.59,-8.11,1000.0,5.55,5488.TWO,34.999999484594596,N/A,⚠️ 追價風險,12.9499998093,N/A,0.06,松普,0.11,2025,🧐 疑業外收益,1008.11,-45.45
2025-12,10.42,14.95,981.25,72.0,2331.TW,4.583333333333334,9.91%,💎 強力關注,22.0,-0.28%,1.44,精英,1.41,2025,🚀 利潤擴張,966.3,1700.0
2025-12,-4.5,-6.28,905.92,245.39999999999998,4123.TWO,2.3105134008007338,41.95%,💎 強力關注,37.7999992371,-106.23%,3.52,晟德,12.33,2025,🧐 疑業外收益,912.1999999999999,810.64
2025-12,38.48,55.8,962.5,29.4,8088.TWO,30.408162486785713,N/A,⚠️ 追價風險,59.5999984741,N/A,0.28,品安,1.7,2025,🚀 利潤擴張,906.7,133.73
2025-12,23.93,17.09,921.74,66.15,6166.TW,31.179138321995463,N/A,⚠️ 追價風險,137.5,N/A,1.52,凌華,2.35,2025,🚀 利潤擴張,904.65,357.63
2025-12,34.59,32.89,876.92,43.349999999999994,1529.TW,7.82006933615917,16.87%,💎 強力關注,22.6000003815,7.13%,0.97,樂事綠能,1.01,2025,🚀 利潤擴張,844.03,977.78
2025-12,-8.99,-6.92,830.77,53.1,8110.TW,15.48022577319209,N/A,✅ 穩健價值,54.7999992371,N/A,1.29,華東,2.48,2025,🧐 疑業外收益,837.6899999999999,270.59
2025-12,18.82,24.44,840.63,67.65,8046.TW,202.66075388026604,N/A,⚠️ 追價風險,914.0,N/A,1.15,南電,3.01,2025,🚀 利潤擴張,816.1899999999999,2775.0
