eps,symbol,prev_year,name,expansion,status,eps_yoy,rev_yoy,prev_eps_yoy,prev_rev_yoy,price,est_price,date,om,advice,gm,pe,prev_eps
1.77,4916.TW,2025,事欣科,8049.11,🚀 利潤擴張,8050.0,0.89,254.55,-8.85,111.5,61.949999999999996,2025-12,8.07%,⚠️ 追價風險,18.73%,26.99757869249395,1.14
0.68,3062.TW,2025,建漢,6583.45,🚀 利潤擴張,6600.0,16.55,1971.43,23.87,25.2999992371,94.05,2025-12,-12.63%,💎 強力關注,1.56%,4.035087597623605,1.47
2.85,2547.TW,2025,日勝生,3625.39,🧐 疑業外收益,3612.5,-12.89,1150.0,-15.18,11.1499996185,169.5,2025-12,18.04%,💎 強力關注,47.97%,0.9867256299557522,2.78
1.4,6649.TWO,2025,台生材,3471.78,🚀 利潤擴張,3600.0,128.22,1737.5,158.06,38.9000015259,61.949999999999996,2025-12,N/A,💎 強力關注,N/A,9.418886568014528,1.31
3.51,3189.TW,2025,景碩,3043.86,🚀 利潤擴張,3072.73,28.87,221.54,26.89,660.0,113.55,2025-12,8.52%,⚠️ 追價風險,22.14%,87.18626155878468,2.1
0.52,5521.TW,2025,工信,2472.68,🚀 利潤擴張,2500.0,27.32,3600.0,36.66,11.25,15.15,2025-12,N/A,💎 強力關注,N/A,11.138613861386139,0.37
22.26,4523.TWO,2025,永彰,1569.15,🧐 疑業外收益,1562.0,-7.15,3177.63,15.97,28.6499996185,573.7500000000001,2025-12,-91.14%,💎 強力關注,-8.90%,0.749019597869281,23.73
6.03,1432.TW,2025,大魯閣,1497.6999999999998,🔄 轉虧為盈,1502.33,4.63,-125.0,4.99,17.2999992371,83.1,2025-12,-28.70%,💎 強力關注,34.83%,3.122743544602888,-0.36
1.28,4542.TWO,2025,科嶠,1462.34,🚀 利潤擴張,1500.0,37.66,196.87,27.63,327.0,47.1,2025-12,7.09%,⚠️ 追價風險,35.25%,104.14012738853502,0.95
35.57,3708.TW,2025,上緯投控,1307.4,🧐 疑業外收益,1276.65,-30.75,-71.04,-27.3,119.0,550.65,2025-12,-95.04%,💎 強力關注,24.80%,3.241623535821302,0.53
1.02,4903.TWO,2025,聯光通,1292.63,🚀 利潤擴張,1357.14,64.51,173.33,73.71,39.2000007629,24.9,2025-12,-0.59%,⚠️ 追價風險,9.90%,23.614458290903613,0.82
1.64,1815.TWO,2025,富喬,1075.98,🚀 利潤擴張,1116.67,40.69,606.25,46.55,91.4000015259,45.75000000000001,2025-12,12.18%,⚠️ 追價風險,29.01%,29.967213615049175,0.81
12.05,5284.TW,2025,jpp-KY,1048.91,🚀 利潤擴張,1105.15,56.24,1777.36,53.98,363.0,424.95,2025-12,N/A,✅ 穩健價值,N/A,12.813272149664668,9.16
0.11,5488.TWO,2025,松普,1008.11,🧐 疑業外收益,1000.0,-8.11,-45.45,-10.59,12.1000003815,5.55,2025-12,N/A,⚠️ 追價風險,N/A,32.702703733783785,0.06
1.41,2331.TW,2025,精英,966.3,🚀 利潤擴張,981.25,14.95,1700.0,10.42,21.1499996185,72.0,2025-12,-0.28%,💎 強力關注,9.91%,4.406249920520834,1.44
12.33,4123.TWO,2025,晟德,912.1999999999999,🧐 疑業外收益,905.92,-6.28,810.64,-4.5,37.9500007629,245.39999999999998,2025-12,-106.23%,💎 強力關注,41.95%,2.319682198221271,3.52
1.7,8088.TWO,2025,品安,906.7,🚀 利潤擴張,962.5,55.8,133.73,38.48,57.5,29.4,2025-12,N/A,⚠️ 追價風險,N/A,29.336734693877553,0.28
2.35,6166.TW,2025,凌華,904.65,🚀 利潤擴張,921.74,17.09,357.63,23.93,125.5,66.15,2025-12,N/A,⚠️ 追價風險,N/A,28.458049886621314,1.52
1.01,1529.TW,2025,樂事綠能,844.03,🚀 利潤擴張,876.92,32.89,977.78,34.59,22.0,43.349999999999994,2025-12,7.13%,💎 強力關注,16.87%,7.6124567474048455,0.97
2.48,8110.TW,2025,華東,837.6899999999999,🧐 疑業外收益,830.77,-6.92,270.59,-8.99,51.7999992371,53.1,2025-12,N/A,✅ 穩健價值,N/A,14.632768146073447,1.29
3.01,8046.TW,2025,南電,816.1899999999999,🚀 利潤擴張,840.63,24.44,2775.0,18.82,847.0,67.65,2025-12,N/A,⚠️ 追價風險,N/A,187.80487804878047,1.15
0.09,6182.TWO,2025,合晶,787.43,🔄 轉虧為盈,800.0,12.57,-350.0,11.35,78.5,0.0,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.05
6.28,2102.TW,2025,泰豐,722.0,🔄 轉虧為盈,721.43,-0.57,-258.33,1.98,18.2000007629,22.650000000000006,2025-12,-167.95%,✅ 穩健價值,20.10%,12.052980637682115,-2.22
0.68,4414.TW,2025,如興,705.37,🧐 疑業外收益,700.0,-5.37,107.14,-4.36,0.0,0.0,2025-12,4.40%,⚪ 數據不足,19.96%,0.0,0.02
0.32,3236.TWO,2025,千如,689.09,🚀 利潤擴張,700.0,10.91,250.0,7.39,52.2999992371,3.75,2025-12,5.00%,⚠️ 追價風險,26.03%,209.1999969484,0.12
1.58,2323.TW,2025,中環,688.58,🧐 疑業外收益,685.19,-3.39,-2.63,-4.42,10.8999996185,7.200000000000003,2025-12,-5.65%,⚠️ 追價風險,23.42%,22.708332538541658,0.37
0.53,4413.TWO,2025,飛寶企業,668.5600000000001,🔄 轉虧為盈,783.33,114.77,-966.67,140.24,15.5500001907,-9.45,2025-12,6.14%,⚪ 數據不足,24.00%,0.0,-0.26
