symbol,om,price,gm,date,advice,eps,pe,prev_eps,eps_yoy,prev_year,prev_rev_yoy,status,est_price,name,prev_eps_yoy,rev_yoy,expansion
4916.TW,8.07%,107.5,18.73%,2025-12,⚠️ 追價風險,1.77,26.02905569007264,1.14,8050.0,2025,-8.85,🚀 利潤擴張,61.949999999999996,事欣科,254.55,0.89,8049.11
3062.TW,-12.63%,25.6000003815,1.56%,2025-12,💎 強力關注,0.68,4.082934670095694,1.47,6600.0,2025,23.87,🚀 利潤擴張,94.05,建漢,1971.43,16.55,6583.45
2547.TW,18.04%,11.1000003815,47.97%,2025-12,💎 強力關注,2.85,0.982300918716814,2.78,3612.5,2025,-15.18,🧐 疑業外收益,169.5,日勝生,1150.0,-12.89,3625.39
6649.TWO,N/A,38.7999992371,N/A,2025-12,💎 強力關注,1.4,9.394672938765135,1.31,3600.0,2025,158.06,🚀 利潤擴張,61.949999999999996,台生材,1737.5,128.22,3471.78
3189.TW,8.52%,610.0,22.14%,2025-12,⚠️ 追價風險,3.51,80.58124174372524,2.1,3072.73,2025,26.89,🚀 利潤擴張,113.55,景碩,221.54,28.87,3043.86
5521.TW,N/A,10.5500001907,N/A,2025-12,💎 強力關注,0.52,10.445544743267327,0.37,2500.0,2025,36.66,🚀 利潤擴張,15.15,工信,3600.0,27.32,2472.68
4523.TWO,-91.14%,29.3999996185,-8.90%,2025-12,💎 強力關注,22.26,0.7686274410065358,23.73,1562.0,2025,15.97,🧐 疑業外收益,573.7500000000001,永彰,3177.63,-7.15,1569.15
1432.TW,-28.70%,17.3500003815,34.83%,2025-12,💎 強力關注,6.03,3.1317690219314076,-0.36,1502.33,2025,4.99,🔄 轉虧為盈,83.1,大魯閣,-125.0,4.63,1497.6999999999998
4542.TWO,7.09%,335.5,35.25%,2025-12,⚠️ 追價風險,1.28,106.84713375796179,0.95,1500.0,2025,27.63,🚀 利潤擴張,47.1,科嶠,196.87,37.66,1462.34
3708.TW,-95.04%,117.0,24.80%,2025-12,💎 強力關注,35.57,3.1871424679923726,0.53,1276.65,2025,-27.3,🧐 疑業外收益,550.65,上緯投控,-71.04,-30.75,1307.4
4903.TWO,-0.59%,38.75,9.90%,2025-12,⚠️ 追價風險,1.02,23.343373493975903,0.82,1357.14,2025,73.71,🚀 利潤擴張,24.9,聯光通,173.33,64.51,1292.63
1815.TWO,12.18%,96.1999969482,29.01%,2025-12,⚠️ 追價風險,1.64,31.54098260596721,0.81,1116.67,2025,46.55,🚀 利潤擴張,45.75000000000001,富喬,606.25,40.69,1075.98
5284.TW,N/A,364.0,N/A,2025-12,✅ 穩健價值,12.05,12.848570420049418,9.16,1105.15,2025,53.98,🚀 利潤擴張,424.95,jpp-KY,1777.36,56.24,1048.91
5488.TWO,N/A,12.1499996185,N/A,2025-12,⚠️ 追價風險,0.11,32.83783680675676,0.06,1000.0,2025,-10.59,🧐 疑業外收益,5.55,松普,-45.45,-8.11,1008.11
2331.TW,-0.28%,21.2999992371,9.91%,2025-12,💎 強力關注,1.41,4.4374998410625,1.44,981.25,2025,10.42,🚀 利潤擴張,72.0,精英,1700.0,14.95,966.3
4123.TWO,-106.23%,37.6500015259,41.95%,2025-12,💎 強力關注,12.33,2.301344836546455,3.52,905.92,2025,-4.5,🧐 疑業外收益,245.39999999999998,晟德,810.64,-6.28,912.1999999999999
8088.TWO,N/A,61.4000015259,N/A,2025-12,⚠️ 追價風險,1.7,31.326531390765307,0.28,962.5,2025,38.48,🚀 利潤擴張,29.4,品安,133.73,55.8,906.7
6166.TW,N/A,128.5,N/A,2025-12,⚠️ 追價風險,2.35,29.138321995464853,1.52,921.74,2025,23.93,🚀 利潤擴張,66.15,凌華,357.63,17.09,904.65
1529.TW,7.13%,23.1000003815,16.87%,2025-12,💎 強力關注,1.01,7.993079716782008,0.97,876.92,2025,34.59,🚀 利潤擴張,43.349999999999994,樂事綠能,977.78,32.89,844.03
8110.TW,N/A,54.7999992371,N/A,2025-12,✅ 穩健價值,2.48,15.48022577319209,1.29,830.77,2025,-8.99,🧐 疑業外收益,53.1,華東,270.59,-6.92,837.6899999999999
8046.TW,N/A,819.0,N/A,2025-12,⚠️ 追價風險,3.01,181.59645232815961,1.15,840.63,2025,18.82,🚀 利潤擴張,67.65,南電,2775.0,24.44,816.1899999999999
6182.TWO,N/A,88.9000015259,N/A,2025-12,⚪ 數據不足,0.09,0.0,-0.05,800.0,2025,11.35,🔄 轉虧為盈,0.0,合晶,-350.0,12.57,787.43
2102.TW,-167.95%,18.2999992371,20.10%,2025-12,✅ 穩健價值,6.28,12.119204792781453,-2.22,721.43,2025,1.98,🔄 轉虧為盈,22.650000000000006,泰豐,-258.33,-0.57,722.0
4414.TW,4.40%,0.0,19.96%,2025-12,⚪ 數據不足,0.68,0.0,0.02,700.0,2025,-4.36,🧐 疑業外收益,0.0,如興,107.14,-5.37,705.37
3236.TWO,5.00%,63.2000007629,26.03%,2025-12,⚠️ 追價風險,0.32,252.8000030516,0.12,700.0,2025,7.39,🚀 利潤擴張,3.75,千如,250.0,10.91,689.09
2323.TW,-5.65%,11.1999998093,23.42%,2025-12,⚠️ 追價風險,1.58,23.333332936041657,0.37,685.19,2025,-4.42,🧐 疑業外收益,7.200000000000003,中環,-2.63,-3.39,688.58
4413.TWO,6.14%,16.7999992371,24.00%,2025-12,⚪ 數據不足,0.53,0.0,-0.26,783.33,2025,140.24,🔄 轉虧為盈,-9.45,飛寶企業,-966.67,114.77,668.5600000000001
4924.TWO,0.43%,12.1499996185,27.32%,2025-12,⚠️ 追價風險,0.38,25.312499205208333,0.28,660.0,2025,22.5,🚀 利潤擴張,7.2,欣厚-KY,460.0,3.99,656.01
3002.TW,-11.28%,19.0499992371,17.03%,2025-12,⚪ 中性觀察,0.36,16.710525646578947,0.48,620.0,2025,14.66,🚀 利潤擴張,17.099999999999998,歐格,422.22,16.76,603.24
2344.TW,15.37%,172.0,41.86%,2025-12,⚠️ 追價風險,0.88,747.8260869565217,0.12,576.92,2025,-0.22,🚀 利潤擴張,3.4499999999999997,華邦電,-57.14,9.55,567.37
3054.TW,-188.65%,68.0,62.07%,2025-12,⚠️ 追價風險,1.96,26.153846153846153,0.66,590.0,2025,24.16,🏰 高護城河,39.0,立萬利,288.57,26.61,563.39
9949.TWO,N/A,23.7999992371,N/A,2025-12,💎 強力關注,5.29,2.505263077589474,5.5,544.54,2025,-19.03,🧐 疑業外收益,142.49999999999997,琉園,1270.21,-17.0,561.54
6282.TW,N/A,58.0999984741,N/A,2025-12,⚪ 數據不足,0.18,0.0,-0.38,550.0,2025,-4.33,🔄 轉虧為盈,-13.950000000000003,康舒,-90.0,0.1,549.9
2491.TW,-66.51%,31.2999992371,43.42%,2025-12,⚠️ 追價風險,1.43,184.1176425711763,0.49,457.5,2025,-12.66,🧐 疑業外收益,2.5500000000000025,吉祥全,179.03,-10.43,467.93
3297.TWO,-18.51%,30.8999996185,30.70%,2025-12,⚠️ 追價風險,0.47,25.537189767355372,0.54,461.54,2025,18.74,🚀 利潤擴張,18.15,杭特,2600.0,20.59,440.95000000000005
3555.TWO,4.44%,199.0,18.45%,2025-12,⚪ 數據不足,1.28,0.0,-0.58,752.94,2025,310.97,🔄 轉虧為盈,-9.599999999999998,博士旺,7.84,334.57,418.37000000000006
2243.TW,15.14%,37.2000007629,22.27%,2025-12,⚠️ 追價風險,1.22,42.2727281396591,-0.11,408.33,2025,-10.45,🔄 轉虧為盈,13.199999999999998,宏旭-KY,38.89,-9.02,417.34999999999997
3167.TW,18.24%,806.0,42.12%,2025-12,⚠️ 追價風險,8.13,45.7694491766042,5.45,474.47,2025,119.15,🚀 利潤擴張,264.15000000000003,大量,790.16,95.35,379.12
1413.TW,0.23%,9.5799999237,2.52%,2025-12,💎 強力關注,0.45,8.709090839727274,0.43,364.71,2025,-6.34,🧐 疑業外收益,16.499999999999996,宏洲,326.32,-9.55,374.26
4764.TW,7.74%,263.0,23.49%,2025-12,⚠️ 追價風險,1.22,101.54440154440155,0.62,377.27,2025,6.23,🚀 利潤擴張,38.849999999999994,雙鍵,187.32,5.46,371.81
5490.TWO,N/A,28.7999992371,N/A,2025-12,💎 強力關注,1.69,6.315789306381578,1.26,382.35,2025,13.03,🚀 利潤擴張,68.4,同亨,916.67,12.01,370.34000000000003
8940.TW,N/A,16.75,N/A,2025-12,💎 強力關注,0.55,5.982142857142858,0.02,358.33,2025,-10.3,🧐 疑業外收益,42.0,新天地,103.23,-6.42,364.75
3219.TWO,-15.39%,74.8000030518,69.49%,2025-12,⚪ 中性觀察,1.52,18.793970616030155,1.65,406.67,2025,43.11,🏰 高護城河,59.699999999999996,倚強科,179.66,49.68,356.99
2409.TW,-2.70%,23.5,10.73%,2025-12,💎 強力關注,0.9,9.251968503937007,0.52,327.5,2025,-0.15,🚀 利潤擴張,38.1,友達,185.25,0.41,327.09
4439.TW,0.97%,90.0999984741,15.60%,2025-12,💎 強力關注,7.73,4.198508782576887,7.71,346.24,2025,30.37,🚀 利潤擴張,321.90000000000003,冠星-KY,114.76,29.26,316.98
2399.TW,-12.67%,47.6500015259,8.40%,2025-12,⚪ 數據不足,0.15,0.0,-0.11,275.0,2025,-14.04,🔄 轉虧為盈,-2.7000000000000006,映泰,-222.22,-14.09,289.09
2498.TW,-79.17%,43.25,34.44%,2025-12,💎 強力關注,7.21,1.8058455114822547,7.88,275.85,2025,-0.73,🧐 疑業外收益,359.25,宏達電,352.24,-5.85,281.70000000000005
9914.TW,N/A,73.4000015259,N/A,2025-12,💎 強力關注,4.01,5.672333966452858,4.81,271.37,2025,-8.55,🧐 疑業外收益,194.10000000000002,美利達,-18.34,-9.71,281.08
6165.TW,N/A,49.0999984741,N/A,2025-12,💎 強力關注,4.02,4.804305134452054,3.02,288.24,2025,12.63,🚀 利潤擴張,153.3,浪凡,410.34,12.97,275.27
4576.TW,13.23%,202.0,38.42%,2025-12,⚠️ 追價風險,2.01,46.224256292906176,1.26,294.12,2025,19.84,🚀 利潤擴張,65.55,大銀微系統,447.83,20.44,273.68
2466.TW,-53.06%,46.9500007629,-4.21%,2025-12,⚪ 數據不足,0.25,0.0,0.98,241.18,2025,-6.66,🧐 疑業外收益,-8.100000000000001,冠西電,230.67,-14.27,255.45000000000002
1608.TW,6.96%,34.4000015259,9.17%,2025-12,💎 強力關注,5.5,2.9578677150386934,4.75,254.81,2025,-0.36,🚀 利潤擴張,174.45,華榮,241.94,0.02,254.79
1718.TW,18.72%,9.1999998093,41.46%,2025-12,⚠️ 追價風險,0.09,35.384614651153846,0.19,250.0,2025,4.96,🧐 疑業外收益,3.9000000000000004,中纖,-11.76,-0.24,250.24
4949.TW,N/A,89.4000015259,N/A,2025-12,⚪ 中性觀察,1.91,19.648351983714285,1.48,240.74,2025,-1.75,🧐 疑業外收益,68.25,有成精密,180.87,-0.48,241.22
1438.TW,25.89%,24.0499992371,29.82%,2025-12,⚪ 數據不足,1.74,0.0,-0.9,237.01,2025,-98.23,🔄 轉虧為盈,-2.4000000000000004,三地開發,10.89,7.93,229.07999999999998
1456.TW,248.16%,14.1999998093,46.73%,2025-12,💎 強力關注,3.41,9.659863815850338,-0.9,207.21,2025,-26.31,🔄 轉虧為盈,22.050000000000004,怡華,15.89,-20.46,227.67000000000002
3530.TW,14.09%,63.0,31.94%,2025-12,⚠️ 追價風險,1.74,30.14354066985646,0.47,230.83,2025,-5.41,🚀 利潤擴張,31.349999999999998,晶相光,-50.0,6.6,224.23000000000002
