expansion,eps,gm,advice,om,price,prev_eps,prev_year,prev_eps_yoy,eps_yoy,date,prev_rev_yoy,name,rev_yoy,pe,symbol,est_price,status
8049.11,1.77,18.73%,⚠️ 追價風險,8.07%,98.6999969482,1.14,2025,254.55,8050.0,2025-12,-8.85,事欣科,0.89,23.898304345811137,4916.TW,61.949999999999996,🚀 利潤擴張
6583.45,0.68,1.56%,💎 強力關注,-12.63%,25.6499996185,1.47,2025,1971.43,6600.0,2025-12,23.87,建漢,16.55,4.090909030063797,3062.TW,94.05,🚀 利潤擴張
3625.39,2.85,47.97%,💎 強力關注,18.04%,11.1999998093,2.78,2025,1150.0,3612.5,2025-12,-15.18,日勝生,-12.89,0.9911504256017698,2547.TW,169.5,🧐 疑業外收益
3471.78,1.4,N/A,💎 強力關注,N/A,37.4500007629,1.31,2025,1737.5,3600.0,2025-12,158.06,台生材,128.22,9.067796794891041,6649.TWO,61.949999999999996,🚀 利潤擴張
3043.86,3.51,22.14%,⚠️ 追價風險,8.52%,706.0,2.1,2025,221.54,3072.73,2025-12,26.89,景碩,28.87,93.26287978863937,3189.TW,113.55,🚀 利潤擴張
2472.68,0.52,N/A,💎 強力關注,N/A,10.6999998093,0.37,2025,3600.0,2500.0,2025-12,36.66,工信,27.32,10.594059217128713,5521.TW,15.15,🚀 利潤擴張
1569.15,22.26,-8.90%,💎 強力關注,-91.14%,29.3999996185,23.73,2025,3177.63,1562.0,2025-12,15.97,永彰,-7.15,0.7686274410065358,4523.TWO,573.7500000000001,🧐 疑業外收益
1497.6999999999998,6.03,34.83%,💎 強力關注,-28.70%,17.3999996185,-0.36,2025,-125.0,1502.33,2025-12,4.99,大魯閣,4.63,3.140794154963899,1432.TW,83.1,🔄 轉虧為盈
1462.34,1.28,35.25%,⚠️ 追價風險,7.09%,378.0,0.95,2025,196.87,1500.0,2025-12,27.63,科嶠,37.66,120.38216560509554,4542.TWO,47.1,🚀 利潤擴張
1307.4,35.57,24.80%,💎 強力關注,-95.04%,114.5,0.53,2025,-71.04,1276.65,2025-12,-27.3,上緯投控,-30.75,3.1190411332062107,3708.TW,550.65,🧐 疑業外收益
1292.63,1.02,9.90%,⚠️ 追價風險,-0.59%,38.7999992371,0.82,2025,173.33,1357.14,2025-12,73.71,聯光通,64.51,23.373493516325304,4903.TWO,24.9,🚀 利潤擴張
1075.98,1.64,29.01%,⚠️ 追價風險,12.18%,95.0,0.81,2025,606.25,1116.67,2025-12,46.55,富喬,40.69,31.147540983606554,1815.TWO,45.75000000000001,🚀 利潤擴張
1048.91,12.05,N/A,✅ 穩健價值,N/A,392.0,9.16,2025,1777.36,1105.15,2025-12,53.98,jpp-KY,56.24,13.83692199082245,5284.TW,424.95,🚀 利潤擴張
1008.11,0.11,N/A,⚠️ 追價風險,N/A,12.6000003815,0.06,2025,-45.45,1000.0,2025-12,-10.59,松普,-8.11,34.05405508513513,5488.TWO,5.55,🧐 疑業外收益
966.3,1.41,9.91%,💎 強力關注,-0.28%,22.25,1.44,2025,1700.0,981.25,2025-12,10.42,精英,14.95,4.635416666666667,2331.TW,72.0,🚀 利潤擴張
912.1999999999999,12.33,41.95%,💎 強力關注,-106.23%,37.1500015259,3.52,2025,810.64,905.92,2025-12,-4.5,晟德,-6.28,2.270782489358191,4123.TWO,245.39999999999998,🧐 疑業外收益
906.7,1.7,N/A,⚠️ 追價風險,N/A,64.8000030518,0.28,2025,133.73,962.5,2025-12,38.48,品安,55.8,33.06122604683674,8088.TWO,29.4,🚀 利潤擴張
904.65,2.35,N/A,⚠️ 追價風險,N/A,142.5,1.52,2025,357.63,921.74,2025-12,23.93,凌華,17.09,32.31292517006803,6166.TW,66.15,🚀 利潤擴張
844.03,1.01,16.87%,💎 強力關注,7.13%,22.8999996185,0.97,2025,977.78,876.92,2025-12,34.59,樂事綠能,32.89,7.9238753005190325,1529.TW,43.349999999999994,🚀 利潤擴張
837.6899999999999,2.48,N/A,⚪ 中性觀察,N/A,58.4000015259,1.29,2025,270.59,830.77,2025-12,-8.99,華東,-6.92,16.497175572288135,8110.TW,53.1,🧐 疑業外收益
816.1899999999999,3.01,N/A,⚠️ 追價風險,N/A,885.0,1.15,2025,2775.0,840.63,2025-12,18.82,南電,24.44,196.23059866962302,8046.TW,67.65,🚀 利潤擴張
787.43,0.09,N/A,⚪ 數據不足,N/A,114.0,-0.05,2025,-350.0,800.0,2025-12,11.35,合晶,12.57,0.0,6182.TWO,0.0,🔄 轉虧為盈
722.0,6.28,20.10%,✅ 穩健價值,-167.95%,18.3500003815,-2.22,2025,-258.33,721.43,2025-12,1.98,泰豐,-0.57,12.152318133443705,2102.TW,22.650000000000006,🔄 轉虧為盈
