====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260622 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 15.57      | ❄️ 空倉          |       +9.42% |      8 |    60.00% | [P:0.48] RSI:57.01|MACD:0.40|KD_Diff:11.01|BIAS_20:6.21
00401A.TW    | 主動摩根台灣鑫收   | 14.22      | ❄️ 空倉          |      +10.77% |      6 |    58.62% | [P:0.41] RSI:57.84|MACD:0.35|KD_Diff:9.08|BIAS_20:4.02
00403A.TW    | 主動統一升級50   | 11.38      | ❄️ 空倉          |       +6.59% |      2 |    58.82% | [P:0.33] [⚠️降級預設] RSI:59.46|MACD:0.18|KD_Diff:13.75|D_Value:74.94
0050.TW      | 元大台灣50     | 111.15     | 🟢 持股           |      +31.02% |     27 |    48.83% | [P:0.59] Vol_Ratio:1.35|BIAS_20:6.85|MA_Slope:0.67|BB_Upper:-0.86
0052.TW      | 富邦科技       | 65.25      | 🟢 持股           |      +33.77% |     15 |    51.15% | [P:0.51] MACD:1.82|D_Value:71.79|Vol_Ratio:1.53|BB_Upper:-0.71
0056.TW      | 元大高股息      | 54.05      | 🚀 買進           |      +27.45% |     18 |    51.52% | [P:0.57] KD_Diff:12.75|Vol_Ratio:1.38|BB_Upper:0.83|MA_Bull:10.00
006201.TWO   | 元大富櫃50     | 50.80      | ❄️ 空倉          |      +50.52% |     30 |    49.92% | [P:0.44] Vol_Ratio:1.21|MA_Slope:0.34|BB_Upper:2.40|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 201.75     | 🟢 持股           |      +37.38% |     37 |    51.24% | [P:0.62] KD_Diff:13.54|D_Value:71.35|Vol_Ratio:0.50|MA_Bull:10.00
006208.TW    | 富邦台50      | 257.45     | 🟢 持股           |      +29.52% |     13 |    50.08% | [P:0.58] MACD:8.25|D_Value:75.04|Vol_Ratio:1.14|BIAS_20:6.90
00631L.TW    | 元大台灣50正2   | 41.32      | 🚀 買進           |      +12.12% |      8 |    50.35% | [P:0.61] KD_Diff:14.83|BIAS_20:13.48|MA_Slope:1.22|BB_Upper:-1.51
00632R.TW    | 元大台灣50反1   | 9.65       | ❄️ 空倉          |       +4.08% |      8 |    57.20% | [P:0.45] MACD:-0.37|D_Value:22.89|BIAS_20:-7.05|MA_Slope:-0.68
