prev_eps_yoy,est_price,rev_yoy,advice,prev_year,prev_rev_yoy,symbol,price,gm,eps,pe,name,eps_yoy,prev_eps,status,date,om,expansion
16.48,130.95000000000002,869.35,⚪ 中性觀察,2025,-3.19,4973.TWO,183.0,N/A,7.46,20.962199312714777,廣穎,24500.0,2.11,🚀 利潤擴張,2026-03,N/A,23630.65
-44.61,25.199999999999996,98.33,⚪ 中性觀察,2025,-3.05,3669.TW,35.0,56.66%,0.7,20.833333333333336,圓展,6900.0,1.13,🏰 高護城河,2026-03,7.42%,6801.67
222.67,34.8,1231.2,⚠️ 追價風險,2025,50.65,6209.TW,90.3000030518,N/A,0.81,38.92241510853449,今國光,7900.0,0.92,🚀 利潤擴張,2026-03,N/A,6668.8
590.0,60.45,2528.26,⚪ 中性觀察,2025,26.61,3054.TW,66.0999984741,62.07%,1.41,16.401984733027295,立萬利,7150.0,1.96,🏰 高護城河,2026-03,-188.65%,4621.74
-73.68,55.95,273.9,💎 強力關注,2025,-6.18,1810.TW,20.0499992371,N/A,3.64,5.3753349161126005,和成,4133.33,0.05,🚀 利潤擴張,2026-03,N/A,3859.43
-731.58,-48.45,1606.45,⚪ 數據不足,2025,-12.31,1301.TW,49.5499992371,2.38%,0.51,0.0,台塑,5000.0,-1.58,🔄 轉虧為盈,2026-03,-5.76%,3393.55
660.0,12.3,474.41,⚪ 中性觀察,2025,3.99,4924.TWO,13.5,27.32%,0.35,16.46341463414634,欣厚-KY,3400.0,0.38,🚀 利潤擴張,2026-03,0.43%,2925.59
48.33,48.599999999999994,564.36,⚠️ 追價風險,2025,9.79,8042.TWO,177.5,N/A,2.17,54.783950617283956,金山電,3200.0,0.89,🚀 利潤擴張,2026-03,N/A,2635.64
0.0,96.44999999999999,405.72,💎 強力關注,2025,3.92,2855.TW,50.5999984741,82.96%,1.43,7.8693621266096425,統一證,2960.0,3.0,🏰 高護城河,2026-03,34.40%,2554.2799999999997
120.99,88.05,667.05,⚠️ 追價風險,2025,-4.69,3105.TWO,522.0,31.80%,1.26,88.9267461669506,穩懋,3050.0,4.0,🚀 利潤擴張,2026-03,13.87%,2382.95
41.38,274.05000000000007,395.99,💎 強力關注,2025,12.31,1419.TW,66.5,27.15%,9.37,3.6398467432950183,新紡,2733.33,4.11,🚀 利潤擴張,2026-03,10.89%,2337.34
175.0,9.150000000000002,726.37,⚠️ 追價風險,2025,10.09,2486.TW,265.0,15.86%,0.29,434.4262295081966,一詮,2900.0,0.22,🚀 利潤擴張,2026-03,1.35%,2173.63
110.31,34.800000000000004,205.99,💎 強力關注,2025,13.61,2380.TW,23.8627490997,24.41%,0.4,10.28566771538793,虹光,1900.0,0.72,🚀 利潤擴張,2026-03,0.24%,1694.01
-92.39,2.849999999999999,1769.87,⚠️ 追價風險,2025,-5.25,3016.TW,152.5,11.81%,0.35,802.6315789473687,嘉晶,3400.0,0.07,🚀 利潤擴張,2026-03,4.89%,1630.13
35.71,27.900000000000006,1383.79,⚠️ 追價風險,2025,0.12,1303.TW,154.5,9.25%,1.8,83.06451612903224,南亞,2900.0,0.57,🚀 利潤擴張,2026-03,2.06%,1516.21
275.0,18.599999999999998,1031.36,⚠️ 追價風險,2025,-14.09,2399.TW,50.9000015259,8.40%,1.48,41.04838832733872,映泰,2366.67,0.15,🚀 利潤擴張,2026-03,-12.67%,1335.3100000000002
50.0,7.65,974.97,⚠️ 追價風險,2025,-4.5,4711.TWO,17.3500003815,14.61%,0.23,34.01960859117647,永純,2200.0,0.15,🚀 利潤擴張,2026-03,2.47%,1225.03
250.0,6.15,142.36,⚠️ 追價風險,2025,-0.24,1718.TW,9.25,41.46%,0.17,22.560975609756095,中纖,1300.0,0.09,🚀 利潤擴張,2026-03,18.72%,1157.6399999999999
406.67,67.5,120.91,⚪ 中性觀察,2025,49.68,3219.TWO,72.0,69.49%,0.48,16.0,倚強科,1275.0,1.52,🏰 高護城河,2026-03,-15.39%,1154.09
-17.95,11.1,536.39,⚠️ 追價風險,2025,9.81,5291.TWO,62.7000007629,N/A,0.17,84.72973076067568,邑昇,1600.0,0.31,🚀 利潤擴張,2026-03,N/A,1063.6100000000001
-6.25,78.44999999999999,117.67,✅ 穩健價值,2025,4.27,3025.TW,69.6999969482,68.55%,0.6,13.326959263518164,星通,1100.0,3.45,🏰 高護城河,2026-03,43.45%,982.33
