prev_rev_yoy,rev_yoy,pe,prev_year,est_price,expansion,prev_eps,price,date,status,prev_eps_yoy,gm,name,symbol,eps_yoy,om,eps,advice
-3.19,869.35,21.191294387170675,2025,130.95000000000002,23630.65,2.11,185.0,2026-03,🚀 利潤擴張,16.48,N/A,廣穎,4973.TWO,24500.0,N/A,7.46,⚪ 中性觀察
-3.05,98.33,20.892856234583334,2025,25.199999999999996,6801.67,1.13,35.0999984741,2026-03,🏰 高護城河,-44.61,56.66%,圓展,3669.TW,6900.0,7.42%,0.7,⚪ 中性觀察
50.65,1231.2,38.362068965517246,2025,34.8,6668.8,0.92,89.0,2026-03,🚀 利潤擴張,222.67,N/A,今國光,6209.TW,7900.0,N/A,0.81,⚠️ 追價風險
26.61,2528.26,16.377171215880892,2025,60.45,4621.74,1.96,66.0,2026-03,🏰 高護城河,590.0,62.07%,立萬利,3054.TW,7150.0,-188.65%,1.41,⚪ 中性觀察
-6.18,273.9,5.388740048659518,2025,55.95,3859.43,0.05,20.1000003815,2026-03,🚀 利潤擴張,-73.68,N/A,和成,1810.TW,4133.33,N/A,3.64,💎 強力關注
-12.31,1606.45,0.0,2025,-48.45,3393.55,-1.58,54.5,2026-03,🔄 轉虧為盈,-731.58,2.38%,台塑,1301.TW,5000.0,-5.76%,0.51,⚪ 數據不足
3.99,474.41,17.560975144512195,2025,12.3,2925.59,0.38,14.3999996185,2026-03,🚀 利潤擴張,660.0,27.32%,欣厚-KY,4924.TWO,3400.0,0.43%,0.35,⚪ 中性觀察
9.79,564.36,59.25925925925927,2025,48.599999999999994,2635.64,0.89,192.0,2026-03,🚀 利潤擴張,48.33,N/A,金山電,8042.TWO,3200.0,N/A,2.17,⚠️ 追價風險
3.92,405.72,7.6438571579937795,2025,96.44999999999999,2554.2799999999997,3.0,49.1500015259,2026-03,🏰 高護城河,0.0,82.96%,統一證,2855.TW,2960.0,34.40%,1.43,💎 強力關注
-4.69,667.05,81.43100511073254,2025,88.05,2382.95,4.0,478.0,2026-03,🚀 利潤擴張,120.99,31.80%,穩懋,3105.TWO,3050.0,13.87%,1.26,⚠️ 追價風險
12.31,395.99,3.645320113524904,2025,274.05000000000007,2337.34,4.11,66.5999984741,2026-03,🚀 利潤擴張,41.38,27.15%,新紡,1419.TW,2733.33,10.89%,9.37,💎 強力關注
10.09,726.37,418.03278688524586,2025,9.150000000000002,2173.63,0.22,255.0,2026-03,🚀 利潤擴張,175.0,15.86%,一詮,2486.TW,2900.0,1.35%,0.29,⚠️ 追價風險
13.61,205.99,10.28566771538793,2025,34.800000000000004,1694.01,0.72,23.8627490997,2026-03,🚀 利潤擴張,110.31,24.41%,虹光,2380.TW,1900.0,0.24%,0.4,💎 強力關注
-5.25,1769.87,723.684210526316,2025,2.849999999999999,1630.13,0.07,137.5,2026-03,🚀 利潤擴張,-92.39,11.81%,嘉晶,3016.TW,3400.0,4.89%,0.35,⚠️ 追價風險
0.12,1383.79,83.87096774193547,2025,27.900000000000006,1516.21,0.57,156.0,2026-03,🚀 利潤擴張,35.71,9.25%,南亞,1303.TW,2900.0,2.06%,1.8,⚠️ 追價風險
-14.09,1031.36,43.79032196540324,2025,18.599999999999998,1335.3100000000002,0.15,54.2999992371,2026-03,🚀 利潤擴張,275.0,8.40%,映泰,2399.TW,2366.67,-12.67%,1.48,⚠️ 追價風險
-4.5,974.97,33.431371053137255,2025,7.65,1225.03,0.15,17.0499992371,2026-03,🚀 利潤擴張,50.0,14.61%,永純,4711.TWO,2200.0,2.47%,0.23,⚠️ 追價風險
-0.24,142.36,22.512194005365853,2025,6.15,1157.6399999999999,0.09,9.2299995422,2026-03,🚀 利潤擴張,250.0,41.46%,中纖,1718.TW,1300.0,18.72%,0.17,⚠️ 追價風險
49.68,120.91,15.844445122622224,2025,67.5,1154.09,1.52,71.3000030518,2026-03,🏰 高護城河,406.67,69.49%,倚強科,3219.TWO,1275.0,-15.39%,0.48,✅ 穩健價值
9.81,536.39,82.02702805797297,2025,11.1,1063.6100000000001,0.31,60.7000007629,2026-03,🚀 利潤擴張,-17.95,N/A,邑昇,5291.TWO,1600.0,N/A,0.17,⚠️ 追價風險
4.27,117.67,13.365201056577439,2025,78.44999999999999,982.33,3.45,69.9000015259,2026-03,🏰 高護城河,-6.25,68.55%,星通,3025.TW,1100.0,43.45%,0.6,✅ 穩健價值
2.46,1792.89,6.226203807390817,2025,669.75,807.1099999999999,13.06,278.0,2026-03,🚀 利潤擴張,110.31,N/A,十銓,4967.TW,2600.0,N/A,27.0,💎 強力關注
21.27,280.55,116.10169491525427,2025,17.699999999999996,733.74,1.23,137.0,2026-03,🚀 利潤擴張,46.43,24.10%,所羅門,2359.TW,1014.29,2.82%,0.78,⚠️ 追價風險
-40.26,496.76,0.0,2025,-85.05,714.3499999999999,-4.39,38.2999992371,2026-03,🔄 轉虧為盈,-566.18,-78.82%,中化生,1762.TW,1211.11,-143.69%,1.64,⚪ 數據不足
8.08,2018.02,101.85950413223142,2025,36.29999999999999,648.6500000000001,0.87,246.5,2026-03,🚀 利潤擴張,-51.41,32.33%,晶豪科,3006.TW,2666.67,20.25%,7.22,⚠️ 追價風險
-10.95,510.23,0.0,2025,-26.55,589.77,-0.84,174.5,2026-03,🔄 轉虧為盈,-266.0,17.62%,盟立,2464.TW,1100.0,-3.37%,0.24,⚪ 數據不足
69.84,1484.6,7.513416815742397,2025,586.95,583.2200000000003,12.98,294.0,2026-03,🏰 高護城河,140.33,61.62%,創見,2451.TW,2067.82,55.59%,18.93,💎 強力關注
58.31,224.53,6.173469582397957,2025,29.400000000000006,582.14,-0.07,12.1000003815,2026-03,🔄 轉虧為盈,89.09,-40.24%,台鋼建設,3521.TWO,806.67,-147.39%,2.12,💎 強力關注
-44.61,1184.49,15.392156675735293,2025,30.6,579.1500000000001,1.01,31.3999996185,2026-03,🚀 利潤擴張,-68.84,20.96%,南港,2101.TW,1763.64,4.39%,1.86,✅ 穩健價值
-2.21,543.13,0.0,2025,-36.6,556.87,-1.02,44.0,2026-03,🔄 轉虧為盈,-197.14,14.87%,高鋒,4510.TWO,1100.0,-1.97%,0.2,⚪ 數據不足
-19.66,688.27,42.09523882180952,2025,15.75,511.73,0.7,44.2000007629,2026-03,🚀 利潤擴張,-40.68,28.61%,微端,3285.TWO,1200.0,8.69%,0.26,⚠️ 追價風險
20.92,43.25,39.76945244956772,2025,52.05,487.52,1.58,138.0,2026-03,🚀 利潤擴張,222.58,N/A,GOGOLOOK,6902.TW,530.77,N/A,1.64,⚠️ 追價風險
5.06,335.75,0.0,2025,-7.499999999999999,484.25,-0.16,15.1000003815,2026-03,🔄 轉虧為盈,74.6,N/A,鑫永洋,6241.TWO,820.0,N/A,0.46,⚪ 數據不足
-6.1,727.58,36.44067796610169,2025,8.850000000000001,472.41999999999996,0.31,21.5,2026-03,🚀 利潤擴張,-42.59,N/A,綠電,8440.TWO,1200.0,N/A,0.22,⚠️ 追價風險
-41.11,-25.82,0.0,2025,0.0,444.74,2.72,76.9000015259,2026-03,🧐 疑業外收益,-1.45,30.54%,富田-創,4590.TW,418.92,-0.34%,1.21,⚪ 數據不足
11.66,187.7,43.275862726637925,2025,17.400000000000002,412.3,0.49,50.2000007629,2026-03,🚀 利潤擴張,-34.67,36.04%,麗正,2302.TW,600.0,11.05%,0.25,⚠️ 追價風險
9.55,646.87,75.36764705882354,2025,40.8,390.63,0.88,205.0,2026-03,🚀 利潤擴張,576.92,41.86%,華邦電,2344.TW,1037.5,15.37%,2.25,⚠️ 追價風險
28.36,6.45,0.0,2025,0.0,381.05,1.44,38.5,2026-03,🚀 利潤擴張,5.88,N/A,宏�砦C戲-創,6908.TW,387.5,N/A,0.41,⚪ 數據不足
-15.3,359.78,18.345588796286766,2025,81.60000000000001,356.01,2.19,99.8000030518,2026-03,🚀 利潤擴張,-49.65,N/A,應廣,6716.TWO,715.79,N/A,1.59,⚪ 中性觀察
9.95,37.41,23.269230769230774,2025,19.499999999999996,342.59000000000003,0.73,30.25,2026-03,🚀 利潤擴張,207.35,N/A,寶碩,5210.TWO,380.0,N/A,0.24,⚠️ 追價風險
