advice,price,est_price,prev_eps,eps,prev_year,pe,om,name,rev_yoy,symbol,date,prev_eps_yoy,eps_yoy,status,gm,expansion,prev_rev_yoy
⚪ 中性觀察,182.0,130.95000000000002,2.11,7.46,2025,20.847651775486828,N/A,廣穎,869.35,4973.TWO,2026-03,16.48,24500.0,🚀 利潤擴張,N/A,23630.65,-3.19
⚪ 中性觀察,34.4000015259,25.199999999999996,1.13,0.7,2025,20.47619138446429,7.42%,圓展,98.33,3669.TW,2026-03,-44.61,6900.0,🏰 高護城河,56.66%,6801.67,-3.05
⚠️ 追價風險,89.4000015259,34.8,0.92,0.81,2025,38.53448341633621,N/A,今國光,1231.2,6209.TW,2026-03,222.67,7900.0,🚀 利潤擴張,N/A,6668.8,50.65
⚪ 中性觀察,64.8000030518,60.45,1.96,1.41,2025,16.07940522377171,-188.65%,立萬利,2528.26,3054.TW,2026-03,590.0,7150.0,🏰 高護城河,62.07%,4621.74,26.61
💎 強力關注,19.8999996185,55.95,0.05,3.64,2025,5.335120541152815,N/A,和成,273.9,1810.TW,2026-03,-73.68,4133.33,🚀 利潤擴張,N/A,3859.43,-6.18
⚪ 數據不足,58.0,-48.45,-1.58,0.51,2025,0.0,-5.76%,台塑,1606.45,1301.TW,2026-03,-731.58,5000.0,🔄 轉虧為盈,2.38%,3393.55,-12.31
⚪ 中性觀察,13.3000001907,12.3,0.38,0.35,2025,16.219512427682925,0.43%,欣厚-KY,474.41,4924.TWO,2026-03,660.0,3400.0,🚀 利潤擴張,27.32%,2925.59,3.99
⚠️ 追價風險,200.5,48.599999999999994,0.89,2.17,2025,61.88271604938272,N/A,金山電,564.36,8042.TWO,2026-03,48.33,3200.0,🚀 利潤擴張,N/A,2635.64,9.79
💎 強力關注,50.4000015259,96.44999999999999,3.0,1.43,2025,7.838258402161743,34.40%,統一證,405.72,2855.TW,2026-03,0.0,2960.0,🏰 高護城河,82.96%,2554.2799999999997,3.92
⚠️ 追價風險,463.0,88.05,4.0,1.26,2025,78.8756388415673,13.87%,穩懋,667.05,3105.TWO,2026-03,120.99,3050.0,🚀 利潤擴張,31.80%,2382.95,-4.69
💎 強力關注,66.6999969482,274.05000000000007,4.11,9.37,2025,3.6507934837547884,10.89%,新紡,395.99,1419.TW,2026-03,41.38,2733.33,🚀 利潤擴張,27.15%,2337.34,12.31
⚠️ 追價風險,248.5,9.150000000000002,0.22,0.29,2025,407.3770491803278,1.35%,一詮,726.37,2486.TW,2026-03,175.0,2900.0,🚀 利潤擴張,15.86%,2173.63,10.09
💎 強力關注,23.8627490997,34.800000000000004,0.72,0.4,2025,10.28566771538793,0.24%,虹光,205.99,2380.TW,2026-03,110.31,1900.0,🚀 利潤擴張,24.41%,1694.01,13.61
⚠️ 追價風險,133.5,2.849999999999999,0.07,0.35,2025,702.6315789473687,4.89%,嘉晶,1769.87,3016.TW,2026-03,-92.39,3400.0,🚀 利潤擴張,11.81%,1630.13,-5.25
⚠️ 追價風險,155.0,27.900000000000006,0.57,1.8,2025,83.33333333333331,2.06%,南亞,1383.79,1303.TW,2026-03,35.71,2900.0,🚀 利潤擴張,9.25%,1516.21,0.12
⚠️ 追價風險,52.2999992371,18.599999999999998,0.15,1.48,2025,42.17741873959678,-12.67%,映泰,1031.36,2399.TW,2026-03,275.0,2366.67,🚀 利潤擴張,8.40%,1335.3100000000002,-14.09
⚠️ 追價風險,17.2000007629,7.65,0.15,0.23,2025,33.725491691960784,2.47%,永純,974.97,4711.TWO,2026-03,50.0,2200.0,🚀 利潤擴張,14.61%,1225.03,-4.5
⚠️ 追價風險,10.1499996185,6.15,0.09,0.17,2025,24.756096630487804,18.72%,中纖,142.36,1718.TW,2026-03,250.0,1300.0,🚀 利潤擴張,41.46%,1157.6399999999999,-0.24
✅ 穩健價值,71.0,67.5,1.52,0.48,2025,15.777777777777779,-15.39%,倚強科,120.91,3219.TWO,2026-03,406.67,1275.0,🏰 高護城河,69.49%,1154.09,49.68
⚠️ 追價風險,59.2000007629,11.1,0.31,0.17,2025,80.00000103094594,N/A,邑昇,536.39,5291.TWO,2026-03,-17.95,1600.0,🚀 利潤擴張,N/A,1063.6100000000001,9.81
✅ 穩健價值,69.5999984741,78.44999999999999,3.45,0.6,2025,13.307839096386235,43.45%,星通,117.67,3025.TW,2026-03,-6.25,1100.0,🏰 高護城河,68.55%,982.33,4.27
💎 強力關注,276.0,669.75,13.06,27.0,2025,6.1814109742441214,N/A,十銓,1792.89,4967.TW,2026-03,110.31,2600.0,🚀 利潤擴張,N/A,807.1099999999999,2.46
