gm,est_price,symbol,prev_year,eps_yoy,prev_eps_yoy,rev_yoy,prev_eps,advice,name,status,pe,prev_rev_yoy,eps,date,expansion,om,price
N/A,130.95000000000002,4973.TWO,2025,24500.0,16.48,869.35,2.11,⚪ 中性觀察,廣穎,🚀 利潤擴張,19.301260022909506,-3.19,7.46,2026-03,23630.65,N/A,168.5
56.66%,25.199999999999996,3669.TW,2025,6900.0,-44.61,98.33,1.13,⚪ 中性觀察,圓展,🏰 高護城河,19.999999091726192,-3.05,0.7,2026-03,6801.67,7.42%,33.5999984741
N/A,34.8,6209.TW,2025,7900.0,222.67,1231.2,0.92,⚠️ 追價風險,今國光,🚀 利潤擴張,34.137929719051726,50.65,0.81,2026-03,6668.8,N/A,79.1999969482
62.07%,60.45,3054.TW,2025,7150.0,590.0,2528.26,1.96,✅ 穩健價值,立萬利,🏰 高護城河,15.558312844392058,26.61,1.41,2026-03,4621.74,-188.65%,62.7000007629
N/A,55.95,1810.TW,2025,4133.33,-73.68,273.9,0.05,💎 強力關注,和成,🚀 利潤擴張,5.335120541152815,-6.18,3.64,2026-03,3859.43,N/A,19.8999996185
2.38%,-48.45,1301.TW,2025,5000.0,-731.58,1606.45,-1.58,⚪ 數據不足,台塑,🔄 轉虧為盈,0.0,-12.31,0.51,2026-03,3393.55,-5.76%,53.2000007629
27.32%,12.3,4924.TWO,2025,3400.0,660.0,474.41,0.38,⚪ 中性觀察,欣厚-KY,🚀 利潤擴張,16.95121904695122,3.99,0.35,2026-03,2925.59,0.43%,13.8999996185
N/A,48.599999999999994,8042.TWO,2025,3200.0,48.33,564.36,0.89,⚠️ 追價風險,金山電,🚀 利潤擴張,52.1604938271605,9.79,2.17,2026-03,2635.64,N/A,169.0
82.96%,96.44999999999999,2855.TW,2025,2960.0,0.0,405.72,3.0,💎 強力關注,統一證,🏰 高護城河,7.822705946671851,3.92,1.43,2026-03,2554.2799999999997,34.40%,50.2999992371
31.80%,88.05,3105.TWO,2025,3050.0,120.99,667.05,4.0,⚠️ 追價風險,穩懋,🚀 利潤擴張,70.18739352640544,-4.69,1.26,2026-03,2382.95,13.87%,412.0
27.15%,274.05000000000007,1419.TW,2025,2733.33,41.38,395.99,4.11,💎 強力關注,新紡,🚀 利潤擴張,3.5577449370552814,12.31,9.37,2026-03,2337.34,10.89%,65.0
15.86%,9.150000000000002,2486.TW,2025,2900.0,175.0,726.37,0.22,⚠️ 追價風險,一詮,🚀 利潤擴張,368.03278688524586,10.09,0.29,2026-03,2173.63,1.35%,224.5
24.41%,34.800000000000004,2380.TW,2025,1900.0,110.31,205.99,0.72,💎 強力關注,虹光,🚀 利潤擴張,9.267241379310343,13.61,0.4,2026-03,1694.01,0.24%,21.5
11.81%,2.849999999999999,3016.TW,2025,3400.0,-92.39,1769.87,0.07,⚠️ 追價風險,嘉晶,🚀 利潤擴張,639.4736842105265,-5.25,0.35,2026-03,1630.13,4.89%,121.5
9.25%,27.900000000000006,1303.TW,2025,2900.0,35.71,1383.79,0.57,⚠️ 追價風險,南亞,🚀 利潤擴張,81.4516129032258,0.12,1.8,2026-03,1516.21,2.06%,151.5
8.40%,18.599999999999998,2399.TW,2025,2366.67,275.0,1031.36,0.15,⚠️ 追價風險,映泰,🚀 利潤擴張,38.62903348862904,-14.09,1.48,2026-03,1335.3100000000002,-12.67%,47.9000015259
14.61%,7.65,4711.TWO,2025,2200.0,50.0,974.97,0.15,⚠️ 追價風險,永純,🚀 利潤擴張,32.84313725490196,-4.5,0.23,2026-03,1225.03,2.47%,16.75
41.46%,6.15,1718.TW,2025,1300.0,250.0,142.36,0.09,⚠️ 追價風險,中纖,🚀 利潤擴張,29.878048780487802,-0.24,0.17,2026-03,1157.6399999999999,18.72%,12.25
69.49%,67.5,3219.TWO,2025,1275.0,406.67,120.91,1.52,✅ 穩健價值,倚強科,🏰 高護城河,15.555555555555555,49.68,0.48,2026-03,1154.09,-15.39%,70.0
N/A,11.1,5291.TWO,2025,1600.0,-17.95,536.39,0.31,⚠️ 追價風險,邑昇,🚀 利潤擴張,72.97297297297297,9.81,0.17,2026-03,1063.6100000000001,N/A,54.0
68.55%,78.44999999999999,3025.TW,2025,1100.0,-6.25,117.67,3.45,✅ 穩健價值,星通,🏰 高護城河,12.829827624110901,4.27,0.6,2026-03,982.33,43.45%,67.0999984741
N/A,669.75,4967.TW,2025,2600.0,110.31,1792.89,13.06,💎 強力關注,十銓,🚀 利潤擴張,5.912653975363942,2.46,27.0,2026-03,807.1099999999999,N/A,264.0
24.10%,17.699999999999996,2359.TW,2025,1014.29,46.43,280.55,1.23,⚠️ 追價風險,所羅門,🚀 利潤擴張,108.89830508474579,21.27,0.78,2026-03,733.74,2.82%,128.5
-78.82%,-85.05,1762.TW,2025,1211.11,-566.18,496.76,-4.39,⚪ 數據不足,中化生,🔄 轉虧為盈,0.0,-40.26,1.64,2026-03,714.3499999999999,-143.69%,37.0499992371
32.33%,36.29999999999999,3006.TW,2025,2666.67,-51.41,2018.02,0.87,⚠️ 追價風險,晶豪科,🚀 利潤擴張,92.35537190082647,8.08,7.22,2026-03,648.6500000000001,20.25%,223.5
