date,eps_yoy,gm,prev_eps_yoy,rev_yoy,eps,prev_year,symbol,name,price,expansion,om,pe,status,est_price,prev_rev_yoy,advice,prev_eps
2026-03,24500.0,N/A,16.48,869.35,7.46,2025,4973.TWO,廣穎,173.5,23630.65,N/A,19.873997709049256,🚀 利潤擴張,130.95000000000002,-3.19,⚪ 中性觀察,2.11
2026-03,6900.0,56.66%,-44.61,98.33,0.7,2025,3669.TW,圓展,34.0,6801.67,7.42%,20.23809523809524,🏰 高護城河,25.199999999999996,-3.05,⚪ 中性觀察,1.13
2026-03,7900.0,N/A,222.67,1231.2,0.81,2025,6209.TW,今國光,80.6999969482,6668.8,N/A,34.784481443189655,🚀 利潤擴張,34.8,50.65,⚠️ 追價風險,0.92
2026-03,7150.0,62.07%,590.0,2528.26,1.41,2025,3054.TW,立萬利,62.7999992371,4621.74,-188.65%,15.583126361563275,🏰 高護城河,60.45,26.61,✅ 穩健價值,1.96
2026-03,4133.33,N/A,-73.68,273.9,3.64,2025,1810.TW,和成,21.3500003815,3859.43,N/A,5.723860692091153,🚀 利潤擴張,55.95,-6.18,💎 強力關注,0.05
2026-03,5000.0,2.38%,-731.58,1606.45,0.51,2025,1301.TW,台塑,54.5,3393.55,-5.76%,0.0,🔄 轉虧為盈,-48.45,-12.31,⚪ 數據不足,-1.58
2026-03,3400.0,27.32%,660.0,474.41,0.35,2025,4924.TWO,欣厚-KY,14.25,2925.59,0.43%,17.378048780487802,🚀 利潤擴張,12.3,3.99,⚪ 中性觀察,0.38
2026-03,3200.0,N/A,48.33,564.36,2.17,2025,8042.TWO,金山電,185.5,2635.64,N/A,57.25308641975309,🚀 利潤擴張,48.599999999999994,9.79,⚠️ 追價風險,0.89
2026-03,2960.0,82.96%,0.0,405.72,1.43,2025,2855.TW,統一證,50.0,2554.2799999999997,34.40%,7.776049766718508,🏰 高護城河,96.44999999999999,3.92,💎 強力關注,3.0
2026-03,3050.0,31.80%,120.99,667.05,1.26,2025,3105.TWO,穩懋,426.0,2382.95,13.87%,72.57240204429301,🚀 利潤擴張,88.05,-4.69,⚠️ 追價風險,4.0
2026-03,2733.33,27.15%,41.38,395.99,9.37,2025,1419.TW,新紡,65.0,2337.34,10.89%,3.5577449370552814,🚀 利潤擴張,274.05000000000007,12.31,💎 強力關注,4.11
