id,name,price,signal,pnl,count,win_rate,reason
6493.TWO,雷虎生,35.5499992371,🔥 買入 (📈 標準 V3),236.76,4,50.0,[P:0.95/50.0] [🚀 極強] 趨勢突破確認
6586.TWO,醣基,132.5,☁️ 觀望,171.2,4,75.0,[P:0.95/50.0] [📈 穩定] 等待機會
4916.TW,事欣科,102.5,🟡 預警 (🚀 動能初現),116.27,4,100.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.3%)
3167.TW,大量,842.0,🟡 預警 (🚀 動能初現),115.39,8,50.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:5.8%)
7810.TWO,捷創科技,207.5,🟡 預警 (🚀 動能初現),88.72,9,44.44,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:5.3%)
4720.TW,德淵,25.3500003815,🟡 預警 (🚀 動能初現),61.2,5,80.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.5%)
3563.TW,牧德,708.0,🟡 預警 (🚀 動能初現),60.2,7,57.14,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.5%)
7887.TWO,宇川精材,178.0,🟡 預警 (🚀 動能初現),57.0,1,100.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:18.7%)
6847.TWO,普瑞博,78.0,☁️ 觀望,40.63,5,60.0,[P:0.95/8.0] [📉 轉弱] 等待機會
5222.TW,全訊,126.5,🟡 預警 (🚀 動能初現),38.78,4,25.0,[P:0.95/8.0] [⏳ 猶豫] 帶量突破短高 (漲幅:3.7%)
2640.TWO,大車隊,159.5,🟡 預警 (🚀 動能初現),38.59,7,42.86,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:5.6%)
00733.TW,富邦臺灣中小,78.0,🟡 預警 (🚀 動能初現),36.99,8,62.5,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:4.0%)
6867.TWO,坦德科技,22.3999996185,🟡 預警 (🚀 動能初現),33.95,8,12.5,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:4.9%)
3004.TW,豐達科,134.0,🟡 預警 (🚀 動能初現),33.31,6,50.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:4.3%)
2236.TW,百達-KY,146.5,☁️ 觀望,26.42,5,60.0,[P:0.95/8.0] [🚀 極強] 等待機會
6483.TWO,原創生醫,14.0,🟡 預警 (⚡ 糾結噴發),23.42,5,60.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
2376.TW,技嘉,344.0,🟡 預警 (🚀 動能初現),14.41,6,33.33,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.6%)
4558.TWO,寶緯,18.5499992371,🟡 預警 (🚀 動能初現),4.81,4,50.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.1%)
3141.TWO,晶宏,78.0999984741,🟡 預警 (🚀 動能初現),3.85,6,33.33,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:5.4%)
4746.TW,台耀,53.9000015259,💎 持股,3.73,7,28.57,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
3218.TWO,大學光,137.0,🟡 預警 (⚡ 糾結噴發),3.08,4,25.0,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
8458.TWO,影一,15.3999996185,🟡 預警 (🚀 動能初現),2.43,7,28.57,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:14.1%)
6650.TWO,帝圖,30.6499996185,🟡 預警 (🚀 動能初現),2.19,5,40.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:7.5%)
1525.TW,江申,67.4000015259,🟡 預警 (🚀 動能初現),2.02,4,50.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:5.8%)
3031.TW,佰鴻,33.5,🔥 買入 (📈 標準 V3),1.81,9,33.33,[P:0.95/8.0] [🚀 極強] 趨勢突破確認
8016.TW,矽創,332.0,🟡 預警 (🚀 動能初現),1.24,8,12.5,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.4%)
7803.TW,雲象科技-創,23.75,🟡 預警 (⚡ 糾結噴發),0,0,0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
7913.TWO,通寶半導體,333.5,☁️ 觀望,0,0,0,[P:0.95/8.0] [📉 轉弱] 等待機會
7922.TWO,源點*,111.0,☁️ 觀望,0,0,0,[P:0.95/8.0] [📉 轉弱] 等待機會
2480.TW,敦陽科,156.0,🟡 預警 (🚀 動能初現),-0.44,7,28.57,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.7%)
4546.TWO,長亨,113.0,🟡 預警 (🚀 動能初現),-0.59,7,42.86,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:7.1%)
8011.TW,台通,17.7000007629,🟡 預警 (🚀 動能初現),-1.33,5,40.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.2%)
1110.TW,東泥,15.6499996185,🟡 預警 (🚀 動能初現),-3.1,3,33.33,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:4.0%)
9958.TW,世紀鋼,117.5,🟡 預警 (🚀 動能初現),-4.3,4,50.0,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:4.0%)
6469.TWO,大樹,74.9000015259,🟡 預警 (⚡ 糾結噴發),-4.62,4,25.0,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6929.TWO,佑全,23.75,🟡 預警 (⚡ 糾結噴發),-5.22,6,33.33,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
4433.TWO,興采,21.2000007629,🟡 預警 (🚀 動能初現),-6.81,6,50.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.4%)
4503.TWO,金雨,41.7000007629,🟡 預警 (🚀 動能初現),-7.43,5,40.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:6.9%)
8466.TW,美吉吉-KY,16.6499996185,🟡 預警 (🚀 動能初現),-8.51,4,50.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.1%)
4190.TW,佐登-KY,25.3999996185,🟡 預警 (🚀 動能初現),-8.81,5,40.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:4.3%)
4532.TW,瑞智,28.1499996185,💎 持股,-10.06,8,37.5,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
3356.TW,奇偶,62.7000007629,🔥 買入 (📈 標準 V3),-11.14,6,50.0,[P:0.95/8.0] [🚀 極強] 趨勢突破確認
4167.TWO,松瑞藥,20.4500007629,🟡 預警 (⚡ 糾結噴發),-11.63,7,42.86,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
6491.TW,晶碩,345.0,💎 持股,-11.64,10,20.0,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
3010.TW,華立,129.5,🟡 預警 (🚀 動能初現),-13.88,8,25.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:2.8%)
6143.TWO,振曜,94.0,🟡 預警 (⚡ 糾結噴發),-13.98,6,16.67,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
6134.TWO,萬旭,36.2000007629,🟡 預警 (🚀 動能初現),-14.93,5,20.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:4.6%)
1776.TW,展宇,20.4500007629,🟡 預警 (🚀 動能初現),-15.84,8,12.5,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:3.8%)
6114.TWO,久威,30.6499996185,🟡 預警 (🚀 動能初現),-16.32,4,25.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:4.3%)
8227.TWO,巨有科技,214.5,🟡 預警 (⚡ 糾結噴發),-17.36,6,33.33,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
4726.TWO,永昕,25.6000003815,☁️ 觀望,-17.5,5,20.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3689.TWO,湧德,120.0,🟡 預警 (🚀 動能初現),-17.72,7,28.57,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.4%)
8462.TW,柏文,143.0,🟡 預警 (⚡ 糾結噴發),-20.17,6,16.67,[P:0.95/8.0] [🚀 極強] 均線糾結且短均線轉強
1623.TW,大東電,221.0,🟡 預警 (🚀 動能初現),-21.14,2,0.0,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:4.0%)
7893.TWO,睿信,201.0,🟡 預警 (⚡ 糾結噴發),-23.88,2,0.0,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
7779.TWO,鍇睿國際,13.0,🟡 預警 (🚀 動能初現),-24.59,6,0.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.2%)
3325.TWO,旭品,13.3000001907,🟡 預警 (🚀 動能初現),-25.2,5,40.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:8.1%)
7816.TWO,來穎,66.8000030518,🟡 預警 (🚀 動能初現),-25.88,4,0.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:9.5%)
6214.TW,精誠,134.0,🟡 預警 (🚀 動能初現),-27.84,8,12.5,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.1%)
4589.TWO,碩陽電機,39.4500007629,🟡 預警 (⚡ 糾結噴發),-35.83,8,12.5,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
7507.TWO,環拓科技,21.25,🟡 預警 (🚀 動能初現),-36.98,4,0.0,[P:0.95/8.0] [🚀 極強] 帶量突破短高 (漲幅:3.4%)
6797.TWO,圓點奈米,14.0,🟡 預警 (🚀 動能初現),-48.29,7,14.29,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:2.6%)
2923.TW,鼎固-KY,27.3500003815,💎 持股,-53.19,11,27.27,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
7758.TWO,睿騰能源,46.5,🟡 預警 (🚀 動能初現),-54.15,7,28.57,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:3.3%)
