====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260701 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 15.08      | ❄️ 空倉          |       +7.59% |     10 |    54.05% | [P:0.47] RSI:63.18|MACD:0.24|KD_Diff:-2.90|BIAS_20:2.75
00401A.TW    | 主動摩根台灣鑫收   | 13.69      | 🟢 持股           |      +10.77% |      7 |    61.11% | [P:0.56] RSI:59.60|MACD:0.16|KD_Diff:-6.51|BIAS_20:0.17
00403A.TW    | 主動統一升級50   | 11.15      | ❄️ 空倉          |       +6.59% |      2 |    54.17% | [P:0.47] [⚠️降級預設] RSI:68.56|MACD:0.18|KD_Diff:-1.84|D_Value:54.76
0050.TW      | 元大台灣50     | 109.35     | 🟢 持股           |      +32.69% |     31 |    48.75% | [P:0.59] Vol_Ratio:0.61|BIAS_20:3.69|MA_Slope:0.17|BB_Upper:2.26
0052.TW      | 富邦科技       | 64.40      | ❄️ 空倉          |      +36.87% |     16 |    51.10% | [P:0.47] MACD:1.45|D_Value:51.84|Vol_Ratio:0.89|BB_Upper:2.37
0056.TW      | 元大高股息      | 52.75      | ❄️ 空倉          |      +20.26% |     20 |    51.46% | [P:0.42] KD_Diff:-7.31|Vol_Ratio:1.11|BB_Upper:3.87|MA_Bull:0.00
006201.TWO   | 元大富櫃50     | 47.82      | 🚀 買進           |      +54.29% |     34 |    49.90% | [P:0.51] Vol_Ratio:1.06|MA_Slope:-0.18|BB_Upper:7.41|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 199.15     | 🚀 買進           |      +38.47% |     38 |    51.19% | [P:0.56] KD_Diff:1.31|D_Value:55.10|Vol_Ratio:2.28|MA_Bull:0.00
006208.TW    | 富邦台50      | 253.65     | 🟢 持股           |      +27.82% |     15 |    50.07% | [P:0.55] MACD:6.10|D_Value:52.81|Vol_Ratio:0.72|BIAS_20:3.82
00631L.TW    | 元大台灣50正2   | 39.48      | 🟢 持股           |      +10.48% |     13 |    50.27% | [P:0.59] KD_Diff:-1.05|BIAS_20:6.37|MA_Slope:0.21|BB_Upper:5.40
00632R.TW    | 元大台灣50反1   | 9.85       | ❄️ 空倉          |       +4.08% |      8 |    57.20% | [P:0.38] MACD:-0.28|D_Value:43.97|BIAS_20:-3.76|MA_Slope:-0.17
00633L.TW    | 富邦上証正2     | 52.50      | ❄️ 空倉          |      +15.42% |     18 |    49.48% | [P:0.46] MACD:0.08|KD_Diff:-2.90|MA_Slope:-0.20|BB_Upper:5.75
00634R.TW    | 富邦上証反1     | 3.02       | ❄️ 空倉          |       -6.90% |     14 |    52.69% | [P:0.39] KD_Diff:0.91|D_Value:49.54|Vol_Ratio:0.18|MA_Slope:0.05
00635U.TW    | 期元大S&P黃金   | 41.46      | 🟢 持股           |      +26.91% |     21 |    51.62% | [P:0.53] MACD:-1.44|D_Value:20.21|Vol_Ratio:0.57|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 21.72      | ❄️ 空倉          |      +12.87% |     16 |    50.11% | [P:0.50] MACD:0.06|KD_Diff:-3.21|BIAS_20:0.43|BB_Upper:5.72
00638R.TW    | 元大滬深300反1  | 6.52       | ❄️ 空倉          |       -3.54% |      8 |    53.06% | [P:0.43] RSI:42.86|MACD:-0.01|KD_Diff:3.87|D_Value:52.55
00640L.TW    | 富邦日本正2     | 104.70     | ❄️ 空倉          |       +4.12% |     32 |    50.19% | [P:0.46] RSI:62.92|D_Value:49.42|Vol_Ratio:0.87|BIAS_20:2.20
00641R.TW    | 富邦日本反1     | 3.79       | ❄️ 空倉          |       +2.21% |     32 |    56.15% | [P:0.40] RSI:36.92|KD_Diff:7.01|BIAS_20:-0.98|MA_Slope:-0.13
00642U.TW    | 期元大S&P石油   | 22.83      | 🟢 持股           |     +107.13% |     39 |    52.79% | [P:0.71] RSI:18.79|D_Value:9.47|Vol_Ratio:0.43|MA_Slope:-1.13
00646.TW     | 元大S&P500   | 74.95      | 🚀 買進           |      +11.27% |     34 |    49.65% | [P:0.54] KD_Diff:11.89|D_Value:61.73|BIAS_20:1.13|MA_Bull:10.00
00648R.TW    | 元大S&P500反1 | 4.02       | 🟢 持股           |       +0.46% |     11 |    57.79% | [P:0.51] MACD:-0.00|D_Value:61.02|BIAS_20:-0.14|MA_Slope:0.09
00650L.TW    | 復華香港正2     | 13.85      | 🟢 持股           |      +11.61% |     31 |    49.78% | [P:0.71] RSI:31.69|MACD:-0.82|MA_Slope:-1.18|MA_Bull:0.00
00651R.TW    | 復華香港反1     | 5.82       | ❄️ 空倉          |      +11.71% |     18 |    52.92% | [P:0.34] RSI:67.01|D_Value:85.16|BIAS_20:5.14|MA_Slope:0.59
00653L.TW    | 富邦印度正2     | 46.27      | ❄️ 空倉          |       +7.91% |     42 |    48.87% | [P:0.38] RSI:64.50|KD_Diff:-9.56|Vol_Ratio:1.05|BB_Upper:3.99
