prev_eps,status,pe,eps_yoy,rev_yoy,expansion,date,prev_rev_yoy,name,price,eps,gm,om,est_price,advice,prev_year,prev_eps_yoy,symbol
2.11,🚀 利潤擴張,18.785796105383735,24500.0,869.35,23630.65,2026-03,-3.19,廣穎,164.0,7.46,N/A,N/A,130.95000000000002,⚪ 中性觀察,2025,16.48,4973.TWO
1.13,🏰 高護城河,21.10119093029762,6900.0,98.33,6801.67,2026-03,-3.05,圓展,35.4500007629,0.7,56.66%,7.42%,25.199999999999996,⚪ 中性觀察,2025,-44.61,3669.TW
0.92,🚀 利潤擴張,34.61207028094828,7900.0,1231.2,6668.8,2026-03,50.65,今國光,80.3000030518,0.81,N/A,N/A,34.8,⚠️ 追價風險,2025,222.67,6209.TW
1.96,🏰 高護城河,15.210917924838709,7150.0,2528.26,4621.74,2026-03,26.61,立萬利,61.2999992371,1.41,62.07%,-188.65%,60.45,✅ 穩健價值,2025,590.0,3054.TW
0.05,🚀 利潤擴張,5.670241184584451,4133.33,273.9,3859.43,2026-03,-6.18,和成,21.1499996185,3.64,N/A,N/A,55.95,💎 強力關注,2025,-73.68,1810.TW
-1.58,🔄 轉虧為盈,0.0,5000.0,1606.45,3393.55,2026-03,-12.31,台塑,59.7000007629,0.51,2.38%,-5.76%,-48.45,⚪ 數據不足,2025,-731.58,1301.TW
0.38,🚀 利潤擴張,17.439024622804876,3400.0,474.41,2925.59,2026-03,3.99,欣厚-KY,14.3000001907,0.35,27.32%,0.43%,12.3,⚪ 中性觀察,2025,660.0,4924.TWO
0.89,🚀 利潤擴張,63.73456790123457,3200.0,564.36,2635.64,2026-03,9.79,金山電,206.5,2.17,N/A,N/A,48.599999999999994,⚠️ 追價風險,2025,48.33,8042.TWO
3.0,🏰 高護城河,7.737169517884915,2960.0,405.72,2554.2799999999997,2026-03,3.92,統一證,49.75,1.43,82.96%,34.40%,96.44999999999999,💎 強力關注,2025,0.0,2855.TW
4.0,🚀 利潤擴張,70.01703577512777,3050.0,667.05,2382.95,2026-03,-4.69,穩懋,411.0,1.26,31.80%,13.87%,88.05,⚠️ 追價風險,2025,120.99,3105.TWO
4.11,🚀 利潤擴張,3.541324408768472,2733.33,395.99,2337.34,2026-03,12.31,新紡,64.6999969482,9.37,27.15%,10.89%,274.05000000000007,💎 強力關注,2025,41.38,1419.TW
0.22,🚀 利潤擴張,416.3934426229508,2900.0,726.37,2173.63,2026-03,10.09,一詮,254.0,0.29,15.86%,1.35%,9.150000000000002,⚠️ 追價風險,2025,175.0,2486.TW
0.72,🚀 利潤擴張,8.620689655172413,1900.0,205.99,1694.01,2026-03,13.61,虹光,20.0,0.4,24.41%,0.24%,34.800000000000004,💎 強力關注,2025,110.31,2380.TW
