advice,est_price,rev_yoy,eps,om,prev_eps,prev_year,date,prev_eps_yoy,prev_rev_yoy,status,gm,symbol,price,eps_yoy,expansion,pe,name
⚪ 中性觀察,130.95000000000002,869.35,7.46,N/A,2.11,2025,2026-03,16.48,-3.19,🚀 利潤擴張,N/A,4973.TWO,171.0,24500.0,23630.65,19.58762886597938,廣穎
⚪ 中性觀察,25.199999999999996,98.33,0.7,7.42%,1.13,2025,2026-03,-44.61,-3.05,🏰 高護城河,56.66%,3669.TW,35.6500015259,6900.0,6801.67,21.22023900351191,圓展
⚠️ 追價風險,34.8,1231.2,0.81,N/A,0.92,2025,2026-03,222.67,50.65,🚀 利潤擴張,N/A,6209.TW,80.0,7900.0,6668.8,34.48275862068966,今國光
✅ 穩健價值,60.45,2528.26,1.41,-188.65%,1.96,2025,2026-03,590.0,26.61,🏰 高護城河,62.07%,3054.TW,64.3000030518,7150.0,4621.74,15.955335744863524,立萬利
💎 強力關注,55.95,273.9,3.64,N/A,0.05,2025,2026-03,-73.68,-6.18,🚀 利潤擴張,N/A,1810.TW,23.25,4133.33,3859.43,6.233243967828418,和成
⚪ 數據不足,-48.45,1606.45,0.51,-5.76%,-1.58,2025,2026-03,-731.58,-12.31,🔄 轉虧為盈,2.38%,1301.TW,62.0999984741,5000.0,3393.55,0.0,台塑
⚪ 中性觀察,12.3,474.41,0.35,0.43%,0.38,2025,2026-03,660.0,3.99,🚀 利潤擴張,27.32%,4924.TWO,13.9499998093,3400.0,2925.59,17.01219488939024,欣厚-KY
⚠️ 追價風險,48.599999999999994,564.36,2.17,N/A,0.89,2025,2026-03,48.33,9.79,🚀 利潤擴張,N/A,8042.TWO,210.5,3200.0,2635.64,64.96913580246914,金山電
💎 強力關注,96.44999999999999,405.72,1.43,34.40%,3.0,2025,2026-03,0.0,3.92,🏰 高護城河,82.96%,2855.TW,51.9000015259,2960.0,2554.2799999999997,8.071539895163298,統一證
⚠️ 追價風險,88.05,667.05,1.26,13.87%,4.0,2025,2026-03,120.99,-4.69,🚀 利潤擴張,31.80%,3105.TWO,411.0,3050.0,2382.95,70.01703577512777,穩懋
💎 強力關注,274.05000000000007,395.99,9.37,10.89%,4.11,2025,2026-03,41.38,12.31,🚀 利潤擴張,27.15%,1419.TW,66.1999969482,2733.33,2337.34,3.6234262150082093,新紡
⚠️ 追價風險,9.150000000000002,726.37,0.29,1.35%,0.22,2025,2026-03,175.0,10.09,🚀 利潤擴張,15.86%,2486.TW,249.0,2900.0,2173.63,408.19672131147536,一詮
💎 強力關注,34.800000000000004,205.99,0.4,0.24%,0.72,2025,2026-03,110.31,13.61,🚀 利潤擴張,24.41%,2380.TW,22.0,1900.0,1694.01,9.482758620689655,虹光
⚠️ 追價風險,2.849999999999999,1769.87,0.35,4.89%,0.07,2025,2026-03,-92.39,-5.25,🚀 利潤擴張,11.81%,3016.TW,135.5,3400.0,1630.13,713.1578947368423,嘉晶
⚠️ 追價風險,27.900000000000006,1383.79,1.8,2.06%,0.57,2025,2026-03,35.71,0.12,🚀 利潤擴張,9.25%,1303.TW,197.0,2900.0,1516.21,105.91397849462363,南亞
⚠️ 追價風險,18.599999999999998,1031.36,1.48,-12.67%,0.15,2025,2026-03,275.0,-14.09,🚀 利潤擴張,8.40%,2399.TW,50.0,2366.67,1335.3100000000002,40.322580645161295,映泰
⚠️ 追價風險,7.65,974.97,0.23,2.47%,0.15,2025,2026-03,50.0,-4.5,🚀 利潤擴張,14.61%,4711.TWO,17.7999992371,2200.0,1225.03,34.90195928843137,永純
⚠️ 追價風險,6.15,142.36,0.17,18.72%,0.09,2025,2026-03,250.0,-0.24,🚀 利潤擴張,41.46%,1718.TW,14.9499998093,1300.0,1157.6399999999999,36.46341416902439,中纖
