eps,status,date,eps_yoy,advice,symbol,prev_eps_yoy,pe,price,name,rev_yoy,om,gm,expansion,prev_year,est_price,prev_rev_yoy,prev_eps
7.46,🚀 利潤擴張,2026-03,24500.0,⚪ 中性觀察,4973.TWO,16.48,19.301260022909506,168.5,廣穎,869.35,N/A,N/A,23630.65,2025,130.95000000000002,-3.19,2.11
0.7,🏰 高護城河,2026-03,6900.0,⚪ 中性觀察,3669.TW,-44.61,21.636903853630955,36.3499984741,圓展,98.33,7.42%,56.66%,6801.67,2025,25.199999999999996,-3.05,1.13
0.81,🚀 利潤擴張,2026-03,7900.0,⚠️ 追價風險,6209.TW,222.67,34.956895894008625,81.0999984741,今國光,1231.2,N/A,N/A,6668.8,2025,34.8,50.65,0.92
1.41,🏰 高護城河,2026-03,7150.0,✅ 穩健價值,3054.TW,590.0,15.78163733848635,63.5999984741,立萬利,2528.26,-188.65%,62.07%,4621.74,2025,60.45,26.61,1.96
3.64,🚀 利潤擴張,2026-03,4133.33,💎 強力關注,1810.TW,-73.68,6.353887603994639,23.7000007629,和成,273.9,N/A,N/A,3859.43,2025,55.95,-6.18,0.05
0.51,🔄 轉虧為盈,2026-03,5000.0,⚪ 數據不足,1301.TW,-731.58,0.0,60.4000015259,台塑,1606.45,-5.76%,2.38%,3393.55,2025,-48.45,-12.31,-1.58
0.35,🚀 利潤擴張,2026-03,3400.0,⚪ 中性觀察,4924.TWO,660.0,16.8292685252439,13.8000001907,欣厚-KY,474.41,0.43%,27.32%,2925.59,2025,12.3,3.99,0.38
2.17,🚀 利潤擴張,2026-03,3200.0,⚠️ 追價風險,8042.TWO,48.33,58.48765432098766,189.5,金山電,564.36,N/A,N/A,2635.64,2025,48.599999999999994,9.79,0.89
1.43,🏰 高護城河,2026-03,2960.0,💎 強力關注,2855.TW,0.0,8.118196075101089,52.2000007629,統一證,405.72,34.40%,82.96%,2554.2799999999997,2025,96.44999999999999,3.92,3.0
1.26,🚀 利潤擴張,2026-03,3050.0,⚠️ 追價風險,3105.TWO,120.99,71.7206132879046,421.0,穩懋,667.05,13.87%,31.80%,2382.95,2025,88.05,-4.69,4.0
9.37,🚀 利潤擴張,2026-03,2733.33,💎 強力關注,1419.TW,41.38,3.738369077821565,68.3000030518,新紡,395.99,10.89%,27.15%,2337.34,2025,274.05000000000007,12.31,4.11
0.29,🚀 利潤擴張,2026-03,2900.0,⚠️ 追價風險,2486.TW,175.0,425.4098360655737,259.5,一詮,726.37,1.35%,15.86%,2173.63,2025,9.150000000000002,10.09,0.22
0.4,🚀 利潤擴張,2026-03,1900.0,💎 強力關注,2380.TW,110.31,9.568965846077585,22.2000007629,虹光,205.99,0.24%,24.41%,1694.01,2025,34.800000000000004,13.61,0.72
0.35,🚀 利潤擴張,2026-03,3400.0,⚠️ 追價風險,3016.TW,-92.39,676.3157894736844,128.5,嘉晶,1769.87,4.89%,11.81%,1630.13,2025,2.849999999999999,-5.25,0.07
1.8,🚀 利潤擴張,2026-03,2900.0,⚠️ 追價風險,1303.TW,35.71,99.46236559139783,185.0,南亞,1383.79,2.06%,9.25%,1516.21,2025,27.900000000000006,0.12,0.57
1.48,🚀 利潤擴張,2026-03,2366.67,⚠️ 追價風險,2399.TW,275.0,44.35483870967743,55.0,映泰,1031.36,-12.67%,8.40%,1335.3100000000002,2025,18.599999999999998,-14.09,0.15
0.23,🚀 利潤擴張,2026-03,2200.0,⚠️ 追價風險,4711.TWO,50.0,34.50980466960784,17.6000003815,永純,974.97,2.47%,14.61%,1225.03,2025,7.65,-4.5,0.15
0.17,🚀 利潤擴張,2026-03,1300.0,⚠️ 追價風險,1718.TW,250.0,37.073170266585365,15.1999998093,中纖,142.36,18.72%,41.46%,1157.6399999999999,2025,6.15,-0.24,0.09
0.48,🏰 高護城河,2026-03,1275.0,⚪ 中性觀察,3219.TWO,406.67,18.26666598848889,82.1999969482,倚強科,120.91,-15.39%,69.49%,1154.09,2025,67.5,49.68,1.52
0.17,🚀 利潤擴張,2026-03,1600.0,⚠️ 追價風險,5291.TWO,-17.95,79.59459665662162,58.9000015259,邑昇,536.39,N/A,N/A,1063.6100000000001,2025,11.1,9.81,0.31
0.6,🏰 高護城河,2026-03,1100.0,✅ 穩健價值,3025.TW,-6.25,13.078394173212237,68.4000015259,星通,117.67,43.45%,68.55%,982.33,2025,78.44999999999999,4.27,3.45
27.0,🚀 利潤擴張,2026-03,2600.0,💎 強力關注,4967.TW,110.31,5.845464725643897,261.0,十銓,1792.89,N/A,N/A,807.1099999999999,2025,669.75,2.46,13.06
0.78,🚀 利潤擴張,2026-03,1014.29,⚠️ 追價風險,2359.TW,46.43,120.76271186440681,142.5,所羅門,280.55,2.82%,24.10%,733.74,2025,17.699999999999996,21.27,1.23
1.64,🔄 轉虧為盈,2026-03,1211.11,⚪ 數據不足,1762.TW,-566.18,0.0,40.7000007629,中化生,496.76,-143.69%,-78.82%,714.3499999999999,2025,-85.05,-40.26,-4.39
7.22,🚀 利潤擴張,2026-03,2666.67,⚠️ 追價風險,3006.TW,-51.41,90.49586776859506,219.0,晶豪科,2018.02,20.25%,32.33%,648.6500000000001,2025,36.29999999999999,8.08,0.87
0.24,🔄 轉虧為盈,2026-03,1100.0,⚪ 數據不足,2464.TW,-266.0,0.0,169.0,盟立,510.23,-3.37%,17.62%,589.77,2025,-26.55,-10.95,-0.84
18.93,🏰 高護城河,2026-03,2067.82,💎 強力關注,2451.TW,140.33,6.912854587273191,270.5,創見,1484.6,55.59%,61.62%,583.2200000000003,2025,586.95,69.84,12.98
2.12,🔄 轉虧為盈,2026-03,806.67,💎 強力關注,3521.TWO,89.09,6.632653061224488,13.0,台鋼建設,224.53,-147.39%,-40.24%,582.14,2025,29.400000000000006,58.31,-0.07
1.86,🚀 利潤擴張,2026-03,1763.64,⚪ 中性觀察,2101.TW,-68.84,16.74019682642157,34.1500015259,南港,1184.49,4.39%,20.96%,579.1500000000001,2025,30.6,-44.61,1.01
0.2,🔄 轉虧為盈,2026-03,1100.0,⚪ 數據不足,4510.TWO,-197.14,0.0,44.0999984741,高鋒,543.13,-1.97%,14.87%,556.87,2025,-36.6,-2.21,-1.02
0.26,🚀 利潤擴張,2026-03,1200.0,⚠️ 追價風險,3285.TWO,-40.68,41.76190330866666,43.8499984741,微端,688.27,8.69%,28.61%,511.73,2025,15.75,-19.66,0.7
1.64,🚀 利潤擴張,2026-03,530.77,⚠️ 追價風險,6902.TW,222.58,38.184438040345825,132.5,GOGOLOOK,43.25,N/A,N/A,487.52,2025,52.05,20.92,1.58
0.46,🔄 轉虧為盈,2026-03,820.0,⚪ 數據不足,6241.TWO,74.6,0.0,15.3999996185,鑫永洋,335.75,N/A,N/A,484.25,2025,-7.499999999999999,5.06,-0.16
0.22,🚀 利潤擴張,2026-03,1200.0,⚠️ 追價風險,8440.TWO,-42.59,37.28813559322033,22.0,綠電,727.58,N/A,N/A,472.41999999999996,2025,8.850000000000001,-6.1,0.31
1.21,🧐 疑業外收益,2026-03,418.92,⚪ 數據不足,4590.TW,-1.45,0.0,95.8000030518,富田-創,-25.82,-0.34%,30.54%,444.74,2025,0.0,-41.11,2.72
0.25,🚀 利潤擴張,2026-03,600.0,⚠️ 追價風險,2302.TW,-34.67,45.0000006576724,52.2000007629,麗正,187.7,11.05%,36.04%,412.3,2025,17.400000000000002,11.66,0.49
2.25,🚀 利潤擴張,2026-03,1037.5,⚠️ 追價風險,2344.TW,576.92,67.27941176470588,183.0,華邦電,646.87,15.37%,41.86%,390.63,2025,40.8,9.55,0.88
0.41,🚀 利潤擴張,2026-03,387.5,⚪ 數據不足,6908.TW,5.88,0.0,37.5,宏�砦C戲-創,6.45,N/A,N/A,381.05,2025,0.0,28.36,1.44
1.59,🚀 利潤擴張,2026-03,715.79,⚪ 中性觀察,6716.TWO,-49.65,18.47426470588235,100.5,應廣,359.78,N/A,N/A,356.01,2025,81.60000000000001,-15.3,2.19
0.24,🚀 利潤擴張,2026-03,380.0,⚠️ 追價風險,5210.TWO,207.35,23.269230769230774,30.25,寶碩,37.41,N/A,N/A,342.59000000000003,2025,19.499999999999996,9.95,0.73
0.99,🔄 轉虧為盈,2026-03,1090.0,⚪ 數據不足,5228.TWO,90.52,0.0,62.7000007629,鈺鎧,750.53,N/A,N/A,339.47,2025,-8.4,25.85,-0.2
1.42,🚀 利潤擴張,2026-03,517.65,💎 強力關注,2754.TWO,1.73,11.329011592528362,69.9000015259,亞洲藏壽司,179.43,N/A,N/A,338.21999999999997,2025,92.55,5.96,2.35
0.13,🚀 利潤擴張,2026-03,550.0,⚠️ 追價風險,4556.TWO,170.59,46.93181731482955,82.5999984741,旭然,237.41,14.30%,42.07%,312.59000000000003,2025,26.4,-3.75,0.92
0.15,🚀 利潤擴張,2026-03,650.0,⚪ 中性觀察,3071.TWO,-29.63,18.58381591092486,32.1500015259,協禧,343.32,7.94%,30.11%,306.68,2025,25.95,-5.82,0.57
68.8,🚀 利潤擴張,2026-03,1143.3,⚪ 中性觀察,8299.TWO,3.78,16.378200543556,2290.0,群聯,849.86,N/A,N/A,293.43999999999994,2025,2097.2999999999997,23.29,41.98
0.67,🔄 轉虧為盈,2026-03,546.67,⚪ 數據不足,6615.TWO,-150.59,0.0,37.0499992371,慧智,270.3,N/A,N/A,276.36999999999995,2025,-2.2499999999999996,-14.91,-0.43
0.27,🚀 利潤擴張,2026-03,640.0,⚪ 數據不足,6282.TW,550.0,0.0,59.7999992371,康舒,371.03,N/A,N/A,268.97,2025,-9.150000000000002,0.1,0.18
0.38,🔄 轉虧為盈,2026-03,445.45,⚪ 數據不足,8489.TWO,55.83,0.0,22.1000003815,三貝德,186.87,N/A,N/A,258.58,2025,-20.1,5.03,-0.76
4.49,🚀 利潤擴張,2026-03,701.79,✅ 穩健價值,4916.TW,8050.0,14.027431421446385,112.5,事欣科,473.51,8.07%,18.73%,228.27999999999997,2025,120.3,0.89,1.77
2.97,🚀 利潤擴張,2026-03,518.75,💎 強力關注,4432.TWO,-66.67,5.646258633163265,16.6000003815,銘旺實,292.4,N/A,N/A,226.35000000000002,2025,44.1,-3.15,0.88
0.45,🚀 利潤擴張,2026-03,350.0,💎 強力關注,4702.TWO,51.72,10.153061029897957,9.9499998093,中美實,132.31,-88.29%,35.38%,217.69,2025,14.700000000000001,-61.59,0.88
3.8,🚀 利潤擴張,2026-03,512.9,💎 強力關注,8478.TW,33.97,4.922515952597994,162.0,東哥遊艇,297.67,N/A,N/A,215.22999999999996,2025,493.65000000000003,5.83,13.25
0.66,🚀 利潤擴張,2026-03,925.0,💎 強力關注,1609.TW,-21.15,8.561643835616438,43.75,大亞,713.51,8.70%,13.61%,211.49,2025,76.65,3.39,1.65
0.47,🚀 利潤擴張,2026-03,213.33,⚪ 數據不足,3717.TW,-80.0,0.0,29.3500003815,聯嘉投控,26.54,7.12%,19.34%,186.79000000000002,2025,0.0,3.55,0.08
0.33,🔄 轉虧為盈,2026-03,266.67,⚪ 數據不足,8084.TWO,-280.2,0.0,49.75,巨虹,80.73,N/A,N/A,185.94,2025,-43.199999999999996,-10.9,-1.82
2.65,🚀 利潤擴張,2026-03,728.13,💎 強力關注,3290.TWO,25.64,11.228070418803828,70.4000015259,東浦,542.69,14.85%,30.40%,185.43999999999994,2025,94.05,18.23,2.02
0.09,🔄 轉虧為盈,2026-03,550.0,⚪ 數據不足,5460.TWO,-177.27,0.0,19.2999992371,同協,385.95,N/A,N/A,164.05,2025,-7.95,-15.68,-0.17
0.53,🚀 利潤擴張,2026-03,276.67,⚪ 數據不足,4582.TWO,1640.0,0.0,0.0,未知,116.02,N/A,N/A,160.65000000000003,2025,0.0,32.98,1.54
0.53,🚀 利潤擴張,2026-03,276.67,⚪ 數據不足,4582.TW,1640.0,0.0,27.7000007629,聚恆-創,116.02,N/A,N/A,160.65000000000003,2025,0.0,32.98,1.54
0.06,🔄 轉虧為盈,2026-03,700.0,⚪ 數據不足,2426.TW,-219.05,0.0,79.1999969482,鼎元,542.01,-2.91%,10.78%,157.99,2025,-6.6,-2.43,-0.25
0.28,🔄 轉虧為盈,2026-03,264.29,⚪ 數據不足,2417.TW,54.55,0.0,47.4500007629,圓剛,108.24,8.42%,56.31%,156.05,2025,-25.049999999999997,2.69,-0.19
0.28,🔄 轉虧為盈,2026-03,366.67,⚠️ 追價風險,9934.TW,-125.22,151.42857687857128,10.6000003815,成霖,214.33,N/A,N/A,152.34,2025,1.050000000000001,-4.25,-0.29
1.1,🚀 利潤擴張,2026-03,323.08,⚠️ 追價風險,2732.TWO,-77.02,30.837210721767434,66.3000030518,六角,180.76,N/A,N/A,142.32,2025,32.250000000000014,7.13,1.09
1.03,🚀 利潤擴張,2026-03,442.11,⚪ 中性觀察,6569.TWO,-38.68,16.770670826833072,107.5,醫揚,307.94,N/A,N/A,134.17000000000002,2025,96.15,5.8,2.88
1.57,🚀 利潤擴張,2026-03,406.45,⚠️ 追價風險,6166.TW,921.74,23.015873015873016,130.5,凌華,273.28,N/A,N/A,133.17000000000002,2025,85.05,17.09,2.35
3.44,🏰 高護城河,2026-03,645.65,⚠️ 追價風險,3081.TWO,884.75,163.9344262295082,2000.0,聯亞,515.18,41.27%,54.76%,130.47000000000003,2025,183.0,82.29,4.66
2.21,🚀 利潤擴張,2026-03,228.49,💎 強力關注,3356.TW,-20.59,5.405405405405405,62.0,奇偶,113.17,N/A,N/A,115.32000000000001,2025,172.05,-14.96,6.21
0.29,🚀 利潤擴張,2026-03,383.33,⚪ 數據不足,6735.TWO,-84.51,0.0,88.5,美達科技,268.59,N/A,N/A,114.74000000000001,2025,-7.200000000000001,-4.81,0.33
-0.02,🏰 高護城河,2026-03,87.5,⚪ 數據不足,2601.TW,-365.71,0.0,6.5999999046,益航,-21.56,-12.62%,102.69%,109.06,2025,-33.6,-7.78,-1.63
0.37,🚀 利潤擴張,2026-03,270.0,⚠️ 追價風險,7730.TW,-45.51,56.21301775147929,190.0,暉盛-創,161.56,N/A,N/A,108.44,2025,50.699999999999996,-5.33,1.73
0.66,🚀 利潤擴張,2026-03,163.46,⚪ 數據不足,2911.TW,152.83,0.0,7.8299999237,麗嬰房,67.27,N/A,N/A,96.19000000000001,2025,-40.05,-16.81,2.15
