name,prev_eps_yoy,prev_year,date,status,advice,prev_eps,eps,prev_rev_yoy,pe,est_price,symbol,price,gm,rev_yoy,expansion,om,eps_yoy
廣穎,16.48,2025,2026-03,🚀 利潤擴張,⚪ 中性觀察,2.11,7.46,-3.19,18.613974799541808,130.95000000000002,4973.TWO,162.5,N/A,869.35,23630.65,N/A,24500.0
圓展,-44.61,2025,2026-03,🏰 高護城河,⚪ 中性觀察,1.13,0.7,-3.05,20.8630947839881,25.199999999999996,3669.TW,35.0499992371,56.66%,98.33,6801.67,7.42%,6900.0
今國光,222.67,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.92,0.81,50.65,32.3706889974569,34.8,6209.TW,75.0999984741,N/A,1231.2,6668.8,N/A,7900.0
立萬利,590.0,2025,2026-03,🏰 高護城河,✅ 穩健價值,1.96,1.41,26.61,15.136476426799007,60.45,3054.TW,61.0,62.07%,2528.26,4621.74,-188.65%,7150.0
和成,-73.68,2025,2026-03,🚀 利潤擴張,💎 強力關注,0.05,3.64,-6.18,6.461126107640751,55.95,1810.TW,24.1000003815,N/A,273.9,3859.43,N/A,4133.33
台塑,-731.58,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.58,0.51,-12.31,0.0,-48.45,1301.TW,57.2999992371,2.38%,1606.45,3393.55,-5.76%,5000.0
欣厚-KY,660.0,2025,2026-03,🚀 利潤擴張,⚪ 中性觀察,0.38,0.35,3.99,16.036584900609757,12.3,4924.TWO,13.1499996185,27.32%,474.41,2925.59,0.43%,3400.0
金山電,48.33,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.89,2.17,9.79,52.77777777777778,48.599999999999994,8042.TWO,171.0,N/A,564.36,2635.64,N/A,3200.0
統一證,0.0,2025,2026-03,🏰 高護城河,💎 強力關注,3.0,1.43,3.92,7.947122624276828,96.44999999999999,2855.TW,51.0999984741,82.96%,405.72,2554.2799999999997,34.40%,2960.0
穩懋,120.99,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,4.0,1.26,-4.69,69.76149914821124,88.05,3105.TWO,409.5,31.80%,667.05,2382.95,13.87%,3050.0
新紡,41.38,2025,2026-03,🚀 利潤擴張,💎 強力關注,4.11,9.37,12.31,3.6124794745484397,274.05000000000007,1419.TW,66.0,27.15%,395.99,2337.34,10.89%,2733.33
一詮,175.0,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.22,0.29,10.09,396.7213114754098,9.150000000000002,2486.TW,242.0,15.86%,726.37,2173.63,1.35%,2900.0
虹光,110.31,2025,2026-03,🚀 利潤擴張,💎 強力關注,0.72,0.4,13.61,8.87931050926724,34.800000000000004,2380.TW,20.6000003815,24.41%,205.99,1694.01,0.24%,1900.0
嘉晶,-92.39,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.07,0.35,-5.25,621.0526315789475,2.849999999999999,3016.TW,118.0,11.81%,1769.87,1630.13,4.89%,3400.0
南亞,35.71,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.57,1.8,0.12,89.51612903225805,27.900000000000006,1303.TW,166.5,9.25%,1383.79,1516.21,2.06%,2900.0
映泰,275.0,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.15,1.48,-14.09,39.91935483870969,18.599999999999998,2399.TW,49.5,8.40%,1031.36,1335.3100000000002,-12.67%,2366.67
永純,50.0,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.15,0.23,-4.5,33.8235294117647,7.65,4711.TWO,17.25,14.61%,974.97,1225.03,2.47%,2200.0
中纖,250.0,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.09,0.17,-0.24,36.46341416902439,6.15,1718.TW,14.9499998093,41.46%,142.36,1157.6399999999999,18.72%,1300.0
倚強科,406.67,2025,2026-03,🏰 高護城河,⚪ 中性觀察,1.52,0.48,49.68,16.88888888888889,67.5,3219.TWO,76.0,69.49%,120.91,1154.09,-15.39%,1275.0
邑昇,-17.95,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.31,0.17,9.81,74.32432432432432,11.1,5291.TWO,55.0,N/A,536.39,1063.6100000000001,N/A,1600.0
星通,-6.25,2025,2026-03,🏰 高護城河,💎 強力關注,3.45,0.6,4.27,11.778202385105162,78.44999999999999,3025.TW,61.5999984741,68.55%,117.67,982.33,43.45%,1100.0
十銓,110.31,2025,2026-03,🚀 利潤擴張,💎 強力關注,13.06,27.0,2.46,5.587905935050392,669.75,4967.TW,249.5,N/A,1792.89,807.1099999999999,N/A,2600.0
所羅門,46.43,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,1.23,0.78,21.27,113.98305084745765,17.699999999999996,2359.TW,134.5,24.10%,280.55,733.74,2.82%,1014.29
中化生,-566.18,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-4.39,1.64,-40.26,0.0,-85.05,1762.TW,39.5499992371,-78.82%,496.76,714.3499999999999,-143.69%,1211.11
晶豪科,-51.41,2025,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.87,7.22,8.08,90.49586776859506,36.29999999999999,3006.TW,219.0,32.33%,2018.02,648.6500000000001,20.25%,2666.67
盟立,-266.0,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-0.84,0.24,-10.95,0.0,-26.55,2464.TW,161.0,17.62%,510.23,589.77,-3.37%,1100.0
創見,140.33,2025,2026-03,🏰 高護城河,💎 強力關注,12.98,18.93,69.84,6.542294914387937,586.95,2451.TW,256.0,61.62%,1484.6,583.2200000000003,55.59%,2067.82
台鋼建設,89.09,2025,2026-03,🔄 轉虧為盈,💎 強力關注,-0.07,2.12,58.31,6.403061321785713,29.400000000000006,3521.TWO,12.5500001907,-40.24%,224.53,582.14,-147.39%,806.67
南港,-68.84,2025,2026-03,🚀 利潤擴張,⚪ 中性觀察,1.01,1.86,-44.61,16.715685526519607,30.6,2101.TW,34.0999984741,20.96%,1184.49,579.1500000000001,4.39%,1763.64
高鋒,-197.14,2025,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.02,0.2,-2.21,0.0,-36.6,4510.TWO,42.3499984741,14.87%,543.13,556.87,-1.97%,1100.0
