
📅 投資日報表: 2026-07-08
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 243.00   | 243.00   | 236.00   | 237.00   | 49,448,509   | 241.21      | 2000     | ▼8,420    |   -1.75%
4142     | 國光生        | 18.10    | 18.10    | 17.70    | 17.70    | 906,060      | 25.32       | 1000     | ▼7,620    |  -30.09%
0050     | 元大台灣50     | 109.05   | 109.60   | 107.70   | 108.25   | 70,136,815   | 46.60       | 16000    | ▲986,400  | +132.30%
0056     | 元大高股息      | 53.40    | 53.95    | 53.10    | 53.25    | 53,895,140   | 36.43       | 4000     | ▲67,280   |  +46.17%
00635U   | 期元大S&P黃金   | 43.98    | 44.00    | 43.34    | 43.35    | 5,189,651    | 55.25       | 3000     | ▼35,700   |  -21.54%
00738U   | 期元大道瓊白銀    | 50.65    | 50.75    | 49.71    | 49.72    | 2,982,200    | 66.26       | 1000     | ▼16,540   |  -24.96%
00929    | 復華台灣科技優息   | 31.62    | 31.81    | 31.17    | 31.36    | 26,918,532   | 19.73       | 8000     | ▲93,040   |  +58.95%
009816   | 凱基台灣TOP50  | 15.87    | 15.92    | 15.58    | 15.65    | 119,534,649  | 11.01       | 63000    | ▲292,320  |  +42.14%
00990A   | 主動元大AI新經濟  | 19.81    | 19.81    | 19.16    | 19.32    | 41,704,676   | 11.48       | 5000     | ▲39,200   |  +68.29%
2009     | 第一銅        | 39.90    | 39.90    | 38.50    | 38.55    | 1,073,980    | 50.56       | 4000     | ▼48,040   |  -23.75%
2337     | 旺宏         | 146.00   | 146.00   | 136.50   | 139.00   | 64,374,440   | 95.28       | 2000     | ▲87,440   |  +45.89%
2409     | 友達         | 31.90    | 33.00    | 29.05    | 29.35    | 503,836,124  | 16.21       | 2000     | ▲26,280   |  +81.06%
3481     | 群創         | 70.20    | 72.20    | 63.80    | 64.20    | 730,854,677  | 25.10       | 4000     | ▲156,400  | +155.78%
3105     | 穩懋         | 424.00   | 447.50   | 400.50   | 409.50   | 34,778,121   | 556.47      | 300      | ▼44,091   |  -26.41%
4966     | 譜瑞-KY      | 642.00   | 671.00   | 638.00   | 650.00   | 3,539,197    | 1921.64     | 1000     | ▼1,271,640 |  -66.17%
2327     | 國巨*        | 1000.00  | 1025.00  | 905.00   | 905.00   | 61,372,151   | 1030.00     | 1        | ▼125      |  -12.14%
00403A   | 主動統一升級50   | 11.24    | 11.26    | 10.88    | 10.93    | 236,988,384  | 10.68       | 26000    | ▲6,500    |   +2.34%
00981A   | 主動統一台股增長   | 32.45    | 32.45    | 31.08    | 31.20    | 241,853,798  | 27.48       | 2000     | ▲7,440    |  +13.54%
2330     | 台積電        | 2480.00  | 2500.00  | 2440.00  | 2440.00  | 27,867,172   | 225.55      | 10       | ▲22,144   | +981.80%
6789     | 采鈺         | 528.00   | 534.00   | 494.00   | 500.00   | 2,057,405    | 593.50      | 400      | ▼37,400   |  -15.75%
6849     | 奇鼎科技       | 173.00   | 173.00   | 157.00   | 161.50   | 274,661      | 266.40      | 280      | ▼29,372   |  -39.38%
7853     | 政美應用       | 410.00   | 419.00   | 350.00   | 362.50   | 2,610,615    | 409.29      | 280      | ▼13,101   |  -11.43%
3576     | 聯合再生       | 16.90    | 17.10    | 16.00    | 16.10    | 15,669,925   | 18.15       | 5000     | ▼10,250   |  -11.29%
1721     | 三晃         | 27.65    | 28.45    | 26.15    | 26.15    | 5,660,790    | 27.88       | 3000     | ▼5,200    |   -6.22%
8215     | 明基材        | 30.25    | 30.60    | 28.60    | 28.75    | 1,995,117    | 31.60       | 200      | ▼570      |   -9.02%
00405A   | 主動富邦台灣龍耀   | 9.51     | 9.54     | 9.11     | 9.15     | 106,479,280  | 9.34        | 11000    | ▼2,090    |   -2.03%
5498     | 凱崴         | 61.70    | 62.80    | 59.50    | 61.00    | 3,689,574    | 69.61       | 188      | ▼1,619    |  -12.37%
1301     | 台塑         | 60.10    | 60.20    | 57.00    | 57.30    | 47,496,993   | 50.50       | 100      | ▲680      |  +13.47%
6498     | 久禾光        | 92.70    | 94.00    | 89.30    | 89.30    | 147,015      | 67.30       | 12       | ▲264      |  +32.69%
009821   | 野村稀土關鍵資源   | 14.53    | 14.54    | 14.32    | 14.35    | 15,751,718   | 17.30       | 12000    | ▼35,400   |  -17.05%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        +218,211 (  +3.40%)
