prev_year,gm,rev_yoy,prev_eps_yoy,om,eps,date,status,advice,prev_eps,name,eps_yoy,symbol,expansion,price,pe,est_price,prev_rev_yoy
2025,N/A,869.35,16.48,N/A,7.46,2026-03,🚀 利潤擴張,⚪ 中性觀察,2.11,廣穎,24500.0,4973.TWO,23630.65,166.5,19.072164948453608,130.95000000000002,-3.19
2025,56.66%,98.33,-44.61,7.42%,0.7,2026-03,🏰 高護城河,⚪ 中性觀察,1.13,圓展,6900.0,3669.TW,6801.67,34.9000015259,20.773810432083337,25.199999999999996,-3.05
2025,N/A,1231.2,222.67,N/A,0.81,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.92,今國光,7900.0,6209.TW,6668.8,80.8000030518,34.82758752232759,34.8,50.65
2025,62.07%,2528.26,590.0,-188.65%,1.41,2026-03,🏰 高護城河,✅ 穩健價值,1.96,立萬利,7150.0,3054.TW,4621.74,63.4000015259,15.732010304193548,60.45,26.61
2025,N/A,273.9,-73.68,N/A,3.64,2026-03,🚀 利潤擴張,💎 強力關注,0.05,和成,4133.33,1810.TW,3859.43,23.8500003815,6.394101978954423,55.95,-6.18
2025,2.38%,1606.45,-731.58,-5.76%,0.51,2026-03,🔄 轉虧為盈,⚪ 數據不足,-1.58,台塑,5000.0,1301.TW,3393.55,54.7999992371,0.0,-48.45,-12.31
2025,27.32%,474.41,660.0,0.43%,0.35,2026-03,🚀 利潤擴張,✅ 穩健價值,0.38,欣厚-KY,3400.0,4924.TWO,2925.59,12.6000003815,15.365854123780485,12.3,3.99
2025,N/A,564.36,48.33,N/A,2.17,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.89,金山電,3200.0,8042.TWO,2635.64,178.0,54.93827160493827,48.599999999999994,9.79
2025,82.96%,405.72,0.0,34.40%,1.43,2026-03,🏰 高護城河,💎 強力關注,3.0,統一證,2960.0,2855.TW,2554.2799999999997,50.4000015259,7.838258402161743,96.44999999999999,3.92
2025,31.80%,667.05,120.99,13.87%,1.26,2026-03,🚀 利潤擴張,⚠️ 追價風險,4.0,穩懋,3050.0,3105.TWO,2382.95,406.0,69.16524701873935,88.05,-4.69
2025,27.15%,395.99,41.38,10.89%,9.37,2026-03,🚀 利潤擴張,💎 強力關注,4.11,新紡,2733.33,1419.TW,2337.34,66.6999969482,3.6507934837547884,274.05000000000007,12.31
2025,15.86%,726.37,175.0,1.35%,0.29,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.22,一詮,2900.0,2486.TW,2173.63,259.0,424.5901639344262,9.150000000000002,10.09
2025,24.41%,205.99,110.31,0.24%,0.4,2026-03,🚀 利潤擴張,💎 強力關注,0.72,虹光,1900.0,2380.TW,1694.01,20.0,8.620689655172413,34.800000000000004,13.61
2025,11.81%,1769.87,-92.39,4.89%,0.35,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.07,嘉晶,3400.0,3016.TW,1630.13,121.5,639.4736842105265,2.849999999999999,-5.25
2025,9.25%,1383.79,35.71,2.06%,1.8,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.57,南亞,2900.0,1303.TW,1516.21,181.5,97.5806451612903,27.900000000000006,0.12
2025,8.40%,1031.36,275.0,-12.67%,1.48,2026-03,🚀 利潤擴張,⚠️ 追價風險,0.15,映泰,2366.67,2399.TW,1335.3100000000002,48.8499984741,39.39516005975807,18.599999999999998,-14.09
