====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260709 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.25      | ❄️ 空倉          |       +7.59% |     10 |    55.81% | [P:0.47] RSI:39.42|MACD:0.09|KD_Diff:-12.17|BIAS_20:-3.31
00401A.TW    | 主動摩根台灣鑫收   | 13.38      | 🟢 持股           |      +11.09% |      9 |    64.29% | [P:0.62] RSI:38.40|MACD:0.05|KD_Diff:-5.65|BIAS_20:-1.95
00403A.TW    | 主動統一升級50   | 10.48      | 🟢 持股           |       +6.59% |      3 |    63.33% | [P:0.59] [⚠️降級預設] RSI:39.85|MACD:0.05|KD_Diff:-11.34|D_Value:39.78
0050.TW      | 元大台灣50     | 105.80     | ❄️ 空倉          |      +30.27% |     32 |    48.72% | [P:0.49] Vol_Ratio:0.70|BIAS_20:-0.66|MA_Slope:0.26|BB_Upper:5.82
0052.TW      | 富邦科技       | 62.00      | 🟢 持股           |      +36.87% |     17 |    51.07% | [P:0.52] MACD:0.92|D_Value:49.78|Vol_Ratio:0.83|BB_Upper:6.28
0056.TW      | 元大高股息      | 52.65      | 🚀 買進           |      +17.22% |     22 |    51.40% | [P:0.51] KD_Diff:-1.72|Vol_Ratio:0.53|BB_Upper:3.48|MA_Bull:10.00
0061.TW      | 元大寶滬深      | 24.99      | 🟢 持股           |      +11.03% |      9 |    51.75% | [P:0.56] [⚠️降級預設] RSI:43.73|MACD:0.05|KD_Diff:-7.08|D_Value:31.79
006201.TWO   | 元大富櫃50     | 46.85      | 💥 賣出           |      +60.04% |     37 |    49.97% | [P:0.49] Vol_Ratio:0.77|MA_Slope:0.17|BB_Upper:8.65|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 193.20     | ❄️ 空倉          |      +34.21% |     42 |    51.15% | [P:0.40] KD_Diff:-6.34|D_Value:55.88|Vol_Ratio:1.15|MA_Bull:0.00
006208.TW    | 富邦台50      | 245.70     | ❄️ 空倉          |      +28.57% |     16 |    50.07% | [P:0.43] MACD:4.09|D_Value:55.96|Vol_Ratio:1.01|BIAS_20:-0.50
00631L.TW    | 元大台灣50正2   | 36.78      | 🟢 持股           |      +10.57% |     15 |    50.23% | [P:0.53] KD_Diff:-6.63|BIAS_20:-2.31|MA_Slope:0.45|BB_Upper:12.48
00632R.TW    | 元大台灣50反1   | 10.21      | ❄️ 空倉          |       +4.08% |      8 |    57.15% | [P:0.40] MACD:-0.18|D_Value:45.37|BIAS_20:0.92|MA_Slope:-0.30
00633L.TW    | 富邦上証正2     | 50.35      | 🟢 持股           |      +15.42% |     19 |    49.52% | [P:0.56] MACD:-0.62|KD_Diff:2.66|MA_Slope:0.04|BB_Upper:9.22
00634R.TW    | 富邦上証反1     | 3.10       | 💥 賣出           |       -6.90% |     15 |    52.68% | [P:0.49] KD_Diff:-0.14|D_Value:68.89|Vol_Ratio:1.03|MA_Slope:-0.05
00635U.TW    | 期元大S&P黃金   | 42.42      | ❄️ 空倉          |      +30.53% |     22 |    51.69% | [P:0.44] MACD:-0.91|D_Value:51.93|Vol_Ratio:0.71|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 20.85      | ❄️ 空倉          |      +12.87% |     16 |    50.07% | [P:0.50] MACD:-0.24|KD_Diff:2.60|BIAS_20:-2.38|BB_Upper:9.16
00638R.TW    | 元大滬深300反1  | 6.66       | ❄️ 空倉          |       -3.54% |      8 |    53.05% | [P:0.49] RSI:58.41|MACD:0.04|KD_Diff:-1.72|D_Value:69.05
00639.TW     | 富邦深100     | 17.81      | 🟢 持股           |      +12.79% |     13 |    50.02% | [P:0.63] [⚠️降級預設] RSI:38.94|MACD:-0.02|KD_Diff:-8.01|D_Value:27.01
00640L.TW    | 富邦日本正2     | 104.30     | 💥 賣出           |       +4.12% |     33 |    50.15% | [P:0.45] RSI:43.63|D_Value:63.88|Vol_Ratio:0.63|BIAS_20:-0.11
00641R.TW    | 富邦日本反1     | 3.79       | ❄️ 空倉          |       +2.21% |     32 |    56.18% | [P:0.40] RSI:55.38|KD_Diff:1.40|BIAS_20:-0.08|MA_Slope:-0.22
00642U.TW    | 期元大S&P石油   | 24.28      | 🚀 買進           |     +112.21% |     40 |    52.78% | [P:0.53] RSI:51.42|D_Value:40.02|Vol_Ratio:2.25|MA_Slope:-0.83
00643.TW     | 群益深証中小     | 19.87      | 🟢 持股           |       +9.04% |      7 |    49.53% | [P:0.58] [⚠️降級預設] RSI:43.21|MACD:0.04|KD_Diff:-11.39|D_Value:36.96
00646.TW     | 元大S&P500   | 75.75      | 🟢 持股           |      +11.27% |     35 |    49.73% | [P:0.55] KD_Diff:2.14|D_Value:86.86|BIAS_20:1.62|MA_Bull:10.00
00648R.TW    | 元大S&P500反1 | 4.03       | ❄️ 空倉          |       -0.69% |     12 |    57.77% | [P:0.40] MACD:-0.01|D_Value:30.40|BIAS_20:0.01|MA_Slope:-0.06
00650L.TW    | 復華香港正2     | 15.35      | ❄️ 空倉          |       +2.78% |     32 |    49.86% | [P:0.42] RSI:53.32|MACD:-0.38|MA_Slope:-0.07|MA_Bull:0.00
00651R.TW    | 復華香港反1     | 5.51       | ❄️ 空倉          |      +11.71% |     18 |    52.95% | [P:0.36] RSI:47.31|D_Value:36.06|BIAS_20:-1.87|MA_Slope:0.02
00653L.TW    | 富邦印度正2     | 46.48      | ❄️ 空倉          |       +7.91% |     42 |    48.83% | [P:0.44] RSI:50.24|KD_Diff:-12.89|Vol_Ratio:1.19|BB_Upper:5.00
00654R.TW    | 富邦印度反1     | 6.81       | ❄️ 空倉          |       +8.87% |     28 |    53.18% | [P:0.40] RSI:55.38|D_Value:43.92|BIAS_20:0.55|MA_Slope:-0.13
00655L.TW    | 國泰中國A50正2  | 35.05      | ❄️ 空倉          |       +7.39% |     34 |    50.80% | [P:0.43] RSI:40.75|Vol_Ratio:1.14|MA_Slope:0.02|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.93       | 💥 賣出           |       -3.16% |      9 |    53.81% | [P:0.50] RSI:59.32|D_Value:69.49|MA_Slope:0.01|BB_Upper:1.43
