prev_eps_yoy,om,expansion,symbol,status,price,name,prev_eps,rev_yoy,eps_yoy,est_price,eps,prev_year,pe,gm,advice,date,prev_rev_yoy
16.48,N/A,23630.65,4973.TWO,🚀 利潤擴張,0.0,廣穎,2.11,869.35,24500.0,0.0,7.46,2025,0.0,N/A,⚪ 數據不足,2026-03,-3.19
-44.61,7.42%,6801.67,3669.TW,🏰 高護城河,0.0,圓展,1.13,98.33,6900.0,0.0,0.7,2025,0.0,56.66%,⚪ 數據不足,2026-03,-3.05
222.67,N/A,6668.8,6209.TW,🚀 利潤擴張,0.0,今國光,0.92,1231.2,7900.0,0.0,0.81,2025,0.0,N/A,⚪ 數據不足,2026-03,50.65
590.0,-188.65%,4621.74,3054.TW,🏰 高護城河,0.0,立萬利,1.96,2528.26,7150.0,0.0,1.41,2025,0.0,62.07%,⚪ 數據不足,2026-03,26.61
-73.68,N/A,3859.43,1810.TW,🚀 利潤擴張,0.0,和成,0.05,273.9,4133.33,0.0,3.64,2025,0.0,N/A,⚪ 數據不足,2026-03,-6.18
-731.58,-5.76%,3393.55,1301.TW,🔄 轉虧為盈,0.0,台塑,-1.58,1606.45,5000.0,0.0,0.51,2025,0.0,2.38%,⚪ 數據不足,2026-03,-12.31
660.0,0.43%,2925.59,4924.TWO,🚀 利潤擴張,0.0,欣厚-KY,0.38,474.41,3400.0,0.0,0.35,2025,0.0,27.32%,⚪ 數據不足,2026-03,3.99
48.33,N/A,2635.64,8042.TWO,🚀 利潤擴張,0.0,金山電,0.89,564.36,3200.0,0.0,2.17,2025,0.0,N/A,⚪ 數據不足,2026-03,9.79
0.0,34.40%,2554.2799999999997,2855.TW,🏰 高護城河,0.0,統一證,3.0,405.72,2960.0,0.0,1.43,2025,0.0,82.96%,⚪ 數據不足,2026-03,3.92
120.99,13.87%,2382.95,3105.TWO,🚀 利潤擴張,0.0,穩懋,4.0,667.05,3050.0,0.0,1.26,2025,0.0,31.80%,⚪ 數據不足,2026-03,-4.69
41.38,10.89%,2337.34,1419.TW,🚀 利潤擴張,0.0,新紡,4.11,395.99,2733.33,0.0,9.37,2025,0.0,27.15%,⚪ 數據不足,2026-03,12.31
175.0,1.35%,2173.63,2486.TW,🚀 利潤擴張,0.0,一詮,0.22,726.37,2900.0,0.0,0.29,2025,0.0,15.86%,⚪ 數據不足,2026-03,10.09
110.31,0.24%,1694.01,2380.TW,🚀 利潤擴張,0.0,虹光,0.72,205.99,1900.0,0.0,0.4,2025,0.0,24.41%,⚪ 數據不足,2026-03,13.61
-92.39,4.89%,1630.13,3016.TW,🚀 利潤擴張,0.0,嘉晶,0.07,1769.87,3400.0,0.0,0.35,2025,0.0,11.81%,⚪ 數據不足,2026-03,-5.25
35.71,2.06%,1516.21,1303.TW,🚀 利潤擴張,0.0,南亞,0.57,1383.79,2900.0,0.0,1.8,2025,0.0,9.25%,⚪ 數據不足,2026-03,0.12
275.0,-12.67%,1335.3100000000002,2399.TW,🚀 利潤擴張,0.0,映泰,0.15,1031.36,2366.67,0.0,1.48,2025,0.0,8.40%,⚪ 數據不足,2026-03,-14.09
50.0,2.47%,1225.03,4711.TWO,🚀 利潤擴張,0.0,永純,0.15,974.97,2200.0,0.0,0.23,2025,0.0,14.61%,⚪ 數據不足,2026-03,-4.5
250.0,18.72%,1157.6399999999999,1718.TW,🚀 利潤擴張,0.0,中纖,0.09,142.36,1300.0,0.0,0.17,2025,0.0,41.46%,⚪ 數據不足,2026-03,-0.24
406.67,-15.39%,1154.09,3219.TWO,🏰 高護城河,0.0,倚強科,1.52,120.91,1275.0,0.0,0.48,2025,0.0,69.49%,⚪ 數據不足,2026-03,49.68
-17.95,N/A,1063.6100000000001,5291.TWO,🚀 利潤擴張,0.0,邑昇,0.31,536.39,1600.0,0.0,0.17,2025,0.0,N/A,⚪ 數據不足,2026-03,9.81
-6.25,43.45%,982.33,3025.TW,🏰 高護城河,0.0,星通,3.45,117.67,1100.0,0.0,0.6,2025,0.0,68.55%,⚪ 數據不足,2026-03,4.27
110.31,N/A,807.1099999999999,4967.TW,🚀 利潤擴張,0.0,十銓,13.06,1792.89,2600.0,0.0,27.0,2025,0.0,N/A,⚪ 數據不足,2026-03,2.46
46.43,2.82%,733.74,2359.TW,🚀 利潤擴張,0.0,所羅門,1.23,280.55,1014.29,0.0,0.78,2025,0.0,24.10%,⚪ 數據不足,2026-03,21.27
-566.18,-143.69%,714.3499999999999,1762.TW,🔄 轉虧為盈,0.0,中化生,-4.39,496.76,1211.11,0.0,1.64,2025,0.0,-78.82%,⚪ 數據不足,2026-03,-40.26
-51.41,20.25%,648.6500000000001,3006.TW,🚀 利潤擴張,0.0,晶豪科,0.87,2018.02,2666.67,0.0,7.22,2025,0.0,32.33%,⚪ 數據不足,2026-03,8.08
-266.0,-3.37%,589.77,2464.TW,🔄 轉虧為盈,0.0,盟立,-0.84,510.23,1100.0,0.0,0.24,2025,0.0,17.62%,⚪ 數據不足,2026-03,-10.95
